UUID,OriginUUID,TabiyaURI,ESCO_UUID,altLabels
,,https://tabiya.tech/ef,,"technical and operations director
head of technical
director of technical arts
head of technical department
technical supervisor
technical director
technical manager"
,,,,"metal drawing machine operator
metal drawing machine technician
metal drawing machine operative
wire drawer
draw machine operative
forming machine technician
draw machine operator
wiredrawing setter
wirer drawer machine operator
forming machine operative
draw machine technician
wiredrawing  machine tender"
,,,,"inspector of precision instruments
precision device quality control supervisor
precision device inspector
precision instrument QC inspector
precision instrument quality control inspector
precision device QC inspector
precision device quality assurance supervisor
precision device quality control inspector
inspector of precision devices
precision instrument inspector
precision instrument supervisor"
,,,,"air traffic safety electronics hardware specialist
air traffic safety software specialist
air traffic safety engineer
air traffic safety hardware specialist
air traffic safety technician
air traffic safety electronics software specialist
air traffic safety electronics engineer
air traffic safety electronics technician"
,,,,"hospitality revenues manager
yield manager
hospitality yields manager
hospitality revenue manager
revenue manager"
,,,,"medical laboratory research assistant
biomedical laboratory assistant
clinical research assistant
assistant in medical laboratory
biomedical laboratory research assistant
assistant clinical researcher
medical lab assistant
medical laboratory assistant
assistant in biomedical laboratory"
,,,,"road surface technician
materials technician
aggregates and bitumen laboratory technician
technical supervisor, asphalt production
site technician
bitumen production technician
asphalt laboratory technician
road surface laboratory technician
laboratory technician, asphalt
asphalt technician
bitumen technician
asphalt production technical supervisor
site technician, asphalt
aggregates and asphalt laboratory technician
asphalt production technician"
,,,,"primary school teaching aide
elementary school teaching assistant
teaching assistant in primary schools
primary education teaching assistant
primary school assistant
primary school paraprofessional
primary school instructional assistant
primary school TA"
,,,,"neuromusculoskeletal physiotherapist
osteopath
eurythmy therapist
respiratory therapist
remedial physiotherapist
physiotherapist manager
occupational therapist
neurological physiotherapist
occupational physiotherapist
bobath physiotherapist
neuromuscular physiotherapist
manipulative physiotherapist
physiotherapist
hydrotherapist
rehabilitation therapist
masseuse
health promotion worker
cardiovascular physiotherapist
respiratory physiotherapist
chiropractor
sports physiotherapist
chiropractic therapist
neurodevelopmental physiotherapist
physical therapist
health and well-being therapist
business physiotherapist"
,,,,"acting school teacher
conservatory theatre instructor
professor of theatre
theatre instructor
performing arts theater instructor
acting school instructor
conservatory theatre lecturer
instructor in performing arts
theatre instructor in performing arts school"
,,,,"hydrogenation machine operative
hydrogenation machine operator
hydrogenator
hydrogenation operator
hydrogenation process operator"
,,,,"pasta manufacturer
pasta production operator
pasta maker"
,,,,"smokers products shop manager
tobacconists shop manager
cigar and cigarette store manager
tobacco store manager
tobacco shop manager
cigarette shop manager
cigar shop manager
cigarette store manager
cigar and cigarette shop manager
purveyor of tobacco and tobacco products
tobacconist store manager
cigar store manager
tobacconists store manager
pipe smokers shop manager
tobacconist shop manager"
,,,,"rental sales desk clerk in other machinery, equipment and tangible goods
rental sales worker in other machinery, equipment and tangible goods
rental service manager in other machinery, equipment and tangible goods
rental service assistant in other machinery, equipment and tangible goods
rental sales desk supervisor in other machinery, equipment and tangible goods
rental sales manager in other machinery, equipment and tangible goods
rental service desk clerk in other machinery, equipment and tangible goods
rental service supervisor in other machinery, equipment and tangible goods
rental service team leader in other machinery, equipment and tangible goods
rental service desk agent in other machinery, equipment and tangible goods
rental sales desk agent in other machinery, equipment and tangible goods
rental service desk supervisor in other machinery, equipment and tangible goods
rental sales team leader in other machinery, equipment and tangible goods
rental advisor in other machinery, equipment and tangible goods
rental specialist in other machinery, equipment and tangible goods
rental service worker in other machinery, equipment and tangible goods
rental service representative in other machinery, equipment and tangible goods
rental sales supervisor in other machinery, equipment and tangible goods
rental sales assistant in other machinery, equipment and tangible goods"
,,,,"mining surveyor
mine operations surveyor
mine plan maker
mine records keeper
mine surveyor
mine surveyors
planner of mining operations
mine planning surveyor"
,,,,"food production quality controller
trainee food safety specialist
food safety controller
senior food safety specialist
food scientist
food safety monitor
food safety advisor
food safety technician
food compliance manager (food safety)
assistant food safety specialist
HACCP compliance manager
food safety specialist
food safety consultant
technical manager for food safety
food hygiene specialist
food quality controller"
,,,,"land-based machinery technician
land-based machinery mechanic
land-based machinery technicians
landbased machinery technician"
,,,,"intercity bus driver
private bus operator
transit bus driver
bus driver
public service vehicle operator
passenger driver
international bus driver
public bus operator
touristic bus driver
coach driver
private coach driver
public bus driver
bus operator
driver of bus
bus driving operator
schoolbus driver"
,,,,"graduate export manager in meat and meat products
senior export manager in meat and meat products
international trade compliance manager in meat and meat products
international trade manager in meat and meat products
senior import manager in meat and meat products
import export manager in meat and meat products
assistant export manager in meat and meat products
trainee import manager in meat and meat products
graduate import manager in meat and meat products
graduate import export manager in meat and meat products
assistant import export manager in meat and meat products
assistant import manager in meat and meat products
senior import export manager in meat and meat products
customs compliance manager in meat and meat products
trainee export manager in meat and meat products
trainee import export manager in meat and meat products"
