originalSkillUri,originalSkillType,relationType,relatedSkillType,relatedSkillUri
http://data.europa.eu/esco/skill/00064735-8fad-454b-90c7-ed858cc993f2,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/d4a0744a-508b-4a5e-97a5-ad1fc7f55e6e
http://data.europa.eu/esco/skill/000bb1e4-89f0-4b86-be05-05ece3641724,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/b70ab677-5781-40b5-9198-d98f4a34310f
http://data.europa.eu/esco/skill/0023e7a5-43da-4b68-bee3-726ef21f986d,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/5753e2ca-8934-45d3-8e52-3877d373239d
http://data.europa.eu/esco/skill/00298d97-3dc3-4086-a902-bce0a2fba831,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/1ff53c92-370d-414b-b758-b0a1b8026853
http://data.europa.eu/esco/skill/008a0e0d-7380-4b31-abe5-0195e700f8c0,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/af0bbc31-b54d-4e8d-82b1-2e91a1115523
http://data.europa.eu/esco/skill/009673d9-e2fd-46ef-a64b-6027ac7fd613,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/3fa0a100-66ea-4bb3-a33e-2044d4a43df3
http://data.europa.eu/esco/skill/009673d9-e2fd-46ef-a64b-6027ac7fd613,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/bb992d83-2d7d-4618-9109-0f0e04881a8e
http://data.europa.eu/esco/skill/009673d9-e2fd-46ef-a64b-6027ac7fd613,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/c197585c-4e3b-466b-987b-17247fa63315
http://data.europa.eu/esco/skill/009673d9-e2fd-46ef-a64b-6027ac7fd613,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/d11fd23b-ad01-4f12-85f4-e0d2ed16d5af
http://data.europa.eu/esco/skill/009db49b-fcf5-4409-b4a5-232d059f3597,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/e126f782-b4e6-4f7d-8dca-8d2e6778559b
http://data.europa.eu/esco/skill/00a4e92d-e410-42b8-ba2d-d7b3febf49e0,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/0cf27a00-947f-473d-af1a-24028c17ba27
http://data.europa.eu/esco/skill/00a4e92d-e410-42b8-ba2d-d7b3febf49e0,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/598a1b3c-828e-494c-a034-3cbc136ca929
http://data.europa.eu/esco/skill/00cd1d60-782f-48e7-9a7b-b518f2b146b8,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/827aedbf-ab78-43f7-86e3-62d99a449a02
http://data.europa.eu/esco/skill/00dd3271-077f-4a12-a958-e297fdd724ce,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/5f95f9c9-30ee-4735-ab63-8045ec8f78f8
http://data.europa.eu/esco/skill/00dd3271-077f-4a12-a958-e297fdd724ce,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/9b55d4b6-d015-4605-985e-5313a1e3face
http://data.europa.eu/esco/skill/00e895f4-b9d3-4a1a-8c36-baf10fbfb982,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/0f16809e-a1a4-46a4-ae8e-058f5d0d358a
http://data.europa.eu/esco/skill/00e895f4-b9d3-4a1a-8c36-baf10fbfb982,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/39a25537-5057-4c0b-8141-32851e1cd886
http://data.europa.eu/esco/skill/00e895f4-b9d3-4a1a-8c36-baf10fbfb982,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/901360e7-81ff-408c-8f0a-cc18c2cef1dd
http://data.europa.eu/esco/skill/00eada7f-0b83-4f0c-af81-d7f92d838000,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/2f19ff55-62a1-4142-aad0-dc954e8050e1
http://data.europa.eu/esco/skill/00eada7f-0b83-4f0c-af81-d7f92d838000,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/98d7a8fd-62a7-45eb-acfb-84531967bc5d
http://data.europa.eu/esco/skill/00ebb379-ce26-439a-ba89-9a7d1ef2f696,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/87669743-a291-4ea0-9a50-cac60d45649c
http://data.europa.eu/esco/skill/011711eb-f20b-4d64-84d7-17b8979946dc,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/d4e9055e-597f-42ca-98ac-a5e3d8e881e1
http://data.europa.eu/esco/skill/0121ac3b-775b-4faf-b86d-0078623674bc,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/b6f26b50-3914-46ff-8f88-3defb71e007a
http://data.europa.eu/esco/skill/01267c89-b27f-4de0-b555-3683c5a5d66e,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/13d96098-2ff0-46b8-b326-b7c0e18cc1f1
http://data.europa.eu/esco/skill/01267c89-b27f-4de0-b555-3683c5a5d66e,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/57437c77-18a4-45f2-aedd-5e146fc56681
http://data.europa.eu/esco/skill/01267c89-b27f-4de0-b555-3683c5a5d66e,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/c3102a5f-dafd-417c-8210-1eb779a05448
http://data.europa.eu/esco/skill/01267c89-b27f-4de0-b555-3683c5a5d66e,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/f190355a-cea5-4cd0-b6cd-a5c3d9a14985
http://data.europa.eu/esco/skill/012795fe-5f85-4d12-a10e-9dabda4ea05f,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/4123b65c-8a81-4055-8361-3f49bd33a1d9
http://data.europa.eu/esco/skill/0156865e-5010-4908-8e0f-ce3aebc2d136,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/b0d581cb-360e-44a1-a32a-4c7d5c4cfc71
http://data.europa.eu/esco/skill/0157feec-52c2-4764-b83d-2d017ce8e49d,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/14239d25-1ffc-4236-895c-958f5d72267f
http://data.europa.eu/esco/skill/016cee6c-9e95-466c-bd51-d63327751aa2,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/1a080b07-406e-4a2e-b316-fc766f2e6e2d
http://data.europa.eu/esco/skill/017738e7-7d12-4e87-a580-8523405bab96,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/ec3d6423-8c36-4451-893e-95b4a6a026fb
http://data.europa.eu/esco/skill/018164df-2814-4926-bdf7-398d86b9dfe6,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/1177c6f5-09c5-4c35-873c-afd22d170ad3
http://data.europa.eu/esco/skill/01c03003-516d-43c6-8477-45c472413521,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/5ac07f1a-6436-4103-b891-c59a7ac505f0
http://data.europa.eu/esco/skill/01c4bbed-0449-44c9-9c05-48c30ffdcc22,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/73567f32-2021-42ee-b30e-02130b010bbb
http://data.europa.eu/esco/skill/01e5d2e2-d368-4fb9-9be9-9923146482c4,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/e17d2415-e79f-4907-908e-5511b515fa3c
http://data.europa.eu/esco/skill/01e7dee7-3ff1-4807-acad-058dbed91aba,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/d6d3fee7-47e2-47f4-a0ec-6c75f28c6abd
http://data.europa.eu/esco/skill/01f91b5b-3e2f-40a2-ab88-bc8113c0ab37,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/25b973c6-68ea-4ff7-bd26-aa76bd08b62a
http://data.europa.eu/esco/skill/01f91b5b-3e2f-40a2-ab88-bc8113c0ab37,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/87b1c959-236d-4761-b3be-b1c729497f75
http://data.europa.eu/esco/skill/01f91b5b-3e2f-40a2-ab88-bc8113c0ab37,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/e2ba5755-d934-486e-b6cb-a938c2857b79
http://data.europa.eu/esco/skill/01fec851-b5f4-419b-940a-3b4c835adfa8,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/87b984b4-44cc-4fc0-bfcb-988e2e147009
http://data.europa.eu/esco/skill/020918ef-4b55-47c1-8430-ab7b8f6a7377,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/25f0ea33-b4a2-4f31-b7b4-7d20e827b180
http://data.europa.eu/esco/skill/020918ef-4b55-47c1-8430-ab7b8f6a7377,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/a7f0fbe0-c546-4f30-8e41-34a58c64567e
http://data.europa.eu/esco/skill/020918ef-4b55-47c1-8430-ab7b8f6a7377,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/c5e8abde-d2ba-4e8e-a65e-720b71180666
http://data.europa.eu/esco/skill/020b3c27-bae1-4b85-9d6f-eccee0f5ed99,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/f929c89e-c363-4132-a918-e021d57b307c
http://data.europa.eu/esco/skill/022dc430-872a-473a-9cf4-fed4895e58ad,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/03ff0d53-573a-47a0-a0ad-1995815a4339
http://data.europa.eu/esco/skill/022dc430-872a-473a-9cf4-fed4895e58ad,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/43ae58b9-5e56-4524-b45a-b422777a0576
http://data.europa.eu/esco/skill/022dc430-872a-473a-9cf4-fed4895e58ad,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/a7f0fbe0-c546-4f30-8e41-34a58c64567e
http://data.europa.eu/esco/skill/0232e2ee-5535-46e0-9c64-ea80c896c62f,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/0e13adb5-f135-429b-94c3-24cc1cf1b1ac
http://data.europa.eu/esco/skill/0234bf2c-0483-4953-be59-edc2fcdd9e4b,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/5660c82d-b80b-4883-b474-8ef387969fb5
