"PARENTOBJECTTYPE","PARENTID","CHILDID","CHILDOBJECTTYPE"
"occupationgroup","key_18163","key_18164","occupationgroup"
"occupationgroup","key_18164","key_18165","occupationgroup"
"occupationgroup","key_18165","key_18166","occupationgroup"
"occupationgroup","key_18163","key_18167","occupationgroup"
"occupationgroup","key_18167","key_18168","occupationgroup"
"occupationgroup","key_18168","key_18169","occupationgroup"
"occupationgroup","key_18163","key_18170","occupationgroup"
"occupationgroup","key_18170","key_18171","occupationgroup"
"occupationgroup","key_18171","key_18172","occupationgroup"
"occupationgroup","key_18173","key_18174","occupationgroup"
"occupationgroup","key_18174","key_18175","occupationgroup"
"occupationgroup","key_18175","key_18176","occupationgroup"
"occupationgroup","key_18175","key_18177","occupationgroup"
"occupationgroup","key_18175","key_18178","occupationgroup"
"occupationgroup","key_18175","key_18179","occupationgroup"
"occupationgroup","key_18174","key_18180","occupationgroup"
"occupationgroup","key_18180","key_18181","occupationgroup"
"occupationgroup","key_18173","key_18182","occupationgroup"
"occupationgroup","key_18182","key_18183","occupationgroup"
"occupationgroup","key_18183","key_18184","occupationgroup"
"occupationgroup","key_18183","key_18185","occupationgroup"
"occupationgroup","key_18183","key_18186","occupationgroup"
"occupationgroup","key_18183","key_18187","occupationgroup"
"occupationgroup","key_18182","key_18188","occupationgroup"
"occupationgroup","key_18188","key_18189","occupationgroup"
"occupationgroup","key_18188","key_18190","occupationgroup"
"occupationgroup","key_18188","key_18191","occupationgroup"
"occupationgroup","key_18173","key_18192","occupationgroup"
"occupationgroup","key_18192","key_18193","occupationgroup"
"occupationgroup","key_18193","key_18194","occupationgroup"
"occupationgroup","key_18193","key_18195","occupationgroup"
"occupationgroup","key_18192","key_18196","occupationgroup"
"occupationgroup","key_18196","key_18197","occupationgroup"
"occupationgroup","key_18196","key_18198","occupationgroup"
"occupationgroup","key_18196","key_18199","occupationgroup"
"occupationgroup","key_18196","key_18200","occupationgroup"
"occupationgroup","key_18192","key_18201","occupationgroup"
"occupationgroup","key_18201","key_18202","occupationgroup"
"occupationgroup","key_18192","key_18203","occupationgroup"
"occupationgroup","key_18203","key_18204","occupationgroup"
"occupationgroup","key_18203","key_18205","occupationgroup"
"occupationgroup","key_18203","key_18206","occupationgroup"
"occupationgroup","key_18203","key_18207","occupationgroup"
"occupationgroup","key_18203","key_18208","occupationgroup"
"occupationgroup","key_18203","key_18209","occupationgroup"
"occupationgroup","key_18203","key_18210","occupationgroup"
"occupationgroup","key_18173","key_18211","occupationgroup"
"occupationgroup","key_18211","key_18212","occupationgroup"
"occupationgroup","key_18212","key_18213","occupationgroup"
"occupationgroup","key_18212","key_18214","occupationgroup"
"occupationgroup","key_18211","key_18215","occupationgroup"
"occupationgroup","key_18215","key_18216","occupationgroup"
"occupationgroup","key_18211","key_18217","occupationgroup"
"occupationgroup","key_18217","key_18218","occupationgroup"
"occupationgroup","key_18217","key_18219","occupationgroup"
"occupationgroup","key_18220","key_18221","occupationgroup"
"occupationgroup","key_18221","key_18222","occupationgroup"
"occupationgroup","key_18222","key_18223","occupationgroup"
"occupationgroup","key_18222","key_18224","occupationgroup"
"occupationgroup","key_18222","key_18225","occupationgroup"
"occupationgroup","key_18222","key_18226","occupationgroup"
"occupationgroup","key_18221","key_18227","occupationgroup"
"occupationgroup","key_18227","key_18228","occupationgroup"
"occupationgroup","key_18221","key_18229","occupationgroup"
"occupationgroup","key_18229","key_18230","occupationgroup"
"occupationgroup","key_18229","key_18231","occupationgroup"
"occupationgroup","key_18229","key_18232","occupationgroup"
"occupationgroup","key_18221","key_18233","occupationgroup"
"occupationgroup","key_18233","key_18234","occupationgroup"
"occupationgroup","key_18233","key_18235","occupationgroup"
"occupationgroup","key_18233","key_18236","occupationgroup"
"occupationgroup","key_18233","key_18237","occupationgroup"
"occupationgroup","key_18233","key_18238","occupationgroup"
"occupationgroup","key_18233","key_18239","occupationgroup"
"occupationgroup","key_18233","key_18240","occupationgroup"
"occupationgroup","key_18221","key_18241","occupationgroup"
"occupationgroup","key_18241","key_18242","occupationgroup"
"occupationgroup","key_18241","key_18243","occupationgroup"
"occupationgroup","key_18241","key_18244","occupationgroup"
"occupationgroup","key_18221","key_18245","occupationgroup"
"occupationgroup","key_18245","key_18246","occupationgroup"
"occupationgroup","key_18245","key_18247","occupationgroup"
"occupationgroup","key_18245","key_18248","occupationgroup"
"occupationgroup","key_18245","key_18249","occupationgroup"
"occupationgroup","key_18245","key_18250","occupationgroup"
"occupationgroup","key_18245","key_18251","occupationgroup"
"occupationgroup","key_18220","key_18252","occupationgroup"
"occupationgroup","key_18252","key_18253","occupationgroup"
"occupationgroup","key_18253","key_18254","occupationgroup"
"occupationgroup","key_18253","key_18255","occupationgroup"
"occupationgroup","key_18252","key_18256","occupationgroup"
"occupationgroup","key_18256","key_18257","occupationgroup"
"occupationgroup","key_18256","key_18258","occupationgroup"
"occupationgroup","key_18252","key_18259","occupationgroup"
"occupationgroup","key_18259","key_18260","occupationgroup"
