"PARENTOBJECTTYPE","PARENTID","CHILDID","CHILDOBJECTTYPE"
"iscogroup","67f040cd52c59bbdf744f2c1","67f040cd52c59bbdf744f2c2","iscogroup"
"iscogroup","67f040cd52c59bbdf744f2c2","67f040cd52c59bbdf744f2c3","iscogroup"
"iscogroup","67f040cd52c59bbdf744f2c3","67f040cd52c59bbdf744f2c4","iscogroup"
"iscogroup","67f040cd52c59bbdf744f2c1","67f040cd52c59bbdf744f2c5","iscogroup"
"iscogroup","67f040cd52c59bbdf744f2c5","67f040cd52c59bbdf744f2c6","iscogroup"
"iscogroup","67f040cd52c59bbdf744f2c6","67f040cd52c59bbdf744f2c7","iscogroup"
"iscogroup","67f040cd52c59bbdf744f2c1","67f040cd52c59bbdf744f2c8","iscogroup"
"iscogroup","67f040cd52c59bbdf744f2c8","67f040cd52c59bbdf744f2c9","iscogroup"
"iscogroup","67f040cd52c59bbdf744f2c9","67f040cd52c59bbdf744f2ca","iscogroup"
"iscogroup","67f040cd52c59bbdf744f2cb","67f040cd52c59bbdf744f2cc","iscogroup"
"iscogroup","67f040cd52c59bbdf744f2cc","67f040cd52c59bbdf744f2cd","iscogroup"
"iscogroup","67f040cd52c59bbdf744f2cd","67f040cd52c59bbdf744f2ce","iscogroup"
"iscogroup","67f040cd52c59bbdf744f2cd","67f040cd52c59bbdf744f2cf","iscogroup"
"iscogroup","67f040cd52c59bbdf744f2cd","67f040cd52c59bbdf744f2d0","iscogroup"
"iscogroup","67f040cd52c59bbdf744f2cd","67f040cd52c59bbdf744f2d1","iscogroup"
"iscogroup","67f040cd52c59bbdf744f2cc","67f040cd52c59bbdf744f2d2","iscogroup"
"iscogroup","67f040cd52c59bbdf744f2d2","67f040cd52c59bbdf744f2d3","iscogroup"
"iscogroup","67f040cd52c59bbdf744f2cb","67f040cd52c59bbdf744f2d4","iscogroup"
"iscogroup","67f040cd52c59bbdf744f2d4","67f040cd52c59bbdf744f2d5","iscogroup"
"iscogroup","67f040cd52c59bbdf744f2d5","67f040cd52c59bbdf744f2d6","iscogroup"
"iscogroup","67f040cd52c59bbdf744f2d5","67f040cd52c59bbdf744f2d7","iscogroup"
"iscogroup","67f040cd52c59bbdf744f2d5","67f040cd52c59bbdf744f2d8","iscogroup"
"iscogroup","67f040cd52c59bbdf744f2d5","67f040cd52c59bbdf744f2d9","iscogroup"
"iscogroup","67f040cd52c59bbdf744f2d4","67f040cd52c59bbdf744f2da","iscogroup"
"iscogroup","67f040cd52c59bbdf744f2da","67f040cd52c59bbdf744f2db","iscogroup"
"iscogroup","67f040cd52c59bbdf744f2da","67f040cd52c59bbdf744f2dc","iscogroup"
"iscogroup","67f040cd52c59bbdf744f2da","67f040cd52c59bbdf744f2dd","iscogroup"
