"ID","ORIGINURI","UUIDHISTORY","CODE","CREATEDAT","UPDATEDAT","SCOPENOTE","PREFERREDLABEL","ALTLABELS","DESCRIPTION"
"687671b2ebd2bf665349a3e2","http://data.europa.eu/esco/isced-f/0300","ef227bd3-895f-4128-b1da-9a601d1fdbe0
c6eb40a0-6ce2-4c02-a7a3-ee159759ed3e
8dbb2c61-0ea4-444c-95de-a4b5eee3eda0
82246bb8-2d5d-4231-819d-65a013523858","","2025-07-15T15:20:19.515Z","2025-07-15T15:20:19.515Z","","ciencias sociales, periodismo e información no definido con mayor precisión","ciencias sociales, periodismo e información no definido con mayor precisión",""
"687671b2ebd2bf665349a3e3","http://data.europa.eu/esco/isced-f/031","8a1c95b6-6ecf-4b99-b1a4-27e9fc988cb7
15a48195-f7ed-46c4-823c-08406106a8fa
ef5c7184-04d5-44db-9866-d030aeca6fbd
acb4a9e2-3a9c-4856-aaa7-68d38c32d7a4","","2025-07-15T15:20:19.515Z","2025-07-15T15:20:19.515Z","","ciencias sociales y del comportamiento","ciencias sociales y del comportamiento",""
"687671b2ebd2bf665349a3e4","http://data.europa.eu/esco/isced-f/0310","97097981-034e-4fef-947f-071180e23b11
3a7eaeb2-aab6-4b7c-89f9-d2b953bbeae4
491ff050-ca18-4024-8d2f-d7463daa7d02
317a5207-0082-4662-b20f-674e7150b026","","2025-07-15T15:20:19.515Z","2025-07-15T15:20:19.515Z","","ciencias sociales y del comportamiento no definido con mayor precisión","ciencias sociales y del comportamiento no definido con mayor precisión",""
"687671b2ebd2bf665349a3e5","http://data.europa.eu/esco/isced-f/0311","118a5fe7-4eff-4256-9ce5-cd60c1500989
07800507-2f7e-40a4-801d-64ee5c80a07d
2ca85ac4-f0d2-4992-95bb-a787788149ef
3a6a02d5-39df-453c-a42d-1849afdb03f5","","2025-07-15T15:20:19.515Z","2025-07-15T15:20:19.515Z","","economía","economía","La economía es el estudio de la política económica, la teoría económica y la toma de decisiones económicas.
Programas y cualificaciones con el siguiente contenido principal se clasifican aquí:
Econometría
Historia económica
Economía
Economía política

=== Exclusiones
El estudio de la economía donde se hace hincapié en los estudios empresariales se excluye de este campo detallado y se clasifica en el campo 041 'Empresa y administración'. El estudio de economía doméstica se excluye de este campo detallado y se incluye en el campo detallado 1011 'Servicios domésticos'."
"687671b2ebd2bf665349a3e6","http://data.europa.eu/esco/isced-f/0312","4840dfaa-50d4-480e-b2f6-5162a0b16e85
8bd843a4-9be7-4a18-bcd9-f426903ea65c
5c3495f1-9785-41fd-bc09-0be1934836d4
64e38f83-5cf7-498b-a14d-b42838394202","","2025-07-15T15:20:19.516Z","2025-07-15T15:20:19.516Z","","ciencias políticas y cívica","ciencias políticas y cívica","Las ciencias políticas y la cívica son el estudio del gobierno y de los principios o prácticas políticas.  El estudio de los derechos y deberes de los ciudadanos se incluye aquí.
Programas y cualificaciones con el siguiente contenido principal se clasifican aquí:
Cívica
Derechos humanos
Relaciones internacionales
Estudios de paz y conflicto
Historia política
 Ciencia política
Estudios de políticas públicas

=== Exclusiones
El estudio de la economía política se excluye de este campo detallado y se incluye en el campo detallado 0311 'Economía'."
"687671b2ebd2bf665349a3e7","http://data.europa.eu/esco/isced-f/0313","ff01aca4-66a1-425f-ae89-e70a01157e5c
fee2a970-a619-4440-9e26-4972347e4ad3
4cf53de1-3d68-4d94-83eb-c8555eafa434
f301fac8-7f28-40c2-86cb-594b47f258db","","2025-07-15T15:20:19.516Z","2025-07-15T15:20:19.516Z","","psicología","psicología","La psicología es el estudio de la mente humana y el comportamiento como resultado de las diferencias individuales, la experiencia y el entorno.
Programas y cualificaciones con el siguiente contenido principal se clasifican aquí:
ciencia cognitiva
Psicóanálisis
Psicología
Psicoterapia"
"687671b2ebd2bf665349a3e8","http://data.europa.eu/esco/isced-f/0314","e6bc2697-33d7-4487-903f-0358fcdbe09e
76ab9eb9-183a-45f9-9c48-5f05553176e4
fda2e48f-785e-4e72-a556-5c1b9a639d94
e813a331-1daa-4f0d-be33-ad724aa9f1d4","","2025-07-15T15:20:19.516Z","2025-07-15T15:20:19.516Z","","sociología y estudios culturales","sociología y estudios culturales","La sociología y los estudios culturales son el estudio de los seres humanos y la forma en que se comportan en grupo y en relación con la sociedad.  El estudio de la etnología y la antropología social se incluyen aquí, así como el estudio de la geografía humana y social.
Programas y cualificaciones con el siguiente contenido principal se clasifican aquí:
Criminología
Geografía cultural
Estudios culturales
Demografía/estudios de población
Etnología
Estudios de género
Antropología social
Sociología

=== Exclusiones
El bienestar social donde se hace hincapié en el trabajo social práctico se excluye de este campo detallado y se incluye en el campo detallado 0923 'Trabajo social y asesoramiento'.
La geografía física se excluye de este campo detallado y se incluye en el campo detallado 0532 'Ciencias de la Tierra'."
"687671b2ebd2bf665349a3e9","http://data.europa.eu/esco/isced-f/0319","89caf459-bae5-46e3-9ae7-be02a5d67524
c22f6343-691f-45e1-8929-cbd77bcb74f7
3c6e81e3-bb77-40ec-b6cc-43990a88c707
c3926ac5-574a-4bae-aa7b-e870ff7857b1","","2025-07-15T15:20:19.516Z","2025-07-15T15:20:19.516Z","","ciencias sociales y del comportamiento no clasificadas en otros apartados","ciencias sociales y del comportamiento no clasificadas en otros apartados",""
"687671b2ebd2bf665349a3ea","http://data.europa.eu/esco/isced-f/032","b4f6991b-84c7-4458-aedd-e9cd9e7fdd26
d16113b1-efdd-4ed0-b639-37a1e51608b0
4846695d-2d07-414e-9946-2a76bdda7d9d
8aff78ba-8ac5-40d7-8ee8-7c0a3b560ddb","","2025-07-15T15:20:19.516Z","2025-07-15T15:20:19.516Z","","periodismo e información","periodismo e información",""
"687671b2ebd2bf665349a3eb","http://data.europa.eu/esco/isced-f/0320","f79ac7e1-5e5a-4bc0-9454-8ea82adc9105
b28e6beb-e7f4-4c99-a444-575cdaf0dc06
24abdec2-0ad6-44d2-90e7-dba7753dab43
ff4688dd-4f7c-40ba-9f46-bd46f8afd146","","2025-07-15T15:20:19.516Z","2025-07-15T15:20:19.516Z","","periodismo e información no definido con mayor precisión","periodismo e información no definido con mayor precisión",""
