"PARENTOBJECTTYPE","PARENTID","CHILDID","CHILDOBJECTTYPE","CREATEDAT","UPDATEDAT"
"skillgroup","687671b3ebd2bf665349a5c9","687671b2ebd2bf665349a3b0","skillgroup","2025-07-15T15:20:41.315Z","2025-07-15T15:20:41.315Z"
"skillgroup","687671b2ebd2bf665349a3b0","687671b2ebd2bf665349a3b1","skillgroup","2025-07-15T15:20:41.316Z","2025-07-15T15:20:41.316Z"
"skillgroup","687671b2ebd2bf665349a3b1","687671b2ebd2bf665349a3b2","skillgroup","2025-07-15T15:20:41.316Z","2025-07-15T15:20:41.316Z"
"skillgroup","687671b2ebd2bf665349a3b0","687671b2ebd2bf665349a3b3","skillgroup","2025-07-15T15:20:41.316Z","2025-07-15T15:20:41.316Z"
"skillgroup","687671b2ebd2bf665349a3b3","687671b2ebd2bf665349a3b4","skillgroup","2025-07-15T15:20:41.316Z","2025-07-15T15:20:41.316Z"
"skillgroup","687671b2ebd2bf665349a3b0","687671b2ebd2bf665349a3b5","skillgroup","2025-07-15T15:20:41.316Z","2025-07-15T15:20:41.316Z"
"skillgroup","687671b2ebd2bf665349a3b5","687671b2ebd2bf665349a3b6","skillgroup","2025-07-15T15:20:41.316Z","2025-07-15T15:20:41.316Z"
"skillgroup","687671b2ebd2bf665349a3b0","687671b2ebd2bf665349a3b7","skillgroup","2025-07-15T15:20:41.316Z","2025-07-15T15:20:41.316Z"
"skillgroup","687671b2ebd2bf665349a3b7","687671b2ebd2bf665349a3b8","skillgroup","2025-07-15T15:20:41.316Z","2025-07-15T15:20:41.316Z"
"skillgroup","687671b2ebd2bf665349a3b0","687671b2ebd2bf665349a3b9","skillgroup","2025-07-15T15:20:41.316Z","2025-07-15T15:20:41.316Z"
"skillgroup","687671b2ebd2bf665349a3b9","687671b2ebd2bf665349a3ba","skillgroup","2025-07-15T15:20:41.316Z","2025-07-15T15:20:41.316Z"
"skillgroup","687671b3ebd2bf665349a5c9","687671b2ebd2bf665349a3bb","skillgroup","2025-07-15T15:20:41.316Z","2025-07-15T15:20:41.316Z"
"skillgroup","687671b2ebd2bf665349a3bb","687671b2ebd2bf665349a3bc","skillgroup","2025-07-15T15:20:41.316Z","2025-07-15T15:20:41.316Z"
"skillgroup","687671b2ebd2bf665349a3bc","687671b2ebd2bf665349a3bd","skillgroup","2025-07-15T15:20:41.316Z","2025-07-15T15:20:41.316Z"
"skillgroup","687671b2ebd2bf665349a3bc","687671b2ebd2bf665349a3be","skillgroup","2025-07-15T15:20:41.316Z","2025-07-15T15:20:41.316Z"
"skillgroup","687671b2ebd2bf665349a3bc","687671b2ebd2bf665349a3bf","skillgroup","2025-07-15T15:20:41.316Z","2025-07-15T15:20:41.316Z"
"skillgroup","687671b2ebd2bf665349a3bc","687671b2ebd2bf665349a3c0","skillgroup","2025-07-15T15:20:41.316Z","2025-07-15T15:20:41.316Z"
"skillgroup","687671b2ebd2bf665349a3bc","687671b2ebd2bf665349a3c1","skillgroup","2025-07-15T15:20:41.316Z","2025-07-15T15:20:41.316Z"
"skillgroup","687671b2ebd2bf665349a3bc","687671b2ebd2bf665349a3c2","skillgroup","2025-07-15T15:20:41.316Z","2025-07-15T15:20:41.316Z"
"skillgroup","687671b2ebd2bf665349a3bb","687671b2ebd2bf665349a3c3","skillgroup","2025-07-15T15:20:41.316Z","2025-07-15T15:20:41.316Z"
"skillgroup","687671b2ebd2bf665349a3c3","687671b2ebd2bf665349a3c4","skillgroup","2025-07-15T15:20:41.316Z","2025-07-15T15:20:41.316Z"
"skillgroup","687671b3ebd2bf665349a5c9","687671b2ebd2bf665349a3c5","skillgroup","2025-07-15T15:20:41.316Z","2025-07-15T15:20:41.316Z"
"skillgroup","687671b2ebd2bf665349a3c5","687671b2ebd2bf665349a3c6","skillgroup","2025-07-15T15:20:41.316Z","2025-07-15T15:20:41.316Z"
"skillgroup","687671b2ebd2bf665349a3c6","687671b2ebd2bf665349a3c7","skillgroup","2025-07-15T15:20:41.316Z","2025-07-15T15:20:41.316Z"
"skillgroup","687671b2ebd2bf665349a3c5","687671b2ebd2bf665349a3c8","skillgroup","2025-07-15T15:20:41.316Z","2025-07-15T15:20:41.316Z"
"skillgroup","687671b2ebd2bf665349a3c8","687671b2ebd2bf665349a3c9","skillgroup","2025-07-15T15:20:41.316Z","2025-07-15T15:20:41.316Z"
"skillgroup","687671b2ebd2bf665349a3c8","687671b2ebd2bf665349a3ca","skillgroup","2025-07-15T15:20:41.316Z","2025-07-15T15:20:41.316Z"
"skillgroup","687671b2ebd2bf665349a3c8","687671b2ebd2bf665349a3cb","skillgroup","2025-07-15T15:20:41.316Z","2025-07-15T15:20:41.316Z"
"skillgroup","687671b2ebd2bf665349a3c8","687671b2ebd2bf665349a3cc","skillgroup","2025-07-15T15:20:41.316Z","2025-07-15T15:20:41.316Z"
"skillgroup","687671b2ebd2bf665349a3c8","687671b2ebd2bf665349a3cd","skillgroup","2025-07-15T15:20:41.316Z","2025-07-15T15:20:41.316Z"
"skillgroup","687671b2ebd2bf665349a3c8","687671b2ebd2bf665349a3ce","skillgroup","2025-07-15T15:20:41.316Z","2025-07-15T15:20:41.316Z"
"skillgroup","687671b2ebd2bf665349a3c8","687671b2ebd2bf665349a3cf","skillgroup","2025-07-15T15:20:41.316Z","2025-07-15T15:20:41.316Z"
"skillgroup","687671b2ebd2bf665349a3c5","687671b2ebd2bf665349a3d0","skillgroup","2025-07-15T15:20:41.316Z","2025-07-15T15:20:41.316Z"
"skillgroup","687671b2ebd2bf665349a3d0","687671b2ebd2bf665349a3d1","skillgroup","2025-07-15T15:20:41.316Z","2025-07-15T15:20:41.316Z"
"skillgroup","687671b2ebd2bf665349a3d0","687671b2ebd2bf665349a3d2","skillgroup","2025-07-15T15:20:41.317Z","2025-07-15T15:20:41.317Z"
"skillgroup","687671b2ebd2bf665349a3d0","687671b2ebd2bf665349a3d3","skillgroup","2025-07-15T15:20:41.317Z","2025-07-15T15:20:41.317Z"
"skillgroup","687671b2ebd2bf665349a3d0","687671b2ebd2bf665349a3d4","skillgroup","2025-07-15T15:20:41.317Z","2025-07-15T15:20:41.317Z"
"skillgroup","687671b2ebd2bf665349a3d0","687671b2ebd2bf665349a3d5","skillgroup","2025-07-15T15:20:41.317Z","2025-07-15T15:20:41.317Z"
"skillgroup","687671b2ebd2bf665349a3d0","687671b2ebd2bf665349a3d6","skillgroup","2025-07-15T15:20:41.317Z","2025-07-15T15:20:41.317Z"
"skillgroup","687671b2ebd2bf665349a3c5","687671b2ebd2bf665349a3d7","skillgroup","2025-07-15T15:20:41.317Z","2025-07-15T15:20:41.317Z"
"skillgroup","687671b2ebd2bf665349a3d7","687671b2ebd2bf665349a3d8","skillgroup","2025-07-15T15:20:41.317Z","2025-07-15T15:20:41.317Z"
"skillgroup","687671b2ebd2bf665349a3d7","687671b2ebd2bf665349a3d9","skillgroup","2025-07-15T15:20:41.317Z","2025-07-15T15:20:41.317Z"
"skillgroup","687671b2ebd2bf665349a3d7","687671b2ebd2bf665349a3da","skillgroup","2025-07-15T15:20:41.317Z","2025-07-15T15:20:41.317Z"
"skillgroup","687671b2ebd2bf665349a3d7","687671b2ebd2bf665349a3db","skillgroup","2025-07-15T15:20:41.317Z","2025-07-15T15:20:41.317Z"
"skillgroup","687671b2ebd2bf665349a3c5","687671b2ebd2bf665349a3dc","skillgroup","2025-07-15T15:20:41.317Z","2025-07-15T15:20:41.317Z"
