"ID","ORIGINURI","UUIDHISTORY","CODE","SCOPENOTE","PREFERREDLABEL","ALTLABELS","DESCRIPTION"
"687671b2ebd2bf665349a3b0","http://data.europa.eu/esco/isced-f/00","2a87ceb7-d5d0-4ce8-aba8-6bc8ebf7f926
97d8a56d-e5c2-4145-9e6a-f392a6a1dda4
40759be8-5e4a-4713-8a56-3a0252a82548
69946bbe-9552-4d3f-b58e-b0a61645accc
d4d4e095-b603-4be6-b3b8-4f1330a3f19e","","","generic programmes and qualifications","generic programmes and qualifications","Generic programmes and qualifications are those providing fundamental and personal skills education which cover a broad range of subjects and do not emphasise or specialise in a particular broad or narrow field.
This broad field should not be used as a residual category. Programmes and qualifications with a specific subject emphasis should be classified in broad fields 01 to 10. In particular, education at the tertiary level should only by way of exception be classified here."
"687671b2ebd2bf665349a3b1","http://data.europa.eu/esco/isced-f/000","d992c0b3-1b74-4036-a6cb-52d9a4893494
8cfe9362-2526-43cd-8d3c-6a49f20b2524
225a71b5-9f30-452d-bec6-954218359a9b
c21f3d18-31a1-42e5-af42-f55b5c9b0ad2
ed5520dc-1721-49e4-a8de-fbae36ba7e5e","","","generic programmes and qualifications not further defined","generic programmes and qualifications not further defined",""
"687671b2ebd2bf665349a3b2","http://data.europa.eu/esco/isced-f/0000","636671b8-5a1c-4708-aed1-d9d073824113
b35af741-5f81-41c0-bb6e-5ef72146e7cc
d1301f8d-f05d-4278-8d5f-f8f089f07a3c
5378d440-ca0f-4e4e-b9d4-70efe7c92b15
d679e2f9-ebc4-4c2b-800f-1732ea94c74b","","","generic programmes and qualifications not further defined","generic programmes and qualifications not further defined",""
"687671b2ebd2bf665349a3b3","http://data.europa.eu/esco/isced-f/001","b7dbbd19-daf0-4903-acab-52de671a5de3
15ae29d5-5478-41d6-b9d3-f1b0835f695b
ae494516-47aa-4e55-a01d-d2ce9d903618
32488c4e-39a5-4dc4-95b4-e7a6733e288b
705aa849-cf24-4219-84c6-3f7a90a8c58c","","","basic programmes and qualifications","basic programmes and qualifications",""
"687671b2ebd2bf665349a3b4","http://data.europa.eu/esco/isced-f/0011","df40690c-021d-4836-8e46-13d4f7e1ad3a
21751aeb-29c2-49c9-9784-36fb8b4b00a1
acb4a378-2d92-43f7-b1f2-2fc30256df2f
3cbac60e-3521-4876-aad0-a576af0222c1
b4b07d7c-6ef2-4aae-ae12-f52636da59af","","","basic programmes and qualifications","basic programmes and qualifications","Basic programmes and qualifications are designed to provide participants with fundamental skills in reading, writing and arithmetic along with an elementary understanding of other subjects such as history, geography, natural science, social science, art and music, and in some cases religious instruction. These programmes and qualifications are normally offered at primary and lower secondary levels. Broad, non-specialised programmes at upper secondary level are also classified here even if there is some concentration on, for example, humanities, social science, natural science etc. Vocational programmes and qualifications are included here only by way of exception.
Programmes and qualifications with the following main subject content are classified here:
Basic programmes and qualifications
Broad, generic (non-specialised) programmes and qualifications
General programmes and qualifications with no specific subject emphasis
Programmes and qualifications at primary level

=== Inclusions
Basic programmes and qualifications at upper secondary level (in some countries at lower secondary level) with some emphasis on e.g. humanities, social sciences or natural sciences but still covering other fields of knowledge are included in this detailed field. In some countries such programmes or qualifications are offered on a modular basis and should also be classified here.

=== Exclusions
Programmes that are considered as general in the programme orientation sense (non-vocational) but have a clear emphasis on a detailed, narrow or broad field are excluded from this detailed field and included in one of the broad fields 01-10, depending on the subject covered."
"687671b2ebd2bf665349a3b5","http://data.europa.eu/esco/isced-f/002","a8bdc655-aedb-44a3-8d4b-10d6b950dd94
dcb1ad4b-3ecf-4a1a-8afe-ce5e841028b4
8d527863-992f-431e-8d99-fece30606a73
46a562de-d7bd-4171-8920-0dfe0d9d5bd2
181996d3-f1b8-4c64-81f5-d4029ec35594","","","literacy and numeracy","literacy and numeracy",""
"687671b2ebd2bf665349a3b6","http://data.europa.eu/esco/isced-f/0021","1224fb88-8498-4246-b410-b4bd1a05c192
9db46c4c-03d9-4985-baa8-6a54d3abd0a4
047a9797-e22b-40f0-bd09-9aea7410d372
47699e79-d78d-4f36-8312-8f2dbfd82348
e9d59046-6dc8-4e8e-ba10-46c81807d262","","","literacy and numeracy","literacy and numeracy","Literacy and numeracy are programmes or qualifications arranged mainly for adults, designed to teach fundamental skills in reading, writing and arithmetic. The typical age range of participants can be used to distinguish between detailed field 0011 'Basic programmes and qualifications' and this detailed field.
Programmes and qualifications with the following main content are classified here:
Basic remedial programmes for youth or adults
Literacy
Numeracy"
"687671b2ebd2bf665349a3b7","http://data.europa.eu/esco/isced-f/003","72e96afd-75ff-4781-b46b-6b03f4e715cf
d358bd37-2314-4f0d-ae3c-773c29012ed6
c0830ade-1fac-4108-9e13-a507b967149b
1f75e70d-f92a-403f-a383-88659194852b
386fe5b7-05dc-4bc7-9cc6-f325db7747fd","","","personal skills and development","personal skills and development",""
"687671b2ebd2bf665349a3b8","http://data.europa.eu/esco/isced-f/0031","4b1c110e-459a-4777-a12f-d9a729a56981
40c0c2a3-5e88-4ca1-9c14-9829ab6fd39f
5279aaa9-7064-4557-980f-ce62ba8ea2c2
8af0d02b-18c5-4706-b9af-c1e586e7a308
3643ac30-9091-4606-9623-73c024ed3c8c","","","personal skills and development","personal skills and development","Personal skills are defined by reference to the effects on the individual's capacity (mental, social etc.). This detailed field covers personal skills programmes not included in 0011 'Basic programmes and qualifications' or 0021 'Literacy and numeracy', giving key competencies and transferable skills.
Programmes and qualifications with the following main content are classified here:
Argumentation and presentation
Assertiveness training
Communication skills
Co-operation
Development of behavioural capacities
Development of mental skills
Job-seeking programmes
Parenting courses
Public speaking
Self-esteem skills
Social competence
Time management

=== Inclusions
Education and training in leadership in the context of personal development is included here.
Education and training related to the work place or to work assignments is included in this detailed field if it has more to do with personal development than work development. Personal skills courses can be taught at the workplace, but still be classified here based on their content.
Programmes for people with special needs on how to cope with their daily life are included here

=== Exclusions
Study of leadership in the context of management is excluded from this group and included in detailed field 0413 'Management and administration'."
"687671b2ebd2bf665349a3b9","http://data.europa.eu/esco/isced-f/009","ac40d5ff-0e1b-4160-b9d1-4a9bd49a0799
c8b12388-48cb-4fe5-b8c8-633d2fe4db0e
10357626-9bac-40d0-a9d0-56be7c5e134a
d04da3da-45af-4c8c-8b68-68bd2cfa07e5
0c0e05e2-1de6-436d-9e94-2eb8a96b2102","","","generic programmes and qualifications not elsewhere classified","generic programmes and qualifications not elsewhere classified",""
