"PARENTOBJECTTYPE","PARENTID","CHILDID","CHILDOBJECTTYPE"
"skillgroup","687671b3ebd2bf665349a5c9","687671b2ebd2bf665349a3b0","skillgroup"
"skillgroup","687671b2ebd2bf665349a3b0","687671b2ebd2bf665349a3b1","skillgroup"
"skillgroup","687671b2ebd2bf665349a3b1","687671b2ebd2bf665349a3b2","skillgroup"
"skillgroup","687671b2ebd2bf665349a3b0","687671b2ebd2bf665349a3b3","skillgroup"
"skillgroup","687671b2ebd2bf665349a3b3","687671b2ebd2bf665349a3b4","skillgroup"
"skillgroup","687671b2ebd2bf665349a3b0","687671b2ebd2bf665349a3b5","skillgroup"
"skillgroup","687671b2ebd2bf665349a3b5","687671b2ebd2bf665349a3b6","skillgroup"
"skillgroup","687671b2ebd2bf665349a3b0","687671b2ebd2bf665349a3b7","skillgroup"
"skillgroup","687671b2ebd2bf665349a3b7","687671b2ebd2bf665349a3b8","skillgroup"
"skillgroup","687671b2ebd2bf665349a3b0","687671b2ebd2bf665349a3b9","skillgroup"
"skillgroup","687671b2ebd2bf665349a3b9","687671b2ebd2bf665349a3ba","skillgroup"
"skillgroup","687671b3ebd2bf665349a5c9","687671b2ebd2bf665349a3bb","skillgroup"
"skillgroup","687671b2ebd2bf665349a3bb","687671b2ebd2bf665349a3bc","skillgroup"
"skillgroup","687671b2ebd2bf665349a3bc","687671b2ebd2bf665349a3bd","skillgroup"
"skillgroup","687671b2ebd2bf665349a3bc","687671b2ebd2bf665349a3be","skillgroup"
"skillgroup","687671b2ebd2bf665349a3bc","687671b2ebd2bf665349a3bf","skillgroup"
"skillgroup","687671b2ebd2bf665349a3bc","687671b2ebd2bf665349a3c0","skillgroup"
"skillgroup","687671b2ebd2bf665349a3bc","687671b2ebd2bf665349a3c1","skillgroup"
"skillgroup","687671b2ebd2bf665349a3bc","687671b2ebd2bf665349a3c2","skillgroup"
"skillgroup","687671b2ebd2bf665349a3bb","687671b2ebd2bf665349a3c3","skillgroup"
"skillgroup","687671b2ebd2bf665349a3c3","687671b2ebd2bf665349a3c4","skillgroup"
"skillgroup","687671b3ebd2bf665349a5c9","687671b2ebd2bf665349a3c5","skillgroup"
"skillgroup","687671b2ebd2bf665349a3c5","687671b2ebd2bf665349a3c6","skillgroup"
"skillgroup","687671b2ebd2bf665349a3c6","687671b2ebd2bf665349a3c7","skillgroup"
"skillgroup","687671b2ebd2bf665349a3c5","687671b2ebd2bf665349a3c8","skillgroup"
"skillgroup","687671b2ebd2bf665349a3c8","687671b2ebd2bf665349a3c9","skillgroup"
"skillgroup","687671b2ebd2bf665349a3c8","687671b2ebd2bf665349a3ca","skillgroup"
"skillgroup","687671b2ebd2bf665349a3c8","687671b2ebd2bf665349a3cb","skillgroup"
"skillgroup","687671b2ebd2bf665349a3c8","687671b2ebd2bf665349a3cc","skillgroup"
"skillgroup","687671b2ebd2bf665349a3c8","687671b2ebd2bf665349a3cd","skillgroup"
"skillgroup","687671b2ebd2bf665349a3c8","687671b2ebd2bf665349a3ce","skillgroup"
"skillgroup","687671b2ebd2bf665349a3c8","687671b2ebd2bf665349a3cf","skillgroup"
"skillgroup","687671b2ebd2bf665349a3c5","687671b2ebd2bf665349a3d0","skillgroup"
"skillgroup","687671b2ebd2bf665349a3d0","687671b2ebd2bf665349a3d1","skillgroup"
"skillgroup","687671b2ebd2bf665349a3d0","687671b2ebd2bf665349a3d2","skillgroup"
"skillgroup","687671b2ebd2bf665349a3d0","687671b2ebd2bf665349a3d3","skillgroup"
"skillgroup","687671b2ebd2bf665349a3d0","687671b2ebd2bf665349a3d4","skillgroup"
"skillgroup","687671b2ebd2bf665349a3d0","687671b2ebd2bf665349a3d5","skillgroup"
