"PARENTOBJECTTYPE","PARENTID","CHILDID","CHILDOBJECTTYPE","CREATEDAT","UPDATEDAT"
"iscogroup","67f040cd52c59bbdf744f2c1","67f040cd52c59bbdf744f2c2","iscogroup","2025-04-04T20:28:17.547Z","2025-04-04T20:28:17.547Z"
"iscogroup","67f040cd52c59bbdf744f2c2","67f040cd52c59bbdf744f2c3","iscogroup","2025-04-04T20:28:17.547Z","2025-04-04T20:28:17.547Z"
"iscogroup","67f040cd52c59bbdf744f2c3","67f040cd52c59bbdf744f2c4","iscogroup","2025-04-04T20:28:17.547Z","2025-04-04T20:28:17.547Z"
"iscogroup","67f040cd52c59bbdf744f2c1","67f040cd52c59bbdf744f2c5","iscogroup","2025-04-04T20:28:17.547Z","2025-04-04T20:28:17.547Z"
"iscogroup","67f040cd52c59bbdf744f2c5","67f040cd52c59bbdf744f2c6","iscogroup","2025-04-04T20:28:17.547Z","2025-04-04T20:28:17.547Z"
"iscogroup","67f040cd52c59bbdf744f2c6","67f040cd52c59bbdf744f2c7","iscogroup","2025-04-04T20:28:17.548Z","2025-04-04T20:28:17.548Z"
"iscogroup","67f040cd52c59bbdf744f2c1","67f040cd52c59bbdf744f2c8","iscogroup","2025-04-04T20:28:17.548Z","2025-04-04T20:28:17.548Z"
"iscogroup","67f040cd52c59bbdf744f2c8","67f040cd52c59bbdf744f2c9","iscogroup","2025-04-04T20:28:17.548Z","2025-04-04T20:28:17.548Z"
"iscogroup","67f040cd52c59bbdf744f2c9","67f040cd52c59bbdf744f2ca","iscogroup","2025-04-04T20:28:17.548Z","2025-04-04T20:28:17.548Z"
"iscogroup","67f040cd52c59bbdf744f2cb","67f040cd52c59bbdf744f2cc","iscogroup","2025-04-04T20:28:17.548Z","2025-04-04T20:28:17.548Z"
"iscogroup","67f040cd52c59bbdf744f2cc","67f040cd52c59bbdf744f2cd","iscogroup","2025-04-04T20:28:17.548Z","2025-04-04T20:28:17.548Z"
"iscogroup","67f040cd52c59bbdf744f2cd","67f040cd52c59bbdf744f2ce","iscogroup","2025-04-04T20:28:17.548Z","2025-04-04T20:28:17.548Z"
"iscogroup","67f040cd52c59bbdf744f2cd","67f040cd52c59bbdf744f2cf","iscogroup","2025-04-04T20:28:17.548Z","2025-04-04T20:28:17.548Z"
"iscogroup","67f040cd52c59bbdf744f2cd","67f040cd52c59bbdf744f2d0","iscogroup","2025-04-04T20:28:17.548Z","2025-04-04T20:28:17.548Z"
