"PARENTOBJECTTYPE","PARENTID","CHILDID","CHILDOBJECTTYPE","CREATEDAT","UPDATEDAT"
"skillgroup","67f040cf52c59bbdf744f756","67f040ce52c59bbdf744f53d","skillgroup","2025-04-04T20:28:21.167Z","2025-04-04T20:28:21.167Z"
"skillgroup","67f040ce52c59bbdf744f53d","67f040ce52c59bbdf744f53e","skillgroup","2025-04-04T20:28:21.167Z","2025-04-04T20:28:21.167Z"
"skillgroup","67f040ce52c59bbdf744f53e","67f040ce52c59bbdf744f53f","skillgroup","2025-04-04T20:28:21.167Z","2025-04-04T20:28:21.167Z"
"skillgroup","67f040ce52c59bbdf744f53d","67f040ce52c59bbdf744f540","skillgroup","2025-04-04T20:28:21.167Z","2025-04-04T20:28:21.167Z"
"skillgroup","67f040ce52c59bbdf744f540","67f040ce52c59bbdf744f541","skillgroup","2025-04-04T20:28:21.167Z","2025-04-04T20:28:21.167Z"
"skillgroup","67f040ce52c59bbdf744f53d","67f040ce52c59bbdf744f542","skillgroup","2025-04-04T20:28:21.167Z","2025-04-04T20:28:21.167Z"
"skillgroup","67f040ce52c59bbdf744f542","67f040ce52c59bbdf744f543","skillgroup","2025-04-04T20:28:21.167Z","2025-04-04T20:28:21.167Z"
"skillgroup","67f040ce52c59bbdf744f53d","67f040ce52c59bbdf744f544","skillgroup","2025-04-04T20:28:21.167Z","2025-04-04T20:28:21.167Z"
"skillgroup","67f040ce52c59bbdf744f544","67f040ce52c59bbdf744f545","skillgroup","2025-04-04T20:28:21.167Z","2025-04-04T20:28:21.167Z"
"skillgroup","67f040ce52c59bbdf744f53d","67f040ce52c59bbdf744f546","skillgroup","2025-04-04T20:28:21.167Z","2025-04-04T20:28:21.167Z"
"skillgroup","67f040ce52c59bbdf744f546","67f040ce52c59bbdf744f547","skillgroup","2025-04-04T20:28:21.167Z","2025-04-04T20:28:21.167Z"
"skillgroup","67f040cf52c59bbdf744f756","67f040ce52c59bbdf744f548","skillgroup","2025-04-04T20:28:21.167Z","2025-04-04T20:28:21.167Z"
"skillgroup","67f040ce52c59bbdf744f548","67f040ce52c59bbdf744f549","skillgroup","2025-04-04T20:28:21.167Z","2025-04-04T20:28:21.167Z"
"skillgroup","67f040ce52c59bbdf744f549","67f040ce52c59bbdf744f54a","skillgroup","2025-04-04T20:28:21.167Z","2025-04-04T20:28:21.167Z"
