PARENTOBJECTTYPE,PARENTID,CHILDID,CHILDOBJECTTYPE
skillgroup,key_1157,key_620,skillgroup
skillgroup,key_620,key_621,skillgroup
skillgroup,key_621,key_622,skillgroup
skillgroup,key_620,key_623,skillgroup
skillgroup,key_623,key_624,skillgroup
skillgroup,key_620,key_625,skillgroup
skillgroup,key_625,key_626,skillgroup
skillgroup,key_620,key_627,skillgroup
skillgroup,key_627,key_628,skillgroup
skillgroup,key_620,key_629,skillgroup
skillgroup,key_629,key_630,skillgroup
skillgroup,key_1157,key_631,skillgroup
skillgroup,key_631,key_632,skillgroup
skillgroup,key_632,key_633,skillgroup
skillgroup,key_632,key_634,skillgroup
skillgroup,key_632,key_635,skillgroup
skillgroup,key_632,key_636,skillgroup
skillgroup,key_632,key_637,skillgroup
skillgroup,key_632,key_638,skillgroup
skillgroup,key_631,key_639,skillgroup
skillgroup,key_639,key_640,skillgroup
skillgroup,key_1157,key_641,skillgroup
skillgroup,key_641,key_642,skillgroup
skillgroup,key_642,key_643,skillgroup
skillgroup,key_641,key_644,skillgroup
skillgroup,key_644,key_645,skillgroup
skillgroup,key_644,key_646,skillgroup
skillgroup,key_644,key_647,skillgroup
skillgroup,key_644,key_648,skillgroup
skillgroup,key_644,key_649,skillgroup
skillgroup,key_644,key_650,skillgroup
skillgroup,key_644,key_651,skillgroup
skillgroup,key_641,key_652,skillgroup
skillgroup,key_652,key_653,skillgroup
skillgroup,key_652,key_654,skillgroup
skillgroup,key_652,key_655,skillgroup
skillgroup,key_652,key_656,skillgroup
skillgroup,key_652,key_657,skillgroup
skillgroup,key_652,key_658,skillgroup
skillgroup,key_641,key_659,skillgroup
skillgroup,key_659,key_660,skillgroup
skillgroup,key_659,key_661,skillgroup
skillgroup,key_659,key_662,skillgroup
skillgroup,key_659,key_663,skillgroup
skillgroup,key_641,key_664,skillgroup
skillgroup,key_664,key_665,skillgroup
skillgroup,key_641,key_666,skillgroup
skillgroup,key_666,key_667,skillgroup
skillgroup,key_1157,key_668,skillgroup
skillgroup,key_668,key_669,skillgroup
skillgroup,key_669,key_670,skillgroup
skillgroup,key_668,key_671,skillgroup
skillgroup,key_671,key_672,skillgroup
skillgroup,key_671,key_673,skillgroup
skillgroup,key_671,key_674,skillgroup
skillgroup,key_671,key_675,skillgroup
skillgroup,key_671,key_676,skillgroup
skillgroup,key_671,key_677,skillgroup
skillgroup,key_668,key_678,skillgroup
skillgroup,key_678,key_679,skillgroup
skillgroup,key_678,key_680,skillgroup
skillgroup,key_678,key_681,skillgroup
skillgroup,key_678,key_682,skillgroup
skillgroup,key_668,key_683,skillgroup
skillgroup,key_683,key_684,skillgroup
skillgroup,key_668,key_685,skillgroup
skillgroup,key_685,key_686,skillgroup
skillgroup,key_1157,key_687,skillgroup
skillgroup,key_687,key_688,skillgroup
skillgroup,key_688,key_689,skillgroup
skillgroup,key_687,key_690,skillgroup
skillgroup,key_690,key_691,skillgroup
skillgroup,key_690,key_692,skillgroup
skillgroup,key_690,key_693,skillgroup
skillgroup,key_690,key_694,skillgroup
skillgroup,key_690,key_695,skillgroup
skillgroup,key_690,key_696,skillgroup
skillgroup,key_690,key_697,skillgroup
skillgroup,key_690,key_698,skillgroup
skillgroup,key_690,key_699,skillgroup
skillgroup,key_687,key_700,skillgroup
skillgroup,key_700,key_701,skillgroup
skillgroup,key_687,key_702,skillgroup
skillgroup,key_702,key_703,skillgroup
skillgroup,key_687,key_704,skillgroup
skillgroup,key_704,key_705,skillgroup
skillgroup,key_1157,key_706,skillgroup
skillgroup,key_706,key_707,skillgroup
skillgroup,key_707,key_708,skillgroup
skillgroup,key_706,key_709,skillgroup
skillgroup,key_709,key_710,skillgroup
skillgroup,key_709,key_711,skillgroup
skillgroup,key_709,key_712,skillgroup
skillgroup,key_709,key_713,skillgroup
skillgroup,key_706,key_714,skillgroup
skillgroup,key_714,key_715,skillgroup
skillgroup,key_714,key_716,skillgroup
skillgroup,key_714,key_717,skillgroup
skillgroup,key_714,key_718,skillgroup
skillgroup,key_706,key_719,skillgroup
skillgroup,key_719,key_720,skillgroup
skillgroup,key_719,key_721,skillgroup
skillgroup,key_719,key_722,skillgroup
skillgroup,key_719,key_723,skillgroup
skillgroup,key_719,key_724,skillgroup
skillgroup,key_706,key_725,skillgroup
skillgroup,key_725,key_726,skillgroup
skillgroup,key_725,key_727,skillgroup
skillgroup,key_725,key_728,skillgroup
skillgroup,key_706,key_729,skillgroup
skillgroup,key_729,key_730,skillgroup
skillgroup,key_706,key_731,skillgroup
skillgroup,key_731,key_732,skillgroup
skillgroup,key_1157,key_733,skillgroup
skillgroup,key_733,key_734,skillgroup
skillgroup,key_734,key_735,skillgroup
skillgroup,key_734,key_736,skillgroup
skillgroup,key_734,key_737,skillgroup
skillgroup,key_734,key_738,skillgroup
skillgroup,key_734,key_739,skillgroup
skillgroup,key_733,key_740,skillgroup
skillgroup,key_740,key_741,skillgroup
skillgroup,key_1157,key_742,skillgroup
skillgroup,key_742,key_743,skillgroup
skillgroup,key_743,key_744,skillgroup
skillgroup,key_742,key_745,skillgroup
skillgroup,key_745,key_746,skillgroup
skillgroup,key_745,key_747,skillgroup
skillgroup,key_745,key_748,skillgroup
skillgroup,key_745,key_749,skillgroup
skillgroup,key_745,key_750,skillgroup
skillgroup,key_745,key_751,skillgroup
skillgroup,key_745,key_752,skillgroup
skillgroup,key_745,key_753,skillgroup
skillgroup,key_742,key_754,skillgroup
skillgroup,key_754,key_755,skillgroup
skillgroup,key_754,key_756,skillgroup
skillgroup,key_754,key_757,skillgroup
skillgroup,key_754,key_758,skillgroup
skillgroup,key_754,key_759,skillgroup
skillgroup,key_754,key_760,skillgroup
skillgroup,key_742,key_761,skillgroup
skillgroup,key_761,key_762,skillgroup
skillgroup,key_761,key_763,skillgroup
skillgroup,key_761,key_764,skillgroup
skillgroup,key_742,key_765,skillgroup
skillgroup,key_765,key_766,skillgroup
skillgroup,key_742,key_767,skillgroup
skillgroup,key_767,key_768,skillgroup
skillgroup,key_1157,key_769,skillgroup
skillgroup,key_769,key_770,skillgroup
skillgroup,key_770,key_771,skillgroup
skillgroup,key_769,key_772,skillgroup
skillgroup,key_772,key_773,skillgroup
skillgroup,key_772,key_774,skillgroup
skillgroup,key_772,key_775,skillgroup
skillgroup,key_772,key_776,skillgroup
skillgroup,key_769,key_777,skillgroup
skillgroup,key_777,key_778,skillgroup
skillgroup,key_769,key_779,skillgroup
skillgroup,key_779,key_780,skillgroup
skillgroup,key_769,key_781,skillgroup
skillgroup,key_781,key_782,skillgroup
skillgroup,key_769,key_783,skillgroup
skillgroup,key_783,key_784,skillgroup
skillgroup,key_769,key_785,skillgroup
skillgroup,key_785,key_786,skillgroup
skillgroup,key_1157,key_787,skillgroup
skillgroup,key_787,key_788,skillgroup
