PARENTOBJECTTYPE,PARENTID,CHILDID,CHILDOBJECTTYPE
iscogroup,key_1,key_2,iscogroup
iscogroup,key_2,key_3,iscogroup
iscogroup,key_3,key_4,iscogroup
iscogroup,key_1,key_5,iscogroup
iscogroup,key_5,key_6,iscogroup
iscogroup,key_6,key_7,iscogroup
iscogroup,key_1,key_8,iscogroup
iscogroup,key_8,key_9,iscogroup
iscogroup,key_9,key_10,iscogroup
iscogroup,key_11,key_12,iscogroup
iscogroup,key_12,key_13,iscogroup
iscogroup,key_13,key_14,iscogroup
iscogroup,key_13,key_15,iscogroup
iscogroup,key_13,key_16,iscogroup
iscogroup,key_13,key_17,iscogroup
iscogroup,key_12,key_18,iscogroup
iscogroup,key_18,key_19,iscogroup
iscogroup,key_11,key_20,iscogroup
iscogroup,key_20,key_21,iscogroup
iscogroup,key_21,key_22,iscogroup
iscogroup,key_21,key_23,iscogroup
iscogroup,key_21,key_24,iscogroup
iscogroup,key_21,key_25,iscogroup
iscogroup,key_20,key_26,iscogroup
iscogroup,key_26,key_27,iscogroup
iscogroup,key_26,key_28,iscogroup
iscogroup,key_26,key_29,iscogroup
iscogroup,key_11,key_30,iscogroup
iscogroup,key_30,key_31,iscogroup
iscogroup,key_31,key_32,iscogroup
iscogroup,key_31,key_33,iscogroup
iscogroup,key_30,key_34,iscogroup
iscogroup,key_34,key_35,iscogroup
iscogroup,key_34,key_36,iscogroup
iscogroup,key_34,key_37,iscogroup
iscogroup,key_34,key_38,iscogroup
iscogroup,key_30,key_39,iscogroup
iscogroup,key_39,key_40,iscogroup
iscogroup,key_30,key_41,iscogroup
iscogroup,key_41,key_42,iscogroup
iscogroup,key_41,key_43,iscogroup
iscogroup,key_41,key_44,iscogroup
iscogroup,key_41,key_45,iscogroup
iscogroup,key_41,key_46,iscogroup
iscogroup,key_41,key_47,iscogroup
iscogroup,key_41,key_48,iscogroup
iscogroup,key_11,key_49,iscogroup
iscogroup,key_49,key_50,iscogroup
iscogroup,key_50,key_51,iscogroup
iscogroup,key_50,key_52,iscogroup
iscogroup,key_49,key_53,iscogroup
iscogroup,key_53,key_54,iscogroup
iscogroup,key_49,key_55,iscogroup
iscogroup,key_55,key_56,iscogroup
iscogroup,key_55,key_57,iscogroup
iscogroup,key_58,key_59,iscogroup
iscogroup,key_59,key_60,iscogroup
iscogroup,key_60,key_61,iscogroup
iscogroup,key_60,key_62,iscogroup
iscogroup,key_60,key_63,iscogroup
iscogroup,key_60,key_64,iscogroup
iscogroup,key_59,key_65,iscogroup
iscogroup,key_65,key_66,iscogroup
iscogroup,key_59,key_67,iscogroup
iscogroup,key_67,key_68,iscogroup
iscogroup,key_67,key_69,iscogroup
iscogroup,key_67,key_70,iscogroup
iscogroup,key_59,key_71,iscogroup
iscogroup,key_71,key_72,iscogroup
iscogroup,key_71,key_73,iscogroup
iscogroup,key_71,key_74,iscogroup
iscogroup,key_71,key_75,iscogroup
iscogroup,key_71,key_76,iscogroup
iscogroup,key_71,key_77,iscogroup
iscogroup,key_71,key_78,iscogroup
iscogroup,key_59,key_79,iscogroup
iscogroup,key_79,key_80,iscogroup
iscogroup,key_79,key_81,iscogroup
iscogroup,key_79,key_82,iscogroup
iscogroup,key_59,key_83,iscogroup
iscogroup,key_83,key_84,iscogroup
iscogroup,key_83,key_85,iscogroup
iscogroup,key_83,key_86,iscogroup
iscogroup,key_83,key_87,iscogroup
iscogroup,key_83,key_88,iscogroup
iscogroup,key_83,key_89,iscogroup
iscogroup,key_58,key_90,iscogroup
iscogroup,key_90,key_91,iscogroup
iscogroup,key_91,key_92,iscogroup
iscogroup,key_91,key_93,iscogroup
iscogroup,key_90,key_94,iscogroup
iscogroup,key_94,key_95,iscogroup
iscogroup,key_94,key_96,iscogroup
iscogroup,key_90,key_97,iscogroup
iscogroup,key_97,key_98,iscogroup
iscogroup,key_90,key_99,iscogroup
iscogroup,key_99,key_100,iscogroup
iscogroup,key_90,key_101,iscogroup
iscogroup,key_101,key_102,iscogroup
iscogroup,key_90,key_103,iscogroup
iscogroup,key_103,key_104,iscogroup
iscogroup,key_103,key_105,iscogroup
iscogroup,key_103,key_106,iscogroup
iscogroup,key_103,key_107,iscogroup
iscogroup,key_103,key_108,iscogroup
iscogroup,key_103,key_109,iscogroup
iscogroup,key_103,key_110,iscogroup
iscogroup,key_103,key_111,iscogroup
iscogroup,key_58,key_112,iscogroup
iscogroup,key_112,key_113,iscogroup
iscogroup,key_113,key_114,iscogroup
iscogroup,key_112,key_115,iscogroup
iscogroup,key_115,key_116,iscogroup
iscogroup,key_112,key_117,iscogroup
iscogroup,key_117,key_118,iscogroup
iscogroup,key_112,key_119,iscogroup
iscogroup,key_119,key_120,iscogroup
iscogroup,key_119,key_121,iscogroup
iscogroup,key_112,key_122,iscogroup
iscogroup,key_122,key_123,iscogroup
iscogroup,key_122,key_124,iscogroup
iscogroup,key_122,key_125,iscogroup
iscogroup,key_122,key_126,iscogroup
iscogroup,key_122,key_127,iscogroup
iscogroup,key_122,key_128,iscogroup
iscogroup,key_122,key_129,iscogroup
iscogroup,key_58,key_130,iscogroup
iscogroup,key_130,key_131,iscogroup
iscogroup,key_131,key_132,iscogroup
iscogroup,key_131,key_133,iscogroup
iscogroup,key_131,key_134,iscogroup
iscogroup,key_130,key_135,iscogroup
iscogroup,key_135,key_136,iscogroup
iscogroup,key_135,key_137,iscogroup
iscogroup,key_135,key_138,iscogroup
iscogroup,key_135,key_139,iscogroup
iscogroup,key_130,key_140,iscogroup
iscogroup,key_140,key_141,iscogroup
iscogroup,key_140,key_142,iscogroup
iscogroup,key_140,key_143,iscogroup
