OCCUPATIONOBJECTTYPE,REQUIRING,RELATIONTYPE,REQUIRED
ESCOOccupation,9f8d2336-76eb-443e-8758-a7d54ffc81c1,optional,8208e3f4-80ae-4c42-b1e0-94de63683af3
ESCOOccupation,02a2680c-7b52-4c56-82a2-1e6b607d9b74,optional,aa4a70c8-428e-460f-ac94-00f1ae21c5e0
ESCOOccupation,f7b7eee0-4068-4efb-b598-0cfa4452ebba,optional,164a73fd-6fa3-4816-8859-7ebef8ac26f7
ESCOOccupation,3dc9a07b-3efc-4b57-851b-c72b2b496b3a,optional,fda3fa73-2db6-4d2f-aa62-d275a0b96274
ESCOOccupation,590734bc-7ec8-4a6b-a520-25df507cbad5,optional,94a0cc51-8147-4738-9ebe-12ed766d5181
ESCOOccupation,3b4eb223-fdc0-432f-968a-52be32f5ff84,optional,0e24a3ee-603f-443b-aff1-c8b026f6d99b
ESCOOccupation,3b4eb223-fdc0-432f-968a-52be32f5ff84,optional,22a4b989-cfd5-4178-b65b-5649e69921fb
ESCOOccupation,3b4eb223-fdc0-432f-968a-52be32f5ff84,optional,d6ddc5ff-c3a7-4cef-bea5-39857da04829
ESCOOccupation,3b4eb223-fdc0-432f-968a-52be32f5ff84,optional,c3b75041-9f43-4aa1-b9be-0ccec093baad
ESCOOccupation,67e81635-76f5-4932-90ef-171d5906722e,optional,a823f2dd-2a60-4efa-bf3c-5ce6869ceb48
ESCOOccupation,227f023f-ca99-467c-97f4-475717af2948,optional,57c08941-a656-4825-b808-b259b6bf404f
ESCOOccupation,227f023f-ca99-467c-97f4-475717af2948,optional,5f070311-b210-49ea-865b-619f9406bf4b
ESCOOccupation,a97140a4-3d93-41b1-a6fb-b56f17bed5bb,optional,783b23ec-0ef4-49be-bba1-a3dad194cd93
ESCOOccupation,2dc5e844-93e2-4a33-939c-d440c9b814df,optional,ee3d3360-9c5e-4bdc-a2a5-dc3e792e5303
ESCOOccupation,2dc5e844-93e2-4a33-939c-d440c9b814df,optional,0a03e565-34a4-4ddb-aa8b-3167484b6708
