PARENTOBJECTTYPE,PARENTUUID,CHILDUUID,CHILDOBJECTTYPE
SkillGroup,0f8ce649-6a97-4e67-90a1-080fd6de417a,3d14ffa3-779e-4f52-bdf8-55c34d526338,SkillGroup
SkillGroup,3d14ffa3-779e-4f52-bdf8-55c34d526338,d7954d6c-c5eb-4fb5-b574-c2191e9bb8bf,SkillGroup
SkillGroup,d7954d6c-c5eb-4fb5-b574-c2191e9bb8bf,1b0201f4-5ce0-4c23-8a2a-a0ea640a1d76,SkillGroup
SkillGroup,3d14ffa3-779e-4f52-bdf8-55c34d526338,0cce7e08-93aa-48fc-8a86-8b08f80314cf,SkillGroup
SkillGroup,0cce7e08-93aa-48fc-8a86-8b08f80314cf,0a450814-b283-4864-b676-fca2ccdd1468,SkillGroup
SkillGroup,3d14ffa3-779e-4f52-bdf8-55c34d526338,a840f371-8581-433c-b0c5-5c4133dc75f9,SkillGroup
SkillGroup,a840f371-8581-433c-b0c5-5c4133dc75f9,952db0f8-715c-464c-8bcf-3990bb7aee30,SkillGroup
SkillGroup,3d14ffa3-779e-4f52-bdf8-55c34d526338,4b9c1afc-111c-4da1-91ed-008b985181fe,SkillGroup
SkillGroup,4b9c1afc-111c-4da1-91ed-008b985181fe,8caefd6b-6d27-4b09-b121-274642559d9d,SkillGroup
SkillGroup,3d14ffa3-779e-4f52-bdf8-55c34d526338,2c282045-8881-40b0-b0bb-65c0fefe7241,SkillGroup
SkillGroup,2c282045-8881-40b0-b0bb-65c0fefe7241,21aab124-d51e-41ff-ac0f-2d1fb1dc0cda,SkillGroup
SkillGroup,0f8ce649-6a97-4e67-90a1-080fd6de417a,f68e47d4-637d-46be-a097-000ff028dcf0,SkillGroup
SkillGroup,f68e47d4-637d-46be-a097-000ff028dcf0,5fc9e51e-e194-4b26-9161-ec2594d9779e,SkillGroup
SkillGroup,5fc9e51e-e194-4b26-9161-ec2594d9779e,f93b70c4-e76a-4d78-9c62-1d9d7bb70004,SkillGroup
SkillGroup,5fc9e51e-e194-4b26-9161-ec2594d9779e,be077da4-e5f4-48e7-94ba-fd60e3f33a0f,SkillGroup
SkillGroup,5fc9e51e-e194-4b26-9161-ec2594d9779e,bc720806-d6e5-4d90-b440-a17b23845a1f,SkillGroup
SkillGroup,5fc9e51e-e194-4b26-9161-ec2594d9779e,16219f62-9cbe-4f2b-b73f-9847c4dd7c39,SkillGroup
SkillGroup,5fc9e51e-e194-4b26-9161-ec2594d9779e,157e65be-92c4-4fef-b06b-238246686163,SkillGroup
