ORIGINURI,ID,UUIDHISTORY,CODE,PREFERREDLABEL,ALTLABELS,DESCRIPTION
http://data.europa.eu/esco/isco/C0,key_1,"c425c0f1-e99d-4b34-beeb-68968290a03a
fe58691f-d93b-4947-b42e-905a66d8482d
375ad4ae-0113-4d76-b42a-e7b9ad8178bd",0,Professions militaires,,
http://data.europa.eu/esco/isco/C01,key_2,"5aab2266-b7c9-44eb-a5ad-61191a8690ba
226f2dc4-6035-4743-9cc1-af8564f241a6
cf84519f-ff3c-459c-b5f7-7221c4261e00",01,Officiers des forces armées,,
http://data.europa.eu/esco/isco/C011,key_3,"3b0c7fb4-28b6-443d-a0c9-c45de1db98e2
7c4ff90c-35bb-48aa-b53c-365746fab575
4cbf6d83-8d95-484b-80c5-fc2b3ea556f5",011,Officiers des forces armées,,
http://data.europa.eu/esco/isco/C0110,key_4,"93441b84-a559-4085-8c29-dda86b4b9ca5
1b6874aa-70d3-4d4b-ae9a-215054456a9f
3f6ce529-1673-4957-a404-6da3ea6d68a5",0110,Officiers des forces armées,,
http://data.europa.eu/esco/isco/C02,key_5,"841e4c2d-2425-4124-92f6-ee29299a663f
f19639d9-c0e1-4957-8594-7f3f4c88a955
92d2f425-b38f-422b-ac9e-37bf20328fb3",02,Sous-officiers des forces armées,,
http://data.europa.eu/esco/isco/C021,key_6,"07e4d6fd-b7cf-46c6-a800-fc5fd5ac5a1f
6d3aeec1-4585-49ee-9b12-60da4e20e932
b0973fd1-8fac-48bd-857e-8466a3ec061b",021,Sous-officiers des forces armées,,
http://data.europa.eu/esco/isco/C0210,key_7,"a1ac2969-ea26-4f36-82cc-ed35b1adf1bb
8221a961-2a3e-4332-bc34-8564b83aa676
e17d3987-937c-42f0-b719-a0d5d54a4e99",0210,Sous-officiers des forces armées,,
http://data.europa.eu/esco/isco/C03,key_8,"458bb2ef-95f4-4e53-b82b-05cd01825640
0e6b6824-a213-44bc-be87-422fbbef1ee0
2d9a7de0-6e72-4589-8c65-8d478997e5d6",03,Autres membres des forces armées,,
http://data.europa.eu/esco/isco/C031,key_9,"2cb35bc7-573c-4570-a8e3-246bc3f3ce79
08e828c1-6723-4376-9c1c-5d61c28551cf
4f080845-add6-47b8-839b-99d63d7cec1f",031,Autres membres des forces armées,,
http://data.europa.eu/esco/isco/C0310,key_10,"b93c3898-1985-42d6-af8a-b69e427eac0a
9a4be2f5-0749-4f27-aa62-21ca17c44444
1e9aac0a-8d42-43e3-823e-593202c379d3",0310,Autres membres des forces armées,,
http://data.europa.eu/esco/isco/C1,key_11,"b0b94589-32d4-477e-89c6-6eee62abf173
2eee8a0c-2789-470e-91a1-f5c8d8af11d0
71729375-90c7-402d-bb61-e9510949a732",1,"Directeurs, cadres de direction et gérants",,
http://data.europa.eu/esco/isco/C11,key_12,"efe7e057-e639-4c4d-bfb3-a79f36bcf385
ab7ea7f2-feed-4e2c-a3d4-667d452a5a1c
f7264695-922e-4dc9-afda-e7c5dfe4cfd0",11,"Directeurs généraux, cadres supérieurs et membres de l’exécutif et des corps législatifs",,
http://data.europa.eu/esco/isco/C111,key_13,"a874f83c-9f36-42ff-b134-f86d359e1490
900b618e-b823-4d46-a9b9-4fc5a981d415
eacda59a-2bfa-49ab-9c24-2d14124ac64a",111,Membres des corps législatifs et cadres supérieurs de l’administration publique,,
