ORIGINURI,ID,UUIDHISTORY,ISCOGROUPCODE,CODE,PREFERREDLABEL,ALTLABELS,DESCRIPTION,DEFINITION,SCOPENOTE,REGULATEDPROFESSIONNOTE,OCCUPATIONTYPE,ISLOCALIZED
http://data.europa.eu/esco/occupation/00030d09-2b3a-4efd-87cc-c4ea39d27c34,key_15156,"fd2c857b-7237-4beb-a18c-20f4393cebfc
74b23464-bee1-4bce-aad6-1c6448ef73b7
583cf200-fe20-4ec5-b5c9-d1a4c4fa4adb",2654,2654.1.7,directeur technique/directrice technique,"régisseuse
régisseur
directrice technique
régisseur/régisseuse
directeur technique","Les directeurs techniques/directrices techniques donnent corps aux visions artistiques des créateurs dans le respect de contraintes techniques. Ils/elles coordonnent les opérations des différentes unités de production, telles que la scène, les costumes, le son, l’éclairage et le maquillage. Ils/elles adaptent le prototype et étudient la faisabilité, la mise en œuvre, l’exploitation et le suivi technique du projet artistique. Ils/elles sont également responsables du matériel scénique et de l’équipement technique.",,,http://data.europa.eu/esco/regulated-professions/unregulated,escooccupation,false
http://data.europa.eu/esco/occupation/000e93a3-d956-4e45-aacb-f12c83fedf84,key_15157,"de063888-0e42-4ca7-8b63-a4054c601b2c
2f69467f-cb0b-45f4-bfbb-a6296c046e24
e2db15f0-9c6f-498f-b44c-cd46f1c88b51",8121,8121.4,opérateur de tréfilerie/opératrice de tréfilerie,"opérateur de tréfilerie
opératrice de tréfilerie","Les opérateurs de tréfilerie installent et font fonctionner des machines à tréfiler (appelées «bancs de tréfilage» ou «tréfileuses») pour les métaux ferreux et non ferreux destinés à la production de fils, de barres, de conduits, de profilés creux et de tuyaux rigides de forme spécifique, en réduisant la section transversale et en étirant la matière à travailler au moyen de diverses matrices à emboutir.",,,http://data.europa.eu/esco/regulated-professions/unregulated,escooccupation,false
http://data.europa.eu/esco/occupation/0019b951-c699-4191-8208-9822882d150c,key_15158,"055e2c9d-c019-426c-9c14-fb9beb2a2561
6a366187-60e5-4f47-92fd-19e76cfe573f
2cbeb0e0-df6c-4bad-961c-61558bd535dd",7543,7543.10.3,contrôleur qualité des instruments de précision/contrôleuse qualité des instruments de précision,"contrôleuse qualité des instruments de précision
contrôleur qualité des instruments de précision","Les contrôleurs qualité des instruments de précision veillent à ce que les dispositifs de précision, tels que les micromètres et les jauges, fonctionnent conformément aux spécifications de conception. Ils peuvent adapter les dispositions de précision et leurs composants en cas de défaut quelconque.",,,http://data.europa.eu/esco/regulated-professions/unregulated,escooccupation,false
http://data.europa.eu/esco/occupation/0022f466-426c-41a4-ac96-a235c945cf97,key_15159,"947a2b65-b538-4aee-bf65-1315110ec870
1d2c7d61-fe4d-4b32-b2ea-6d39f102924b
98c56f84-20ca-41d4-b325-bc8e78c9a7fe",3155,3155.1,technicien de la sécurité du trafic aérien/technicienne de la sécurité du trafic aérien,"technicienne de la sécurité du trafic aérien
technicien de la sécurité du trafic aérien","Les techniciens de la sécurité aérienne apportent un soutien technique en ce qui concerne la sécurité des systèmes de contrôle du trafic aérien et de navigation. Ils conçoivent, maintiennent, installent et exploitent ces systèmes à la fois à l’aéroport et à bord de l’avion conformément à la réglementation.",,,http://data.europa.eu/esco/regulated-professions/unregulated,escooccupation,false
http://data.europa.eu/esco/occupation/002da35b-7808-43f3-83bf-63596b8b351f,key_15160,"aa55d0ee-6877-4896-98f4-3cf1d186fe4c
855768db-6479-42ac-b933-512a83de32a4
346386d4-c1b6-4849-bdde-8a3e4d55a8b9",2431,2431.9,gestionnaire de recettes dans le secteur Horeca,"responsable des revenus hôteliers
yield manager
gestionnaire des revenus hôteliers","Les gestionnaires de recettes dans le secteur Horeca optimisent les recettes générées par les installations telles que les hôtels, les centres de vacances et le camping, en analysant les tendances et la concurrence. Ils aident les responsables de l’établissement dans les décisions stratégiques. Ils sont chargés d’analyser et d’optimiser le potentiel financier des installations et de gérer le personnel correspondant.",,,http://data.europa.eu/esco/regulated-professions/unregulated,escooccupation,false
http://data.europa.eu/esco/occupation/0044c991-c26f-4261-a213-4bd1c0564a4c,key_15161,"9f507052-70d0-4cd8-9e9e-18d8d9042bff
c447d48b-4227-48e6-93b2-9145c886e00e
43cabb2a-5841-45ab-b2f9-a79d4e9dec00",3212,3212.2,assistant de laboratoire médical/assistante de laboratoire médical,"aide-laborantine d'analyses médicales
aide-laborantin d'analyses médicales","Les assistants de laboratoire médical travaillent sous la supervision du scientifique de biologie médicale et exécutent des procédures de base en laboratoire. Ils travaillent au traitement préalable à l’analyse d’échantillons tels que le contrôle des détails des échantillons reçus pour l’analyse, le maintien des analyseurs, des réactifs de chargement et des spécimens d’emballage. Ils effectuent également des tâches de bureau telles que la surveillance du niveau des stocks de réactifs utilisés pour l’analyse.",,,http://data.europa.eu/esco/regulated-professions/unregulated,escooccupation,false
http://data.europa.eu/esco/occupation/00634fc4-802a-461b-8af0-499273756f99,key_15162,"b23319b9-5457-4f2b-acce-fbf2d1e0d011
90e3c91d-4933-449a-bc9e-edb1c6998cde
d2e17801-00e9-4061-a458-4028f831a85e",3116,3116.1.1,technicien de laboratoire asphaltes/technicienne de laboratoire asphaltes,"technicienne de laboratoire asphaltes
technicien de laboratoire asphaltes
technicien de laboratoire bitumes
technicienne de laboratoire bitumes","Les techniciens de laboratoire de l’asphalte obtiennent l’asphalte et les inspections des matières premières qui s’y rapportent et les essais en laboratoire, ce qui garantit une qualité élevée des produits. Ils participent également à l’élaboration de résolutions sur des questions techniques sur les chantiers de construction.",,,http://data.europa.eu/esco/regulated-professions/unregulated,escooccupation,false
http://data.europa.eu/esco/occupation/00674f21-2f8f-4a41-9896-133f7cbe2a6e,key_15163,"cc549327-f824-426c-a7ff-7e2fb838320e
3669978f-4647-455f-8644-30e4c8226702
bdf92600-c5fc-4851-b765-c8b64dd2f796",5312,5312.2,assistant pédagogique en école élémentaire/assistante pédagogique en école élémentaire,"assistante pédagogique en école élémentaire
assistant pédagogique en école élémentaire","Les assistants/assistantes pédagogiques en école élémentaire fournissent un soutien pédagogique et pratique aux instituteurs en école primaire. Ils/Elles donnent des cours de soutien aux élèves nécessitant une attention particulière et préparent des contenus pédagogiques. Ils/Elles effectuent également des tâches administratives, suivent les progrès et le comportement des élèves et surveillent les élèves en l’absence ou en présence de l’enseignant principal.",,,http://data.europa.eu/esco/regulated-professions/unregulated,escooccupation,false
http://data.europa.eu/esco/occupation/006cc1f9-2841-41c3-991a-dc3f2f3bd533,key_15164,"ac665745-1219-4442-86a3-cac7e449db5f
fe9ef43d-1de4-470c-8686-1e4e06cac01f
b968f668-97f3-4495-901f-bb1491784591",2264,2264.2,physiothérapeute,"masseur kinésithérapeute/masseuse kinésithérapeute
masseuse kinésithérapeute
masseur kinésithérapeute","Les physiothérapeutes sont des professionnels de la santé indépendants qui sont responsables du développement, du maintien ou du rétablissement de la fonction motrice et du mouvement pendant toute la durée de vie, selon une pratique fondée sur des données probantes. Ils/elles soulagent la douleur et traitent ou préviennent les conditions physiques associées à des lésions, maladies ou autres déficiences. Les physiothérapeutes autorisent les patients et leurs soignants à gérer la maladie en dehors des milieux cliniques. Ils/elles travaillent dans leur champ d’exercice et dans le cadre de leur code de conduite professionnel. ",,,http://data.europa.eu/esco/regulated-professions/unregulated,escooccupation,false
http://data.europa.eu/esco/occupation/00747307-6341-4266-a061-25416f7c6a96,key_15165,"05e4cad6-e075-4511-8a81-1641ee3c5444
bf11f84e-0bb7-47d1-8e7d-9addc6b66d6b
c9ee82d1-715f-49ee-b544-670a6ab37016",2310,2310.1.30,professeur de théâtre/professeure de théâtre,"professeur d’art dramatique
professeure d’art dramatique
professeur de théâtre
professeure de théâtre
professeur d’art dramatique/professeure d’art dramatique","Les professeurs de théâtre/professeures de théâtre dispensent aux étudiants des cours de théâtre théoriques et, principalement, fondés sur la pratique, dans un théâtre spécialisé, une école d’art dramatique ou un conservatoire à un niveau d’enseignement supérieur. Ils/elles dispensent des cours théoriques pour renforcer les compétences pratiques et les techniques que les étudiants doivent ensuite maîtriser au théâtre. Les professeurs de théâtre/professeures de théâtre suivent les progrès des étudiants, les aident individuellement si nécessaire, et évaluent leurs connaissances et leur pratique théâtrale par des devoirs, des épreuves et des examens.",,,http://data.europa.eu/esco/regulated-professions/unregulated,escooccupation,false
http://data.europa.eu/esco/occupation/0085f271-5999-4d42-b879-75c3b4269883,key_15166,"0948f0c7-b797-4723-8ad0-f9c0bc7400b0
7b75ce12-df36-4008-bd4b-b402e6c6e503
b4b88476-842a-44ca-9ec7-47831ba77f8c",8160,8160.39,opérateur de machine à hydrogénation/opératrice de machine à hydrogénation,"technicienne de machine à hydrogénation
opératrice de machine à hydrogéner
opérateur de machine à hydrogéner
technicien de machine à hydrogéner
technicienne de machine à hydrogéner
technicien de machine à hydrogénation",Les opérateurs de machine à hydrogénation contrôlent l’équipement de traitement des huiles de base destinées à la fabrication de margarine et de graisses alimentaires végétales.,,,http://data.europa.eu/esco/regulated-professions/unregulated,escooccupation,false
http://data.europa.eu/esco/occupation/0090dd54-057a-4f65-bbe8-f74c4999e8e8,key_15167,"406f43b6-7d0e-441b-b53b-bb1c077e6f17
4aeffe10-b2dd-42ed-9361-562a25d35541
d8eaa6e8-a946-4253-9e7b-91aef3cfd5b3",8160,8160.46,opérateur de machine de production de pâtes alimentaires/opératrice de machine de production de pâtes alimentaires,"opératrice de machine de production de pâtes alimentaires
opératrice de machine à pâtes
opérateur de machine de production de pâtes alimentaires
opérateur de machine à pâtes","Les opérateurs de machine de production de pâtes alimentaires fabriquent des pâtes alimentaires sèches. Ils déchargent les matières premières des silos de stockage et des systèmes de distribution des ingrédients. Ces opérateurs mélangent, pressent, extrudent jusqu’à atteindre les niveaux de séchage souhaités pour la pâte.",,,http://data.europa.eu/esco/regulated-professions/unregulated,escooccupation,false
http://data.europa.eu/esco/occupation/00913533-5237-4870-9003-d1cb806603c9,key_15168,"31fa40da-1103-4bd2-8eaa-09db03f1a2ec
1d118474-9099-4da4-849a-0613876e3251
e8d3156c-a6bd-4ffd-af2f-dc7b25fa4967",1420,1420.4.42,débitant de tabac/débitante de tabac,"gérante de débit de tabac
débitant de tabac
débitante de tabac
buraliste
gérant de débit de tabac",Les débitants de tabac/débitantes de tabac assument la responsabilité des activités et du personnel dans les magasins spécialisés.,,,http://data.europa.eu/esco/regulated-professions/unregulated,escooccupation,false
http://data.europa.eu/esco/occupation/009d29de-5872-43be-8d9b-abd27f8c99f1,key_15169,"3c3a86e2-7f33-4e79-bd70-839f371772a0
cfbc69ee-d014-476c-91a8-dac0d3c70df5
2c96615e-4694-407c-bde4-fd384507fe15",5249,5249.2.1,"responsable de comptoir en location d’autres machines, équipements et biens matériels","agent de comptoir en location d'autres machines, équipements et biens matériels
agente de comptoir en location d'autres machines, équipements et biens matériels","Les responsables de comptoir en location d’autres machines, équipements et biens matériels sont chargés de la location des équipements et déterminent les périodes de location. Ils/Elles traitent les transactions, les dossiers d’assurance et les paiements.",,,http://data.europa.eu/esco/regulated-professions/unregulated,escooccupation,false
http://data.europa.eu/esco/occupation/00ab29a3-6d4a-4df9-b46d-de31069e36e8,key_15170,"5be70448-6e65-4191-981e-f5a9c1ec3df0
16d08917-f3ea-446a-a3d9-e983e64698b1
e54efc19-9a4f-430b-8dc6-59805c782570",2165,2165.4.2,géomètre minier/géomètre minière,"géomètre des mines
géomètre minier
géomètre minière",Les géomètres miniers/géomètres minières préparent et tiennent à jour des plans d’exploitation minière en conformité avec les exigences réglementaires et de gestion. Ils/elles tiennent des registres de l’état d’avancement physique des opérations minières et de la production de minerai.,,,http://data.europa.eu/esco/regulated-professions/unregulated,escooccupation,false
http://data.europa.eu/esco/occupation/00ab5610-e715-428f-99f6-b1e5e469dbcd,key_15171,"abb919d0-2149-4699-87ec-e8682a95521e
7659b5d1-007c-4968-9f3c-173aa16a84f0
e555f339-0295-4546-94c8-fc3320488012",2263,2263.2,responsable sécurité sanitaire en agroalimentaire,responsable qualité sécurité environnement en agroalimentaire,Les responsables sécurité sanitaire en agroalimentaire organisent des processus et mettent en œuvre des procédures pour éviter les problèmes liés à la sécurité alimentaire. Ils/elles respectent la réglementation.,,,http://data.europa.eu/esco/regulated-professions/unregulated,escooccupation,false
