ORIGINURI,ID,UUIDHISTORY,CODE,PREFERREDLABEL,ALTLABELS,DESCRIPTION,SCOPENOTE
http://data.europa.eu/esco/isced-f/00,key_620,"7638a765-d364-44fe-b75e-5a777ae9ff00
6d7c039b-1aea-49c0-93ec-a43ed4a6a727
d4d4e095-b603-4be6-b3b8-4f1330a3f19e",,programmes et certifications génériques,,,
http://data.europa.eu/esco/isced-f/000,key_621,"d48d9f1d-79bc-4533-bdc1-3db6309d23df
6f5e2c5d-c205-481b-a4ee-7338d259e48e
ed5520dc-1721-49e4-a8de-fbae36ba7e5e",,programmes et certifications génériques non définis,,,
http://data.europa.eu/esco/isced-f/0000,key_622,"4d4faefc-8882-4854-a46c-f82b29f75b4e
0db19db0-9e89-429f-81b7-7c9dd3254522
d679e2f9-ebc4-4c2b-800f-1732ea94c74b",,programmes et certifications génériques non définis,,,
http://data.europa.eu/esco/isced-f/001,key_623,"72b209a1-9c8a-4f40-808d-d09d0047c9ed
a7fbac3f-fd33-47dc-b8f4-43138805f268
705aa849-cf24-4219-84c6-3f7a90a8c58c",,programmes et certifications de base,,,
http://data.europa.eu/esco/isced-f/0011,key_624,"09e831d8-35be-43c1-a2fb-d1df76047ed0
70bae3da-59bb-4394-9a2e-b2a3587d98d0
b4b07d7c-6ef2-4aae-ae12-f52636da59af",,programmes et certifications de base,,,
http://data.europa.eu/esco/isced-f/002,key_625,"9f3ba58d-1e57-4328-9fab-e901aba206fc
9f65abdc-b152-4d96-8517-76d12e89f3c7
181996d3-f1b8-4c64-81f5-d4029ec35594",,compétences en lecture et en calcul,,,
http://data.europa.eu/esco/isced-f/0021,key_626,"8a1c7b03-c0d9-4160-94c0-69ebbe984fd2
de2068ef-5cd0-479e-8840-bc381e856d0c
e9d59046-6dc8-4e8e-ba10-46c81807d262",,alphabétisation et apprentissage du calcul,,,
http://data.europa.eu/esco/isced-f/003,key_627,"21f6e242-4422-4c2b-8074-5a13f56c61f1
b246c983-5455-4271-bfee-93bd07c3e4f1
386fe5b7-05dc-4bc7-9cc6-f325db7747fd",,compétences personnelles,,,
http://data.europa.eu/esco/isced-f/0031,key_628,"de3a40c8-8ec2-4c17-9bc1-f21f824f32a9
870fc453-9fbb-4e53-9cee-701b52d1b755
3643ac30-9091-4606-9623-73c024ed3c8c",,compétences et développement personnels,,,
http://data.europa.eu/esco/isced-f/009,key_629,"3bec0a2f-9940-4a04-a1d6-e58e1066afad
7426a236-9e0d-4d5f-9344-8e2c2ffaf5d9
0c0e05e2-1de6-436d-9e94-2eb8a96b2102",,programmes et certifications génériques non classé ailleurs,,,
http://data.europa.eu/esco/isced-f/0099,key_630,"a5fe2f5d-ce1b-423b-a6d5-875e6359f93b
61db2c46-dc76-4d15-ada0-686a2cd7da00
53058baa-8baf-4604-a7d1-1e5b5f13ca15",,programmes et certifications génériques non classé ailleurs,,,
http://data.europa.eu/esco/isced-f/01,key_631,"06d18fe7-6c60-4043-a100-3fe2e87cda82
aeea932a-27e5-43c5-9575-8facd6fd9dff
a29c613c-58c4-43a3-ac90-ca75578f4c28",,éducation,,,
http://data.europa.eu/esco/isced-f/011,key_632,"f183fe4f-65de-4028-ac2e-a9d9b29c4045
4235a26f-d575-4212-a090-5c6cbb19a27a
59fa4acd-d66c-4e00-9a29-c484322e3092",,éducation,,,
http://data.europa.eu/esco/isced-f/0110,key_633,"0427c075-76f4-4e49-a15d-ca5666d67a10
47342943-9894-4cd7-8e75-5203b7133ac5
748364a7-39b0-450f-afc0-4904b36246e8",,éducation non définie,,,
