PARENTOBJECTTYPE,PARENTID,CHILDID,CHILDOBJECTTYPE
SkillGroup,key_1157,key_620,SkillGroup
SkillGroup,key_620,key_621,SkillGroup
SkillGroup,key_621,key_622,SkillGroup
SkillGroup,key_620,key_623,SkillGroup
SkillGroup,key_623,key_624,SkillGroup
SkillGroup,key_620,key_625,SkillGroup
SkillGroup,key_625,key_626,SkillGroup
SkillGroup,key_620,key_627,SkillGroup
SkillGroup,key_627,key_628,SkillGroup
SkillGroup,key_620,key_629,SkillGroup
SkillGroup,key_629,key_630,SkillGroup
SkillGroup,key_1157,key_631,SkillGroup
SkillGroup,key_631,key_632,SkillGroup
SkillGroup,key_632,key_633,SkillGroup
SkillGroup,key_632,key_634,SkillGroup
SkillGroup,key_632,key_635,SkillGroup
SkillGroup,key_632,key_636,SkillGroup
SkillGroup,key_632,key_637,SkillGroup
SkillGroup,key_632,key_638,SkillGroup
SkillGroup,key_631,key_639,SkillGroup
SkillGroup,key_639,key_640,SkillGroup
SkillGroup,key_1157,key_641,SkillGroup
SkillGroup,key_641,key_642,SkillGroup
SkillGroup,key_642,key_643,SkillGroup
SkillGroup,key_641,key_644,SkillGroup
SkillGroup,key_644,key_645,SkillGroup
SkillGroup,key_644,key_646,SkillGroup
SkillGroup,key_644,key_647,SkillGroup
SkillGroup,key_644,key_648,SkillGroup
SkillGroup,key_644,key_649,SkillGroup
SkillGroup,key_644,key_650,SkillGroup
SkillGroup,key_644,key_651,SkillGroup
SkillGroup,key_641,key_652,SkillGroup
SkillGroup,key_652,key_653,SkillGroup
SkillGroup,key_652,key_654,SkillGroup
SkillGroup,key_652,key_655,SkillGroup
SkillGroup,key_652,key_656,SkillGroup
SkillGroup,key_652,key_657,SkillGroup
SkillGroup,key_652,key_658,SkillGroup
SkillGroup,key_641,key_659,SkillGroup
SkillGroup,key_659,key_660,SkillGroup
SkillGroup,key_659,key_661,SkillGroup
SkillGroup,key_659,key_662,SkillGroup
SkillGroup,key_659,key_663,SkillGroup
SkillGroup,key_641,key_664,SkillGroup
SkillGroup,key_664,key_665,SkillGroup
SkillGroup,key_641,key_666,SkillGroup
SkillGroup,key_666,key_667,SkillGroup
SkillGroup,key_1157,key_668,SkillGroup
SkillGroup,key_668,key_669,SkillGroup
SkillGroup,key_669,key_670,SkillGroup
SkillGroup,key_668,key_671,SkillGroup
SkillGroup,key_671,key_672,SkillGroup
SkillGroup,key_671,key_673,SkillGroup
SkillGroup,key_671,key_674,SkillGroup
SkillGroup,key_671,key_675,SkillGroup
SkillGroup,key_671,key_676,SkillGroup
SkillGroup,key_671,key_677,SkillGroup
SkillGroup,key_668,key_678,SkillGroup
SkillGroup,key_678,key_679,SkillGroup
SkillGroup,key_678,key_680,SkillGroup
SkillGroup,key_678,key_681,SkillGroup
SkillGroup,key_678,key_682,SkillGroup
SkillGroup,key_668,key_683,SkillGroup
SkillGroup,key_683,key_684,SkillGroup
SkillGroup,key_668,key_685,SkillGroup
SkillGroup,key_685,key_686,SkillGroup
SkillGroup,key_1157,key_687,SkillGroup
SkillGroup,key_687,key_688,SkillGroup
SkillGroup,key_688,key_689,SkillGroup
SkillGroup,key_687,key_690,SkillGroup
SkillGroup,key_690,key_691,SkillGroup
SkillGroup,key_690,key_692,SkillGroup
SkillGroup,key_690,key_693,SkillGroup
SkillGroup,key_690,key_694,SkillGroup
SkillGroup,key_690,key_695,SkillGroup
SkillGroup,key_690,key_696,SkillGroup
SkillGroup,key_690,key_697,SkillGroup
SkillGroup,key_690,key_698,SkillGroup
SkillGroup,key_690,key_699,SkillGroup
SkillGroup,key_687,key_700,SkillGroup
SkillGroup,key_700,key_701,SkillGroup
SkillGroup,key_687,key_702,SkillGroup
SkillGroup,key_702,key_703,SkillGroup
SkillGroup,key_687,key_704,SkillGroup
SkillGroup,key_704,key_705,SkillGroup
SkillGroup,key_1157,key_706,SkillGroup
SkillGroup,key_706,key_707,SkillGroup
SkillGroup,key_707,key_708,SkillGroup
SkillGroup,key_706,key_709,SkillGroup
SkillGroup,key_709,key_710,SkillGroup
SkillGroup,key_709,key_711,SkillGroup
SkillGroup,key_709,key_712,SkillGroup
SkillGroup,key_709,key_713,SkillGroup
SkillGroup,key_706,key_714,SkillGroup
SkillGroup,key_714,key_715,SkillGroup
SkillGroup,key_714,key_716,SkillGroup
SkillGroup,key_714,key_717,SkillGroup
SkillGroup,key_714,key_718,SkillGroup
SkillGroup,key_706,key_719,SkillGroup
SkillGroup,key_719,key_720,SkillGroup
SkillGroup,key_719,key_721,SkillGroup
SkillGroup,key_719,key_722,SkillGroup
SkillGroup,key_719,key_723,SkillGroup
SkillGroup,key_719,key_724,SkillGroup
SkillGroup,key_706,key_725,SkillGroup
SkillGroup,key_725,key_726,SkillGroup
SkillGroup,key_725,key_727,SkillGroup
SkillGroup,key_725,key_728,SkillGroup
SkillGroup,key_706,key_729,SkillGroup
SkillGroup,key_729,key_730,SkillGroup
SkillGroup,key_706,key_731,SkillGroup
SkillGroup,key_731,key_732,SkillGroup
SkillGroup,key_1157,key_733,SkillGroup
SkillGroup,key_733,key_734,SkillGroup
SkillGroup,key_734,key_735,SkillGroup
SkillGroup,key_734,key_736,SkillGroup
SkillGroup,key_734,key_737,SkillGroup
SkillGroup,key_734,key_738,SkillGroup
SkillGroup,key_734,key_739,SkillGroup
SkillGroup,key_733,key_740,SkillGroup
SkillGroup,key_740,key_741,SkillGroup
SkillGroup,key_1157,key_742,SkillGroup
SkillGroup,key_742,key_743,SkillGroup
SkillGroup,key_743,key_744,SkillGroup
SkillGroup,key_742,key_745,SkillGroup
SkillGroup,key_745,key_746,SkillGroup
SkillGroup,key_745,key_747,SkillGroup
SkillGroup,key_745,key_748,SkillGroup
SkillGroup,key_745,key_749,SkillGroup
SkillGroup,key_745,key_750,SkillGroup
SkillGroup,key_745,key_751,SkillGroup
SkillGroup,key_745,key_752,SkillGroup
SkillGroup,key_745,key_753,SkillGroup
SkillGroup,key_742,key_754,SkillGroup
SkillGroup,key_754,key_755,SkillGroup
SkillGroup,key_754,key_756,SkillGroup
SkillGroup,key_754,key_757,SkillGroup
SkillGroup,key_754,key_758,SkillGroup
SkillGroup,key_754,key_759,SkillGroup
SkillGroup,key_754,key_760,SkillGroup
SkillGroup,key_742,key_761,SkillGroup
SkillGroup,key_761,key_762,SkillGroup
SkillGroup,key_761,key_763,SkillGroup
SkillGroup,key_761,key_764,SkillGroup
SkillGroup,key_742,key_765,SkillGroup
SkillGroup,key_765,key_766,SkillGroup
SkillGroup,key_742,key_767,SkillGroup
SkillGroup,key_767,key_768,SkillGroup
SkillGroup,key_1157,key_769,SkillGroup
SkillGroup,key_769,key_770,SkillGroup
SkillGroup,key_770,key_771,SkillGroup
SkillGroup,key_769,key_772,SkillGroup
SkillGroup,key_772,key_773,SkillGroup
