"PARENTOBJECTTYPE","PARENTID","CHILDID","CHILDOBJECTTYPE","CREATEDAT","UPDATEDAT"
"skillgroup","69c6212d04908a531c90b952","69c6212d04908a531c90b739","skillgroup","2026-03-27T06:18:48.267Z","2026-03-27T06:18:48.267Z"
"skillgroup","69c6212d04908a531c90b739","69c6212d04908a531c90b73a","skillgroup","2026-03-27T06:18:48.267Z","2026-03-27T06:18:48.267Z"
"skillgroup","69c6212d04908a531c90b73a","69c6212d04908a531c90b73b","skillgroup","2026-03-27T06:18:48.267Z","2026-03-27T06:18:48.267Z"
"skillgroup","69c6212d04908a531c90b739","69c6212d04908a531c90b73c","skillgroup","2026-03-27T06:18:48.267Z","2026-03-27T06:18:48.267Z"
"skillgroup","69c6212d04908a531c90b73c","69c6212d04908a531c90b73d","skillgroup","2026-03-27T06:18:48.267Z","2026-03-27T06:18:48.267Z"
"skillgroup","69c6212d04908a531c90b739","69c6212d04908a531c90b73e","skillgroup","2026-03-27T06:18:48.267Z","2026-03-27T06:18:48.267Z"
"skillgroup","69c6212d04908a531c90b73e","69c6212d04908a531c90b73f","skillgroup","2026-03-27T06:18:48.267Z","2026-03-27T06:18:48.267Z"
"skillgroup","69c6212d04908a531c90b739","69c6212d04908a531c90b740","skillgroup","2026-03-27T06:18:48.267Z","2026-03-27T06:18:48.267Z"
"skillgroup","69c6212d04908a531c90b740","69c6212d04908a531c90b741","skillgroup","2026-03-27T06:18:48.267Z","2026-03-27T06:18:48.267Z"
"skillgroup","69c6212d04908a531c90b739","69c6212d04908a531c90b742","skillgroup","2026-03-27T06:18:48.267Z","2026-03-27T06:18:48.267Z"
"skillgroup","69c6212d04908a531c90b742","69c6212d04908a531c90b743","skillgroup","2026-03-27T06:18:48.267Z","2026-03-27T06:18:48.267Z"
"skillgroup","69c6212d04908a531c90b952","69c6212d04908a531c90b744","skillgroup","2026-03-27T06:18:48.267Z","2026-03-27T06:18:48.267Z"
"skillgroup","69c6212d04908a531c90b744","69c6212d04908a531c90b745","skillgroup","2026-03-27T06:18:48.267Z","2026-03-27T06:18:48.267Z"
"skillgroup","69c6212d04908a531c90b745","69c6212d04908a531c90b746","skillgroup","2026-03-27T06:18:48.267Z","2026-03-27T06:18:48.267Z"
"skillgroup","69c6212d04908a531c90b745","69c6212d04908a531c90b747","skillgroup","2026-03-27T06:18:48.267Z","2026-03-27T06:18:48.267Z"
"skillgroup","69c6212d04908a531c90b745","69c6212d04908a531c90b748","skillgroup","2026-03-27T06:18:48.267Z","2026-03-27T06:18:48.267Z"
"skillgroup","69c6212d04908a531c90b745","69c6212d04908a531c90b749","skillgroup","2026-03-27T06:18:48.267Z","2026-03-27T06:18:48.267Z"
"skillgroup","69c6212d04908a531c90b745","69c6212d04908a531c90b74a","skillgroup","2026-03-27T06:18:48.267Z","2026-03-27T06:18:48.267Z"
"skillgroup","69c6212d04908a531c90b745","69c6212d04908a531c90b74b","skillgroup","2026-03-27T06:18:48.267Z","2026-03-27T06:18:48.267Z"
"skillgroup","69c6212d04908a531c90b744","69c6212d04908a531c90b74c","skillgroup","2026-03-27T06:18:48.267Z","2026-03-27T06:18:48.267Z"
"skillgroup","69c6212d04908a531c90b74c","69c6212d04908a531c90b74d","skillgroup","2026-03-27T06:18:48.267Z","2026-03-27T06:18:48.267Z"
