"PARENTOBJECTTYPE","PARENTID","CHILDID","CHILDOBJECTTYPE"
"skillgroup","6877bbe6d5acfeeb0c57edfa","6877bbe6d5acfeeb0c57ebe1","skillgroup"
"skillgroup","6877bbe6d5acfeeb0c57ebe1","6877bbe6d5acfeeb0c57ebe2","skillgroup"
"skillgroup","6877bbe6d5acfeeb0c57ebe2","6877bbe6d5acfeeb0c57ebe3","skillgroup"
"skillgroup","6877bbe6d5acfeeb0c57ebe1","6877bbe6d5acfeeb0c57ebe4","skillgroup"
"skillgroup","6877bbe6d5acfeeb0c57ebe4","6877bbe6d5acfeeb0c57ebe5","skillgroup"
"skillgroup","6877bbe6d5acfeeb0c57ebe1","6877bbe6d5acfeeb0c57ebe6","skillgroup"
"skillgroup","6877bbe6d5acfeeb0c57ebe6","6877bbe6d5acfeeb0c57ebe7","skillgroup"
"skillgroup","6877bbe6d5acfeeb0c57ebe1","6877bbe6d5acfeeb0c57ebe8","skillgroup"
"skillgroup","6877bbe6d5acfeeb0c57ebe8","6877bbe6d5acfeeb0c57ebe9","skillgroup"
"skillgroup","6877bbe6d5acfeeb0c57ebe1","6877bbe6d5acfeeb0c57ebea","skillgroup"
"skillgroup","6877bbe6d5acfeeb0c57ebea","6877bbe6d5acfeeb0c57ebeb","skillgroup"
"skillgroup","6877bbe6d5acfeeb0c57edfa","6877bbe6d5acfeeb0c57ebec","skillgroup"
"skillgroup","6877bbe6d5acfeeb0c57ebec","6877bbe6d5acfeeb0c57ebed","skillgroup"
"skillgroup","6877bbe6d5acfeeb0c57ebed","6877bbe6d5acfeeb0c57ebee","skillgroup"
"skillgroup","6877bbe6d5acfeeb0c57ebed","6877bbe6d5acfeeb0c57ebef","skillgroup"
"skillgroup","6877bbe6d5acfeeb0c57ebed","6877bbe6d5acfeeb0c57ebf0","skillgroup"
"skillgroup","6877bbe6d5acfeeb0c57ebed","6877bbe6d5acfeeb0c57ebf1","skillgroup"
"skillgroup","6877bbe6d5acfeeb0c57ebed","6877bbe6d5acfeeb0c57ebf2","skillgroup"
"skillgroup","6877bbe6d5acfeeb0c57ebed","6877bbe6d5acfeeb0c57ebf3","skillgroup"
"skillgroup","6877bbe6d5acfeeb0c57ebec","6877bbe6d5acfeeb0c57ebf4","skillgroup"
"skillgroup","6877bbe6d5acfeeb0c57ebf4","6877bbe6d5acfeeb0c57ebf5","skillgroup"
"skillgroup","6877bbe6d5acfeeb0c57edfa","6877bbe6d5acfeeb0c57ebf6","skillgroup"
"skillgroup","6877bbe6d5acfeeb0c57ebf6","6877bbe6d5acfeeb0c57ebf7","skillgroup"
"skillgroup","6877bbe6d5acfeeb0c57ebf7","6877bbe6d5acfeeb0c57ebf8","skillgroup"
"skillgroup","6877bbe6d5acfeeb0c57ebf6","6877bbe6d5acfeeb0c57ebf9","skillgroup"
"skillgroup","6877bbe6d5acfeeb0c57ebf9","6877bbe6d5acfeeb0c57ebfa","skillgroup"
"skillgroup","6877bbe6d5acfeeb0c57ebf9","6877bbe6d5acfeeb0c57ebfb","skillgroup"
"skillgroup","6877bbe6d5acfeeb0c57ebf9","6877bbe6d5acfeeb0c57ebfc","skillgroup"
