"PARENTOBJECTTYPE","PARENTID","CHILDID","CHILDOBJECTTYPE"
"iscogroup","6877bbe4d5acfeeb0c57e959","6877bbe4d5acfeeb0c57e95a","iscogroup"
"iscogroup","6877bbe4d5acfeeb0c57e95a","6877bbe4d5acfeeb0c57e95b","iscogroup"
"iscogroup","6877bbe4d5acfeeb0c57e95b","6877bbe4d5acfeeb0c57e95c","iscogroup"
"iscogroup","6877bbe4d5acfeeb0c57e959","6877bbe4d5acfeeb0c57e95d","iscogroup"
"iscogroup","6877bbe4d5acfeeb0c57e95d","6877bbe4d5acfeeb0c57e95e","iscogroup"
"iscogroup","6877bbe4d5acfeeb0c57e95e","6877bbe4d5acfeeb0c57e95f","iscogroup"
"iscogroup","6877bbe4d5acfeeb0c57e959","6877bbe4d5acfeeb0c57e960","iscogroup"
"iscogroup","6877bbe4d5acfeeb0c57e960","6877bbe4d5acfeeb0c57e961","iscogroup"
"iscogroup","6877bbe4d5acfeeb0c57e961","6877bbe4d5acfeeb0c57e962","iscogroup"
"iscogroup","6877bbe4d5acfeeb0c57e963","6877bbe4d5acfeeb0c57e964","iscogroup"
"iscogroup","6877bbe4d5acfeeb0c57e964","6877bbe4d5acfeeb0c57e965","iscogroup"
"iscogroup","6877bbe4d5acfeeb0c57e965","6877bbe4d5acfeeb0c57e966","iscogroup"
"iscogroup","6877bbe4d5acfeeb0c57e965","6877bbe4d5acfeeb0c57e967","iscogroup"
"iscogroup","6877bbe4d5acfeeb0c57e965","6877bbe4d5acfeeb0c57e968","iscogroup"
"iscogroup","6877bbe4d5acfeeb0c57e965","6877bbe4d5acfeeb0c57e969","iscogroup"
"iscogroup","6877bbe4d5acfeeb0c57e964","6877bbe4d5acfeeb0c57e96a","iscogroup"
"iscogroup","6877bbe4d5acfeeb0c57e96a","6877bbe4d5acfeeb0c57e96b","iscogroup"
"iscogroup","6877bbe4d5acfeeb0c57e963","6877bbe4d5acfeeb0c57e96c","iscogroup"
"iscogroup","6877bbe4d5acfeeb0c57e96c","6877bbe4d5acfeeb0c57e96d","iscogroup"
"iscogroup","6877bbe4d5acfeeb0c57e96d","6877bbe4d5acfeeb0c57e96e","iscogroup"
"iscogroup","6877bbe4d5acfeeb0c57e96d","6877bbe4d5acfeeb0c57e96f","iscogroup"
"iscogroup","6877bbe4d5acfeeb0c57e96d","6877bbe4d5acfeeb0c57e970","iscogroup"
"iscogroup","6877bbe4d5acfeeb0c57e96d","6877bbe4d5acfeeb0c57e971","iscogroup"
