"ID","ORIGINURI","UUIDHISTORY","OCCUPATIONGROUPCODE","CODE","DEFINITION","SCOPENOTE","REGULATEDPROFESSIONNOTE","OCCUPATIONTYPE","ISLOCALIZED","PREFERREDLABEL","ALTLABELS","DESCRIPTION"
"6877bbf5d5acfeeb0c5824ab","http://data.europa.eu/esco/occupation/f2cc5978-e45c-4f28-b859-7f89221b0505","ade44004-7a33-4696-b560-b68dbbc244aa
05fa7501-ce34-4497-a3be-9372a7eb1ca9
e9915884-9253-4f44-b66c-85ee15bd49cc
baf4e950-0686-4d1d-8efd-b55c90c55a93
24fd8541-da16-4761-a2b8-07ee45d09c94
b7da05d5-5d29-443e-aa7f-2de6b3451552","0110","0110.1","","","http://data.europa.eu/esco/regulated-professions/unregulated","escooccupation","false","air force officer","royal airforce officer
flight lieutenant
flight officer
air commodore
air force officer
military group captain
command and control officer
pilot officer
squadron leader","Air force officers specialise in flying or ground duties, and supervise a team of air force personnel. They coordinate their team's training and welfare, and perform duties specific to their area of specialisation."
"6877bbf5d5acfeeb0c5824ac","http://data.europa.eu/esco/occupation/b223f402-0318-4e27-8691-df6e7f7295d2","4f847e0a-27c9-483d-b85b-e5cabf034a77
cc4a50bd-a3c4-446c-8eb9-16f13e176654
6df014a1-962d-4982-9a99-485fa21ace42
97867224-7209-46a9-bdc2-d57a3d085cd9
036eb333-b91c-41a7-b5ad-eafd8636f64f
741deb41-8b83-475d-8c86-4e714fd049fc","0110","0110.10","","","http://data.europa.eu/esco/regulated-professions/unregulated","escooccupation","true","lieutenant","police lieutenant
lieutenant
armed forces lieutenant
division chief of staff
war ship captain
unit commander (combat units only)
battalion second in command
brigade chief of staff
battalion commander
military commander
brigade commander/general officer commanding (goc)
saaf squadron second in command (saaf only)
division commander/general officer commanding (goc)
unit second in command (combat units only)
saaf squadron commander (saaf only)
regiment second in command
regiment commander
war ships executive officer / first lieutenant","Lieutenants command troops of platoons of soldiers and lead them in training and discipline exercises. They also perform administrative duties, and function as advisers."
"6877bbf5d5acfeeb0c5824ad","http://data.europa.eu/esco/occupation/262f21a3-ae78-46f4-a5f9-5a1f502caa90","85031a9f-969c-40a4-bb9d-a93ae87b3ba3
d5b46517-3a4a-44c8-92d9-c8e5a27ded48
1e9a0807-5b98-4200-96b0-1356635f006d
661a6453-b104-4c5d-9565-a1a5f0338154
ab3ba361-9246-4ce3-8a6c-b986ec828a40
2e91be82-26db-48f8-8c9e-b3a87e6773b6","0110","0110.11","","","http://data.europa.eu/esco/regulated-professions/unregulated","escooccupation","false","navy officer","sub-lieutenant
navy officer
ship-of-the-line ensign
midshipman","Navy officers command missions during conflict and peace times, and supervise training and development of their teams. They supervise combat operations of their team, as well as aid missions, and patrolling missions to ensure peace-keeping. Often they collaborate on a regular basis with the HR department of the HQCS for the best planning of the future needs."
"6877bbf5d5acfeeb0c5824ae","http://data.europa.eu/esco/occupation/e44b2459-af5e-492d-9c57-d9c2e62944e7","dadf8626-046a-43d8-9a7f-4656cc02109f
83e60dc2-92e5-48fb-a9ea-19fbbb2c0934
d879ec35-53d6-494a-80e9-8c91cfe2c12d
636484fb-1a16-425c-8a56-362b0165bccc
53ee3d1e-e966-47cf-b991-df411bdb61b9
a04ce143-6d38-43d7-b711-b8721d137670","0110","0110.12","","","http://data.europa.eu/esco/regulated-professions/unregulated","escooccupation","true","squadron leader","air force commandant
squadron commander
air force squadron leader
squadron leader
air force squadron team leader
war ship captain
division chief of staff
unit commander (combat units only)
battalion second in command
brigade chief of staff
battalion commander
military commander
brigade commander/general officer commanding (goc)
saaf squadron second in command (saaf only)
division commander/general officer commanding (goc)
unit second in command (combat units only)
saaf squadron commander (saaf only)
regiment second in command
regiment commander
war ships executive officer / first lieutenant","Squadron leaders command a squadron specialising in different operations, such as aircraft squadrons, ground operations squadrons, or armoured fighting vehicles squadrons."
"6877bbf5d5acfeeb0c5824af","http://data.europa.eu/esco/occupation/c6a26e11-bdf1-47a1-849d-fdcf819d458d","ac60fb7b-aea1-4d87-8c22-e2d2f9ac844d
86a36c26-a761-4da6-a94f-70c9ada14094
3b1d8c6f-7db7-40c1-846f-7e1f9c0f2a81
8e60b194-a31d-46b4-af3e-f8425157f5b6
e3564dd7-1b7f-41c9-a3e5-690f253ccd85
11392d6a-7beb-4255-9750-dfcc624e6699","0110","0110.2","","","http://data.europa.eu/esco/regulated-professions/unregulated","escooccupation","false","armed forces officer","major
lieutenant general
Roal Air Force officer
second lieutenant
general
lieutenant
military officer
air force officer
Royal Navy officer
major general
RAF officer
armed forces officer
captain
officer cadet
colonel
naval officer
army officer
Royal Marines officer
navy officer
lieutenant colonel
brigadier","Armed forces officers supervise operations and manoeuvres, assign duties, and command subordinate staff. They ensure efficient communication within and between units and perform training duties. They also operate equipment and supervise equipment maintenance."
"6877bbf5d5acfeeb0c5824b0","http://data.europa.eu/esco/occupation/9bf4c8ea-e814-4772-ae31-0f29672dc497","22b9a215-cf09-40bb-9868-5ed96538c858
02cfee83-687e-443d-a348-23a43e578afa
8234b8c7-fb59-44fe-b62f-514a0c9c2fbc
4649a77c-5302-4080-b664-2ced453fd1fd
86e07c7d-e126-4f5e-a5b1-efe5610869c9
d47e18f7-76ae-4cef-94c5-56b3d7f42729","0110","0110.3","","","http://data.europa.eu/esco/regulated-professions/unregulated","escooccupation","true","army captain","captain armed forces
company commander
captain armed services
troop commander
army chief officer
army captain
armed services captain
armed forces captain
battery commander
captain royal marines
war ship captain
division chief of staff
unit commander (combat units only)
battalion second in command
brigade chief of staff
battalion commander
military commander
brigade commander/general officer commanding (goc)
saaf squadron second in command (saaf only)
division commander/general officer commanding (goc)
unit second in command (combat units only)
saaf squadron commander (saaf only)
regiment second in command
regiment commander
war ships executive officer / first lieutenant","Army captains aid in the supervision of large units of soldiers, as well as perform planning and strategic duties in tactical operations. They also ensure equipment maintenance and provide support in logistic matters as well as support during operations."
"6877bbf5d5acfeeb0c5824b1","http://data.europa.eu/esco/occupation/c6e5e0e7-fa99-4f71-9fc1-9889d85282a5","4167c784-41ac-449d-aef6-d545e40201fd
9c84ac5d-a57c-4201-9065-52b8ed692ba0
e7b35394-be1a-4f1b-bd53-999622d7290a
a0ea8745-0e9f-4637-8676-35a1dd264660
60942b0c-7d5b-4fec-9dce-9739e91d172e
82782635-cabf-4611-9786-d555e93fa41c","0110","0110.4","","","http://data.europa.eu/esco/regulated-professions/unregulated","escooccupation","true","army general","lieutenant general
military general
major general
general
general military
army general
armed forces general
war ship captain
division chief of staff
unit commander (combat units only)
battalion second in command
brigade chief of staff
battalion commander
military commander
brigade commander/general officer commanding (goc)
saaf squadron second in command (saaf only)
division commander/general officer commanding (goc)
unit second in command (combat units only)
saaf squadron commander (saaf only)
regiment second in command
regiment commander
war ships executive officer / first lieutenant","Army generals command large divisions of the army. They perform management duties, administrative duties, and planning and strategic duties. They develop policies for the improvement of the military and general defence, and ensure the nation's safety."
"6877bbf5d5acfeeb0c5824b2","http://data.europa.eu/esco/occupation/e4c915ff-6c9c-4fa9-a8fb-09d0c67e30d4","67f8cca6-f2cf-4747-bc81-f5ca10b67d04
e4efd448-2f90-4ecf-a06c-fe4db84d72b0
9fc2a2d2-3f97-4ccb-9b4d-1e327c6e9d81
f5f21808-3bf6-4633-9b1b-8fafd8a3900b
3925d910-3073-4a3f-8c9e-a771d6749188
d836cd16-419b-427f-81b8-6f1956b94365","0110","0110.5","","","http://data.europa.eu/esco/regulated-professions/unregulated","escooccupation","true","army major","battalion commandant
army commandant
armed forces major
lieutenant commander
military major
major
army major
war ship captain
division chief of staff
unit commander (combat units only)
battalion second in command
brigade chief of staff
battalion commander
military commander
brigade commander/general officer commanding (goc)
saaf squadron second in command (saaf only)
division commander/general officer commanding (goc)
unit second in command (combat units only)
saaf squadron commander (saaf only)
regiment second in command
regiment commander
war ships executive officer / first lieutenant","Army majors command large units of officers and soldiers, supervise their training, and oversee their wellfare. They also supervise their administration, and equipment management."
"6877bbf5d5acfeeb0c5824b3","http://data.europa.eu/esco/occupation/7696b15a-c52e-4ac5-b38d-9eeb010c5fa3","20ac8dfa-f454-4884-b83d-e1c93e92519c
c6b5c5c8-3770-4936-9d9a-fc48c1bc6a36
e99ad2a0-570d-482b-9dab-80199697ecad
5de00a64-2dc3-40ac-804d-0c2462a24bbd
ecd581a1-301a-4172-aae6-45b2516e4eba
b4cae094-6195-4131-9037-4fe35a7011f7","0110","0110.6","","","http://data.europa.eu/esco/regulated-professions/unregulated","escooccupation","true","artillery officer","munitions officer
infantry officer
gunner
artillery technician
artillery officer
artillery soldier","Artillery officers offer support in battle in the fields of target acquisition, coordination of information, surveillance and weaponry. They are in charge of tactics, and deployment of weaponry on the field. They also lead soldiers."
"6877bbf5d5acfeeb0c5824b4","http://data.europa.eu/esco/occupation/bbd1fe06-1b55-4937-9317-fc162311ab38","acff6aa5-7a73-4518-8fdc-ff61f9e531e7
75998843-fb36-4883-a9e2-ce0060716302
bf9059ae-d124-4578-8166-431001db229f
c97d8ea0-082c-433c-8a37-e58fda766056
a94d1368-8e08-4ae3-b298-3e46de7d9a52
d52d2d4e-fd44-43a6-953a-0cf737e8bc05","0110","0110.7","","","http://data.europa.eu/esco/regulated-professions/unregulated","escooccupation","true","brigadier","director of staff
brigadier
military brigadier
army brigadier
field officer
brigadier general
war ship captain
division chief of staff
unit commander (combat units only)
battalion second in command
brigade chief of staff
battalion commander
military commander
brigade commander/general officer commanding (goc)
saaf squadron second in command (saaf only)
division commander/general officer commanding (goc)
unit second in command (combat units only)
saaf squadron commander (saaf only)
regiment second in command
regiment commander
war ships executive officer / first lieutenant","Brigadiers command large units of troops called brigades, oversee strategic and tactical planning, and monitor operations of their brigade. They manage the headquarters of the brigade's division and ensure correct operations of the division on base and in the field."
