"PARENTOBJECTTYPE","PARENTID","CHILDID","CHILDOBJECTTYPE"
"occupationgroup","key_1","key_2","occupationgroup"
"occupationgroup","key_2","key_3","occupationgroup"
"occupationgroup","key_3","key_4","occupationgroup"
"occupationgroup","key_1","key_5","occupationgroup"
"occupationgroup","key_5","key_6","occupationgroup"
"occupationgroup","key_6","key_7","occupationgroup"
"occupationgroup","key_1","key_8","occupationgroup"
"occupationgroup","key_8","key_9","occupationgroup"
"occupationgroup","key_9","key_10","occupationgroup"
"occupationgroup","key_11","key_12","occupationgroup"
"occupationgroup","key_12","key_13","occupationgroup"
"occupationgroup","key_13","key_14","occupationgroup"
"occupationgroup","key_13","key_15","occupationgroup"
"occupationgroup","key_13","key_16","occupationgroup"
"occupationgroup","key_13","key_17","occupationgroup"
"occupationgroup","key_12","key_18","occupationgroup"
"occupationgroup","key_18","key_19","occupationgroup"
"occupationgroup","key_11","key_20","occupationgroup"
"occupationgroup","key_20","key_21","occupationgroup"
"occupationgroup","key_21","key_22","occupationgroup"
"occupationgroup","key_21","key_23","occupationgroup"
"occupationgroup","key_21","key_24","occupationgroup"
"occupationgroup","key_21","key_25","occupationgroup"
"occupationgroup","key_20","key_26","occupationgroup"
"occupationgroup","key_26","key_27","occupationgroup"
"occupationgroup","key_26","key_28","occupationgroup"
"occupationgroup","key_26","key_29","occupationgroup"
"occupationgroup","key_11","key_30","occupationgroup"
"occupationgroup","key_30","key_31","occupationgroup"
"occupationgroup","key_31","key_32","occupationgroup"
"occupationgroup","key_31","key_33","occupationgroup"
"occupationgroup","key_30","key_34","occupationgroup"
"occupationgroup","key_34","key_35","occupationgroup"
"occupationgroup","key_34","key_36","occupationgroup"
"occupationgroup","key_34","key_37","occupationgroup"
"occupationgroup","key_34","key_38","occupationgroup"
"occupationgroup","key_30","key_39","occupationgroup"
"occupationgroup","key_39","key_40","occupationgroup"
"occupationgroup","key_30","key_41","occupationgroup"
"occupationgroup","key_41","key_42","occupationgroup"
"occupationgroup","key_41","key_43","occupationgroup"
"occupationgroup","key_41","key_44","occupationgroup"
"occupationgroup","key_41","key_45","occupationgroup"
"occupationgroup","key_41","key_46","occupationgroup"
"occupationgroup","key_41","key_47","occupationgroup"
"occupationgroup","key_41","key_48","occupationgroup"
"occupationgroup","key_11","key_49","occupationgroup"
"occupationgroup","key_49","key_50","occupationgroup"
"occupationgroup","key_50","key_51","occupationgroup"
"occupationgroup","key_50","key_52","occupationgroup"
"occupationgroup","key_49","key_53","occupationgroup"
"occupationgroup","key_53","key_54","occupationgroup"
"occupationgroup","key_49","key_55","occupationgroup"
"occupationgroup","key_55","key_56","occupationgroup"
"occupationgroup","key_55","key_57","occupationgroup"
"occupationgroup","key_58","key_59","occupationgroup"
"occupationgroup","key_59","key_60","occupationgroup"
"occupationgroup","key_60","key_61","occupationgroup"
"occupationgroup","key_60","key_62","occupationgroup"
"occupationgroup","key_60","key_63","occupationgroup"
"occupationgroup","key_60","key_64","occupationgroup"
"occupationgroup","key_59","key_65","occupationgroup"
"occupationgroup","key_65","key_66","occupationgroup"
"occupationgroup","key_59","key_67","occupationgroup"
"occupationgroup","key_67","key_68","occupationgroup"
"occupationgroup","key_67","key_69","occupationgroup"
"occupationgroup","key_67","key_70","occupationgroup"
"occupationgroup","key_59","key_71","occupationgroup"
"occupationgroup","key_71","key_72","occupationgroup"
"occupationgroup","key_71","key_73","occupationgroup"
"occupationgroup","key_71","key_74","occupationgroup"
"occupationgroup","key_71","key_75","occupationgroup"
"occupationgroup","key_71","key_76","occupationgroup"
"occupationgroup","key_71","key_77","occupationgroup"
"occupationgroup","key_71","key_78","occupationgroup"
"occupationgroup","key_59","key_79","occupationgroup"
"occupationgroup","key_79","key_80","occupationgroup"
"occupationgroup","key_79","key_81","occupationgroup"
"occupationgroup","key_79","key_82","occupationgroup"
"occupationgroup","key_59","key_83","occupationgroup"
"occupationgroup","key_83","key_84","occupationgroup"
"occupationgroup","key_83","key_85","occupationgroup"
"occupationgroup","key_83","key_86","occupationgroup"
"occupationgroup","key_83","key_87","occupationgroup"
"occupationgroup","key_83","key_88","occupationgroup"
"occupationgroup","key_83","key_89","occupationgroup"
"occupationgroup","key_58","key_90","occupationgroup"
"occupationgroup","key_90","key_91","occupationgroup"
"occupationgroup","key_91","key_92","occupationgroup"
"occupationgroup","key_91","key_93","occupationgroup"
"occupationgroup","key_90","key_94","occupationgroup"
"occupationgroup","key_94","key_95","occupationgroup"
"occupationgroup","key_94","key_96","occupationgroup"
"occupationgroup","key_90","key_97","occupationgroup"
"occupationgroup","key_97","key_98","occupationgroup"
"occupationgroup","key_90","key_99","occupationgroup"
"occupationgroup","key_99","key_100","occupationgroup"
"occupationgroup","key_90","key_101","occupationgroup"
"occupationgroup","key_101","key_102","occupationgroup"
"occupationgroup","key_90","key_103","occupationgroup"
"occupationgroup","key_103","key_104","occupationgroup"
"occupationgroup","key_103","key_105","occupationgroup"
"occupationgroup","key_103","key_106","occupationgroup"
"occupationgroup","key_103","key_107","occupationgroup"
"occupationgroup","key_103","key_108","occupationgroup"
"occupationgroup","key_103","key_109","occupationgroup"
"occupationgroup","key_103","key_110","occupationgroup"
"occupationgroup","key_103","key_111","occupationgroup"
"occupationgroup","key_58","key_112","occupationgroup"
"occupationgroup","key_112","key_113","occupationgroup"
"occupationgroup","key_113","key_114","occupationgroup"
"occupationgroup","key_112","key_115","occupationgroup"
"occupationgroup","key_115","key_116","occupationgroup"
"occupationgroup","key_112","key_117","occupationgroup"
"occupationgroup","key_117","key_118","occupationgroup"
"occupationgroup","key_112","key_119","occupationgroup"
"occupationgroup","key_119","key_120","occupationgroup"
