OCCUPATIONTYPE,OCCUPATIONID,RELATIONTYPE,SKILLID
esco,key_20422,essential,key_19687
esco,key_20423,optional,key_20016
esco,key_20424,essential,key_20359
esco,key_20424,optional,key_19545
esco,key_20425,optional,key_19655
esco,key_20426,essential,key_19878
esco,key_20426,essential,key_20279
esco,key_20426,optional,key_20101
esco,key_20427,essential,key_19613
esco,key_20427,essential,key_20045
esco,key_20427,essential,key_20034
esco,key_20427,optional,key_20379
esco,key_20427,optional,key_19671
esco,key_20429,essential,key_19758
esco,key_20429,essential,key_20386
esco,key_20429,optional,key_19741
esco,key_20430,essential,key_19537
esco,key_20430,essential,key_19590
esco,key_20430,essential,key_19633
esco,key_20430,essential,key_19767
esco,key_20430,essential,key_19916
esco,key_20430,essential,key_20024
esco,key_20430,essential,key_20104
esco,key_20430,essential,key_20175
esco,key_20430,essential,key_20239
esco,key_20430,essential,key_20252
esco,key_20430,essential,key_20273
esco,key_20430,optional,key_19438
esco,key_20431,essential,key_20386
esco,key_20431,optional,key_19942
esco,key_20432,optional,key_19578
esco,key_20433,essential,key_19623
esco,key_20433,essential,key_20088
esco,key_20435,essential,key_19458
esco,key_20435,essential,key_20002
esco,key_20435,essential,key_20154
esco,key_20437,essential,key_20180
esco,key_20437,optional,key_19771
esco,key_20439,essential,key_19832
esco,key_20439,essential,key_20154
esco,key_20439,essential,key_20217
esco,key_20439,optional,key_20205
esco,key_20440,essential,key_19642
esco,key_20440,essential,key_19771
esco,key_20440,essential,key_19590
esco,key_20440,essential,key_20217
esco,key_20441,essential,key_19590
esco,key_20442,essential,key_19431
esco,key_20442,essential,key_20279
esco,key_20442,optional,key_20335
esco,key_20442,optional,key_20355
esco,key_20443,essential,key_19824
esco,key_20443,optional,key_20087
esco,key_20444,essential,key_19784
esco,key_20444,essential,key_19942
esco,key_20444,essential,key_20386
esco,key_20444,optional,key_19886
esco,key_20444,optional,key_19778
esco,key_20445,essential,key_20119
esco,key_20445,essential,key_19499
esco,key_20446,essential,key_20179
esco,key_20447,essential,key_19596
esco,key_20447,optional,key_19536
esco,key_20448,essential,key_19492
esco,key_20448,essential,key_19690
