"OCCUPATIONTYPE","OCCUPATIONID","RELATIONTYPE","SKILLID","SIGNALLINGVALUELABEL","SIGNALLINGVALUE"
"escooccupation","key_20422","essential","key_19687","",""
"escooccupation","key_20423","optional","key_20016","",""
"escooccupation","key_20424","essential","key_20359","",""
"escooccupation","key_20424","optional","key_19545","",""
"escooccupation","key_20425","optional","key_19655","",""
"escooccupation","key_20426","essential","key_19878","",""
"escooccupation","key_20426","essential","key_20279","",""
"escooccupation","key_20426","optional","key_20101","",""
"escooccupation","key_20427","essential","key_19613","",""
"escooccupation","key_20427","essential","key_20045","",""
"escooccupation","key_20427","essential","key_20034","",""
"escooccupation","key_20427","optional","key_20379","",""
"escooccupation","key_20427","optional","key_19671","",""
"escooccupation","key_20429","essential","key_19758","",""
"escooccupation","key_20429","essential","key_20386","",""
"escooccupation","key_20429","optional","key_19741","",""
"escooccupation","key_20430","essential","key_19537","",""
"escooccupation","key_20430","essential","key_19590","",""
"escooccupation","key_20430","essential","key_19633","",""
"escooccupation","key_20430","essential","key_19767","",""
"escooccupation","key_20430","essential","key_19916","",""
"escooccupation","key_20430","essential","key_20024","",""
"escooccupation","key_20430","essential","key_20104","",""
"escooccupation","key_20430","essential","key_20175","",""
"escooccupation","key_20430","essential","key_20239","",""
"escooccupation","key_20430","essential","key_20252","",""
"escooccupation","key_20430","essential","key_20273","",""
"escooccupation","key_20430","optional","key_19438","",""
"escooccupation","key_20431","essential","key_20386","",""
"escooccupation","key_20431","optional","key_19942","",""
"escooccupation","key_20432","optional","key_19578","",""
"escooccupation","key_20433","essential","key_19623","",""
"escooccupation","key_20433","essential","key_20088","",""
"escooccupation","key_20435","essential","key_19458","",""
"escooccupation","key_20435","essential","key_20002","",""
"escooccupation","key_20435","essential","key_20154","",""
"escooccupation","key_20437","essential","key_20180","",""
"escooccupation","key_20437","optional","key_19771","",""
"escooccupation","key_20439","essential","key_19832","",""
"escooccupation","key_20439","essential","key_20154","",""
"escooccupation","key_20439","essential","key_20217","",""
"escooccupation","key_20439","optional","key_20205","",""
"escooccupation","key_20440","essential","key_19642","",""
"escooccupation","key_20440","essential","key_19771","",""
"escooccupation","key_20440","essential","key_19590","",""
"escooccupation","key_20440","essential","key_20217","",""
"escooccupation","key_20441","essential","key_19590","",""
"escooccupation","key_20442","essential","key_19431","",""
"escooccupation","key_20442","essential","key_20279","",""
"escooccupation","key_20442","optional","key_20335","",""
"escooccupation","key_20442","optional","key_20355","",""
"escooccupation","key_20443","essential","key_19824","",""
"escooccupation","key_20443","optional","key_20087","",""
"escooccupation","key_20444","essential","key_19784","",""
"escooccupation","key_20444","essential","key_19942","",""
"escooccupation","key_20444","essential","key_20386","",""
"escooccupation","key_20444","optional","key_19886","",""
"escooccupation","key_20444","optional","key_19778","",""
"escooccupation","key_20445","essential","key_20119","",""
"escooccupation","key_20445","essential","key_19499","",""
"escooccupation","key_20446","essential","key_20179","",""
"escooccupation","key_20447","essential","key_19596","",""
"escooccupation","key_20447","optional","key_19536","",""
"escooccupation","key_20448","essential","key_19492","",""
"escooccupation","key_20448","essential","key_19690","",""
"escooccupation","key_20448","essential","key_19920","",""
"escooccupation","key_20448","optional","key_19459","",""
"escooccupation","key_20449","essential","key_19740","",""
"escooccupation","key_20449","essential","key_20228","",""
"escooccupation","key_20449","optional","key_19839","",""
"escooccupation","key_20450","essential","key_19865","",""
"escooccupation","key_20450","optional","key_19451","",""
"escooccupation","key_20450","optional","key_20034","",""
"escooccupation","key_20451","optional","key_19758","",""
"escooccupation","key_20451","optional","key_20232","",""
"escooccupation","key_20453","essential","key_20059","",""
"escooccupation","key_20453","optional","key_19499","",""
"escooccupation","key_20453","optional","key_19982","",""
"escooccupation","key_20455","essential","key_19885","",""
"escooccupation","key_20455","essential","key_20279","",""
"escooccupation","key_20455","optional","key_20355","",""
"escooccupation","key_20456","essential","key_19874","",""
"escooccupation","key_20456","essential","key_20204","",""
"escooccupation","key_20456","optional","key_20147","",""
"escooccupation","key_20456","optional","key_20257","",""
"escooccupation","key_20457","essential","key_20103","",""
"escooccupation","key_20457","optional","key_19750","",""
"escooccupation","key_20458","essential","key_19732","",""
"escooccupation","key_20458","essential","key_20314","",""
"escooccupation","key_20459","essential","key_19459","",""
"escooccupation","key_20459","essential","key_19920","",""
"escooccupation","key_20460","optional","key_20016","",""
"escooccupation","key_20461","essential","key_19489","",""
"escooccupation","key_20461","essential","key_19959","",""
"escooccupation","key_20461","essential","key_20086","",""
"escooccupation","key_20461","optional","key_20185","",""
"escooccupation","key_20463","essential","key_20279","",""
"escooccupation","key_20463","essential","key_20335","",""
"escooccupation","key_20463","optional","key_19464","",""
"escooccupation","key_20465","essential","key_19943","",""
"escooccupation","key_20465","essential","key_20155","",""
"escooccupation","key_20465","optional","key_19429","",""
"escooccupation","key_20465","optional","key_19571","",""
"escooccupation","key_20465","optional","key_19653","",""
"escooccupation","key_20465","optional","key_19973","",""
"escooccupation","key_20465","optional","key_20102","",""
"escooccupation","key_20465","optional","key_20106","",""
"escooccupation","key_20465","optional","key_20168","",""
"escooccupation","key_20465","optional","key_19646","",""
"escooccupation","key_20465","optional","key_20159","",""
"escooccupation","key_20466","essential","key_20386","",""
"escooccupation","key_20466","optional","key_19942","",""
"escooccupation","key_20466","optional","key_20409","",""
"escooccupation","key_20467","essential","key_19590","",""
"escooccupation","key_20467","essential","key_20273","",""
"escooccupation","key_20467","essential","key_20372","",""
"escooccupation","key_20468","essential","key_20249","",""
"escooccupation","key_20469","essential","key_19590","",""
"escooccupation","key_20469","essential","key_19636","",""
"escooccupation","key_20469","essential","key_20002","",""
"escooccupation","key_20470","essential","key_20386","",""
"escooccupation","key_20470","essential","key_20409","",""
"escooccupation","key_20470","optional","key_19741","",""
"escooccupation","key_20470","optional","key_19851","",""
"escooccupation","key_20470","optional","key_19942","",""
"escooccupation","key_20471","essential","key_19516","",""
"escooccupation","key_20471","essential","key_19546","",""
"escooccupation","key_20471","essential","key_19687","",""
"escooccupation","key_20471","optional","key_19886","",""
"escooccupation","key_20472","essential","key_19516","",""
"escooccupation","key_20474","optional","key_19564","",""
"escooccupation","key_20476","essential","key_20056","",""
"escooccupation","key_20476","essential","key_19458","",""
"escooccupation","key_20476","essential","key_19552","",""
"escooccupation","key_20476","essential","key_19730","",""
"escooccupation","key_20476","essential","key_20096","",""
"escooccupation","key_20476","essential","key_20341","",""
"escooccupation","key_20477","essential","key_19758","",""
"escooccupation","key_20477","essential","key_20386","",""
"escooccupation","key_20477","essential","key_20409","",""
"escooccupation","key_20477","optional","key_19741","",""
"escooccupation","key_20477","optional","key_19942","",""
"escooccupation","key_20477","optional","key_20271","",""
"escooccupation","key_20478","essential","key_19638","",""
"escooccupation","key_20478","essential","key_19832","",""
"escooccupation","key_20478","essential","key_20154","",""
"escooccupation","key_20478","essential","key_20217","",""
"escooccupation","key_20478","optional","key_20205","",""
"escooccupation","key_20479","essential","key_19590","",""
"escooccupation","key_20480","optional","key_19858","",""
"escooccupation","key_20481","essential","key_19624","",""
"escooccupation","key_20481","essential","key_19834","",""
"escooccupation","key_20481","optional","key_19907","",""
"escooccupation","key_20481","optional","key_19917","",""
"escooccupation","key_20482","essential","key_19815","",""
"escooccupation","key_20483","essential","key_19840","",""
"escooccupation","key_20484","essential","key_19716","",""
"escooccupation","key_20484","essential","key_19959","",""
"escooccupation","key_20484","optional","key_20364","",""
"escooccupation","key_20484","optional","key_20384","",""
"escooccupation","key_20484","optional","key_20159","",""
"escooccupation","key_20485","essential","key_19499","",""
"escooccupation","key_20485","optional","key_20331","",""
"escooccupation","key_20486","essential","key_19870","",""
"escooccupation","key_20486","optional","key_19526","",""
"escooccupation","key_20486","optional","key_20034","",""
"escooccupation","key_20488","optional","key_19600","",""
"escooccupation","key_20488","optional","key_19701","",""
"escooccupation","key_20488","optional","key_19435","",""
"escooccupation","key_20488","optional","key_19458","",""
"escooccupation","key_20488","optional","key_19516","",""
"escooccupation","key_20488","optional","key_19860","",""
"escooccupation","key_20488","optional","key_19985","",""
"escooccupation","key_20488","optional","key_20347","",""
"escooccupation","key_20489","essential","key_19516","",""
"escooccupation","key_20489","optional","key_20176","",""
"escooccupation","key_20489","optional","key_20217","",""
"escooccupation","key_20490","essential","key_20218","",""
"escooccupation","key_20490","optional","key_19429","",""
"escooccupation","key_20490","optional","key_19452","",""
"escooccupation","key_20490","optional","key_19571","",""
"escooccupation","key_20490","optional","key_19653","",""
"escooccupation","key_20490","optional","key_19973","",""
"escooccupation","key_20490","optional","key_20102","",""
"escooccupation","key_20490","optional","key_20106","",""
"escooccupation","key_20490","optional","key_20168","",""
"escooccupation","key_20490","optional","key_19654","",""
"escooccupation","key_20490","optional","key_19806","",""
"escooccupation","key_20491","essential","key_19833","",""
"escooccupation","key_20491","essential","key_19857","",""
