"ORIGINURI","ID","UUIDHISTORY","OCCUPATIONGROUPCODE","CODE","PREFERREDLABEL","ALTLABELS","DESCRIPTION","DEFINITION","SCOPENOTE","REGULATEDPROFESSIONNOTE","OCCUPATIONTYPE","ISLOCALIZED"
"http://data.europa.eu/esco/occupation/00030d09-2b3a-4efd-87cc-c4ea39d27c34","key_20422","c2245d0e-9233-4863-a061-b7581209979c","2654","2654.1.7","technical director","technical and operations director
head of technical
director of technical arts
head of technical department
technical supervisor
technical director
technical manager","Technical directors realise the artistic visions of the creators within technical constraints. They coordinate the operations of various production units, such as scene, wardrobe, sound and lighting, and make-up. They adapt the prototype and study the feasibility, implementation, operation and technical monitoring of the artistic project. They are also responsible for the stage equipment and technical equipment.","","","http://data.europa.eu/esco/regulated-professions/unregulated","escooccupation","false"
"http://data.europa.eu/esco/occupation/000e93a3-d956-4e45-aacb-f12c83fedf84","key_20423","37011535-11aa-4efe-8a3a-c686f131d408","8121","8121.4","metal drawing machine operator","metal drawing machine operator
metal drawing machine technician
metal drawing machine operative
wire drawer
draw machine operative
forming machine technician
draw machine operator
wiredrawing setter
wirer drawer machine operator
forming machine operative
draw machine technician
wiredrawing  machine tender","Metal drawing machine operators set up and operate drawing machines for ferrous and non-ferrous metal products, designed to provide wires, bars, pipes, hollow profiles and tubes with their specific form by reducing its cross-section and by pulling the working materials through a series of drawing dies.","","","http://data.europa.eu/esco/regulated-professions/unregulated","escooccupation","false"
"http://data.europa.eu/esco/occupation/0019b951-c699-4191-8208-9822882d150c","key_20424","08020ea4-5321-41a5-bfb6-459b0bb6fb6e","7543","7543.10.3","precision device inspector","inspector of precision instruments
precision device quality control supervisor
precision device inspector
precision instrument QC inspector
precision instrument quality control inspector
precision device QC inspector
precision device quality assurance supervisor
precision device quality control inspector
inspector of precision devices
precision instrument inspector
precision instrument supervisor","Precision device inspectors make sure precision devices, such as micrometers and gauges, operate according to design specifications. They may adjust the precision devices and their components in case of any faults.","","","http://data.europa.eu/esco/regulated-professions/unregulated","escooccupation","false"
"http://data.europa.eu/esco/occupation/0022f466-426c-41a4-ac96-a235c945cf97","key_20425","89108e5c-27a7-416a-8dc5-1ca823b9a7c5","3155","3155.1","air traffic safety technician","air traffic safety electronics hardware specialist
air traffic safety software specialist
air traffic safety engineer
air traffic safety hardware specialist
air traffic safety technician
air traffic safety electronics software specialist
air traffic safety electronics engineer
air traffic safety electronics technician","Air traffic safety technicians provide technical support regarding the safety of air traffic control and navigation systems. They design, maintain, install and operate these systems both in the airport and on board the aeroplane according to regulations.","","","http://data.europa.eu/esco/regulated-professions/unregulated","escooccupation","true"
"http://data.europa.eu/esco/occupation/002da35b-7808-43f3-83bf-63596b8b351f","key_20426","e58b60ef-d178-4c10-841e-8f408b6a1443","2431","2431.9","hospitality revenue manager","hospitality revenues manager
yield manager
hospitality yields manager
hospitality revenue manager
revenue manager","Hospitality revenue managers maximise revenue generated from facilities such as hotels,  holiday resorts and camping grounds by analysing trends and competition. They assist establishment managers in strategic decisions. Hospitality revenue managers analyse and optimise the financial potential of facilities and manage the corresponding staff.","","","http://data.europa.eu/esco/regulated-professions/unregulated","escooccupation","false"
"http://data.europa.eu/esco/occupation/0044c991-c26f-4261-a213-4bd1c0564a4c","key_20427","96bc97a9-15b9-41b8-80c7-5a3465e733be","3212","3212.2","medical laboratory assistant","medical laboratory research assistant
biomedical laboratory assistant
clinical research assistant
assistant in medical laboratory
biomedical laboratory research assistant
assistant clinical researcher
medical lab assistant
medical laboratory assistant
assistant in biomedical laboratory","Medical laboratory assistants work under supervision of the biomedical scientist and carry out basic laboratory procedures. They work in the pre-analytical handling of samples such as checking the details of specimens received for analysis, maintaining analysers, loading reagents, and packaging specimens. They also perform clerical tasks such as monitoring the stock levels of reagents used in analysis.","","Excludes people performing analysis of blood samples, cell cultures, or review blood samples. 
 Excludes people performing assignment of blood groups, interpretation of tests or results, or contacting patients with these results.","http://data.europa.eu/esco/regulated-professions/unregulated","escooccupation","false"
"http://data.europa.eu/esco/occupation/00634fc4-802a-461b-8af0-499273756f99","key_20428","f40e68c0-900f-4b8c-81e6-7ccab63f74f5","3116","3116.1.1","asphalt laboratory technician","road surface technician
materials technician
aggregates and bitumen laboratory technician
technical supervisor, asphalt production
site technician
bitumen production technician
asphalt laboratory technician
road surface laboratory technician
laboratory technician, asphalt
asphalt technician
bitumen technician
asphalt production technical supervisor
site technician, asphalt
aggregates and asphalt laboratory technician
asphalt production technician","Asphalt laboratory technicians perform asphalt and related raw materials inspections and laboratory testing, ensuring a high quality of the products. They also participate in coming up with resolutions to technical issues on construction sites.","","","http://data.europa.eu/esco/regulated-professions/unregulated","escooccupation","false"
"http://data.europa.eu/esco/occupation/00674f21-2f8f-4a41-9896-133f7cbe2a6e","key_20429","dfc32e6e-692b-4585-8d86-dadbcbcd8b05","5312","5312.2","primary school teaching assistant","primary school teaching aide
elementary school teaching assistant
teaching assistant in primary schools
primary education teaching assistant
primary school assistant
primary school paraprofessional
primary school instructional assistant
primary school TA
primary school teaching assistant","Primary school teaching assistants provide instructional and practical support to primary school teachers. They reinforce instruction with students in need of extra attention and prepare the materials the teacher needs in class. They also perform clerical work, monitor the students' learning progress and behaviour and supervise the students with and without the head teacher present.","","","http://data.europa.eu/esco/regulated-professions/unregulated","escooccupation","false"
"http://data.europa.eu/esco/occupation/006cc1f9-2841-41c3-991a-dc3f2f3bd533","key_20430","248716ee-4a96-4e34-919b-e53b146c134e","2264","2264.2","physiotherapist","neuromusculoskeletal physiotherapist
osteopath
eurythmy therapist
respiratory therapist
remedial physiotherapist
physiotherapist manager
occupational therapist
neurological physiotherapist
occupational physiotherapist
bobath physiotherapist
neuromuscular physiotherapist
manipulative physiotherapist
physiotherapist
hydrotherapist
rehabilitation therapist
masseuse
health promotion worker
cardiovascular physiotherapist
respiratory physiotherapist
chiropractor
sports physiotherapist
chiropractic therapist
neurodevelopmental physiotherapist
physical therapist
health and well-being therapist
business physiotherapist","Physiotherapists are autonomous health professionals who are responsible for developing, maintaining or restoring motor function and movement throughout the lifespan using evidence-based practice. They relieve pain and treat or prevent physical conditions associated with injury, disease or other impairments. Physiotherapists empower patients and their carers to manage the condition outside clinical settings. They work within their scope of practice and their professional Code of Conduct. ","","","http://data.europa.eu/esco/regulated-professions/unregulated","escooccupation","false"
"http://data.europa.eu/esco/occupation/00747307-6341-4266-a061-25416f7c6a96","key_20431","f69cad9d-3251-426d-87a7-9370a0825b2d","2310","2310.1.30","performing arts theatre instructor","acting school teacher
conservatory theatre instructor
professor of theatre
theatre instructor
performing arts theater instructor
acting school instructor
conservatory theatre lecturer
instructor in performing arts
theatre instructor in performing arts school
performing arts theatre instructor","Performing arts theatre instructors educate students in specific theory and, primarily, practice-based theatre courses at a specialised theatre, or acting, school or conservatory at a higher education level. They provide theoretical instruction in service of the practical skills and techniques the students must subsequently master in theatre. Performing arts theatre instructors monitor the students' progress, assist individually when necessary, and evaluate their knowledge and performance of theatre practice through assignments, tests and examinations.","","","http://data.europa.eu/esco/regulated-professions/unregulated","escooccupation","false"
