PARENTOBJECTTYPE,PARENTID,CHILDID,CHILDOBJECTTYPE
skillgroup,key_19319,key_18782,skillgroup
skillgroup,key_18782,key_18783,skillgroup
skillgroup,key_18783,key_18784,skillgroup
skillgroup,key_18782,key_18785,skillgroup
skillgroup,key_18785,key_18786,skillgroup
skillgroup,key_18782,key_18787,skillgroup
skillgroup,key_18787,key_18788,skillgroup
skillgroup,key_18782,key_18789,skillgroup
skillgroup,key_18789,key_18790,skillgroup
skillgroup,key_18782,key_18791,skillgroup
skillgroup,key_18791,key_18792,skillgroup
skillgroup,key_19319,key_18793,skillgroup
skillgroup,key_18793,key_18794,skillgroup
skillgroup,key_18794,key_18795,skillgroup
skillgroup,key_18794,key_18796,skillgroup
skillgroup,key_18794,key_18797,skillgroup
skillgroup,key_18794,key_18798,skillgroup
skillgroup,key_18794,key_18799,skillgroup
skillgroup,key_18794,key_18800,skillgroup
skillgroup,key_18793,key_18801,skillgroup
skillgroup,key_18801,key_18802,skillgroup
skillgroup,key_19319,key_18803,skillgroup
skillgroup,key_18803,key_18804,skillgroup
skillgroup,key_18804,key_18805,skillgroup
skillgroup,key_18803,key_18806,skillgroup
skillgroup,key_18806,key_18807,skillgroup
skillgroup,key_18806,key_18808,skillgroup
skillgroup,key_18806,key_18809,skillgroup
skillgroup,key_18806,key_18810,skillgroup
skillgroup,key_18806,key_18811,skillgroup
skillgroup,key_18806,key_18812,skillgroup
skillgroup,key_18806,key_18813,skillgroup
skillgroup,key_18803,key_18814,skillgroup
skillgroup,key_18814,key_18815,skillgroup
skillgroup,key_18814,key_18816,skillgroup
skillgroup,key_18814,key_18817,skillgroup
skillgroup,key_18814,key_18818,skillgroup
skillgroup,key_18814,key_18819,skillgroup
skillgroup,key_18814,key_18820,skillgroup
skillgroup,key_18803,key_18821,skillgroup
skillgroup,key_18821,key_18822,skillgroup
skillgroup,key_18821,key_18823,skillgroup
skillgroup,key_18821,key_18824,skillgroup
skillgroup,key_18821,key_18825,skillgroup
skillgroup,key_18803,key_18826,skillgroup
skillgroup,key_18826,key_18827,skillgroup
skillgroup,key_18803,key_18828,skillgroup
skillgroup,key_18828,key_18829,skillgroup
skillgroup,key_19319,key_18830,skillgroup
skillgroup,key_18830,key_18831,skillgroup
skillgroup,key_18831,key_18832,skillgroup
skillgroup,key_18830,key_18833,skillgroup
skillgroup,key_18833,key_18834,skillgroup
skillgroup,key_18833,key_18835,skillgroup
skillgroup,key_18833,key_18836,skillgroup
skillgroup,key_18833,key_18837,skillgroup
skillgroup,key_18833,key_18838,skillgroup
skillgroup,key_18833,key_18839,skillgroup
skillgroup,key_18830,key_18840,skillgroup
skillgroup,key_18840,key_18841,skillgroup
skillgroup,key_18840,key_18842,skillgroup
skillgroup,key_18840,key_18843,skillgroup
skillgroup,key_18840,key_18844,skillgroup
skillgroup,key_18830,key_18845,skillgroup
skillgroup,key_18845,key_18846,skillgroup
skillgroup,key_18830,key_18847,skillgroup
skillgroup,key_18847,key_18848,skillgroup
skillgroup,key_19319,key_18849,skillgroup
skillgroup,key_18849,key_18850,skillgroup
skillgroup,key_18850,key_18851,skillgroup
skillgroup,key_18849,key_18852,skillgroup
skillgroup,key_18852,key_18853,skillgroup
skillgroup,key_18852,key_18854,skillgroup
skillgroup,key_18852,key_18855,skillgroup
skillgroup,key_18852,key_18856,skillgroup
skillgroup,key_18852,key_18857,skillgroup
skillgroup,key_18852,key_18858,skillgroup
skillgroup,key_18852,key_18859,skillgroup
skillgroup,key_18852,key_18860,skillgroup
skillgroup,key_18852,key_18861,skillgroup
skillgroup,key_18849,key_18862,skillgroup
skillgroup,key_18862,key_18863,skillgroup
skillgroup,key_18849,key_18864,skillgroup
skillgroup,key_18864,key_18865,skillgroup
skillgroup,key_18849,key_18866,skillgroup
skillgroup,key_18866,key_18867,skillgroup
skillgroup,key_19319,key_18868,skillgroup
skillgroup,key_18868,key_18869,skillgroup
skillgroup,key_18869,key_18870,skillgroup
skillgroup,key_18868,key_18871,skillgroup
skillgroup,key_18871,key_18872,skillgroup
skillgroup,key_18871,key_18873,skillgroup
skillgroup,key_18871,key_18874,skillgroup
skillgroup,key_18871,key_18875,skillgroup
skillgroup,key_18868,key_18876,skillgroup
skillgroup,key_18876,key_18877,skillgroup
skillgroup,key_18876,key_18878,skillgroup
skillgroup,key_18876,key_18879,skillgroup
skillgroup,key_18876,key_18880,skillgroup
skillgroup,key_18868,key_18881,skillgroup
skillgroup,key_18881,key_18882,skillgroup
skillgroup,key_18881,key_18883,skillgroup
skillgroup,key_18881,key_18884,skillgroup
skillgroup,key_18881,key_18885,skillgroup
skillgroup,key_18881,key_18886,skillgroup
skillgroup,key_18868,key_18887,skillgroup
skillgroup,key_18887,key_18888,skillgroup
skillgroup,key_18887,key_18889,skillgroup
skillgroup,key_18887,key_18890,skillgroup
skillgroup,key_18868,key_18891,skillgroup
skillgroup,key_18891,key_18892,skillgroup
skillgroup,key_18868,key_18893,skillgroup
skillgroup,key_18893,key_18894,skillgroup
skillgroup,key_19319,key_18895,skillgroup
skillgroup,key_18895,key_18896,skillgroup
skillgroup,key_18896,key_18897,skillgroup
skillgroup,key_18896,key_18898,skillgroup
skillgroup,key_18896,key_18899,skillgroup
skillgroup,key_18896,key_18900,skillgroup
skillgroup,key_18896,key_18901,skillgroup
skillgroup,key_18895,key_18902,skillgroup
skillgroup,key_18902,key_18903,skillgroup
skillgroup,key_19319,key_18904,skillgroup
skillgroup,key_18904,key_18905,skillgroup
skillgroup,key_18905,key_18906,skillgroup
skillgroup,key_18904,key_18907,skillgroup
skillgroup,key_18907,key_18908,skillgroup
skillgroup,key_18907,key_18909,skillgroup
skillgroup,key_18907,key_18910,skillgroup
skillgroup,key_18907,key_18911,skillgroup
skillgroup,key_18907,key_18912,skillgroup
skillgroup,key_18907,key_18913,skillgroup
skillgroup,key_18907,key_18914,skillgroup
skillgroup,key_18907,key_18915,skillgroup
skillgroup,key_18904,key_18916,skillgroup
skillgroup,key_18916,key_18917,skillgroup
skillgroup,key_18916,key_18918,skillgroup
skillgroup,key_18916,key_18919,skillgroup
skillgroup,key_18916,key_18920,skillgroup
skillgroup,key_18916,key_18921,skillgroup
skillgroup,key_18916,key_18922,skillgroup
skillgroup,key_18904,key_18923,skillgroup
skillgroup,key_18923,key_18924,skillgroup
skillgroup,key_18923,key_18925,skillgroup
skillgroup,key_18923,key_18926,skillgroup
skillgroup,key_18904,key_18927,skillgroup
skillgroup,key_18927,key_18928,skillgroup
skillgroup,key_18904,key_18929,skillgroup
skillgroup,key_18929,key_18930,skillgroup
skillgroup,key_19319,key_18931,skillgroup
skillgroup,key_18931,key_18932,skillgroup
skillgroup,key_18932,key_18933,skillgroup
skillgroup,key_18931,key_18934,skillgroup
skillgroup,key_18934,key_18935,skillgroup
skillgroup,key_18934,key_18936,skillgroup
skillgroup,key_18934,key_18937,skillgroup
skillgroup,key_18934,key_18938,skillgroup
skillgroup,key_18931,key_18939,skillgroup
skillgroup,key_18939,key_18940,skillgroup
skillgroup,key_18931,key_18941,skillgroup
skillgroup,key_18941,key_18942,skillgroup
skillgroup,key_18931,key_18943,skillgroup
skillgroup,key_18943,key_18944,skillgroup
skillgroup,key_18931,key_18945,skillgroup
skillgroup,key_18945,key_18946,skillgroup
skillgroup,key_18931,key_18947,skillgroup
skillgroup,key_18947,key_18948,skillgroup
skillgroup,key_19319,key_18949,skillgroup
skillgroup,key_18949,key_18950,skillgroup
skillgroup,key_18950,key_18951,skillgroup
skillgroup,key_18949,key_18952,skillgroup
skillgroup,key_18952,key_18953,skillgroup
skillgroup,key_18952,key_18954,skillgroup
skillgroup,key_18952,key_18955,skillgroup
skillgroup,key_18952,key_18956,skillgroup
skillgroup,key_18952,key_18957,skillgroup
skillgroup,key_18952,key_18958,skillgroup
skillgroup,key_18952,key_18959,skillgroup
skillgroup,key_18952,key_18960,skillgroup
skillgroup,key_18952,key_18961,skillgroup
skillgroup,key_18949,key_18962,skillgroup
skillgroup,key_18962,key_18963,skillgroup
skillgroup,key_18962,key_18964,skillgroup
skillgroup,key_18962,key_18965,skillgroup
skillgroup,key_18962,key_18966,skillgroup
skillgroup,key_18962,key_18967,skillgroup
skillgroup,key_18949,key_18968,skillgroup
skillgroup,key_18968,key_18969,skillgroup
skillgroup,key_18949,key_18970,skillgroup
skillgroup,key_18970,key_18971,skillgroup
skillgroup,key_19319,key_18972,skillgroup
skillgroup,key_18972,key_18973,skillgroup
skillgroup,key_18973,key_18974,skillgroup
skillgroup,key_18972,key_18975,skillgroup
skillgroup,key_18975,key_18976,skillgroup
skillgroup,key_18975,key_18977,skillgroup
skillgroup,key_18975,key_18978,skillgroup
skillgroup,key_18975,key_18979,skillgroup
skillgroup,key_18975,key_18980,skillgroup
skillgroup,key_18975,key_18981,skillgroup
skillgroup,key_18975,key_18982,skillgroup
skillgroup,key_18972,key_18983,skillgroup
skillgroup,key_18983,key_18984,skillgroup
skillgroup,key_18983,key_18985,skillgroup
skillgroup,key_18983,key_18986,skillgroup
skillgroup,key_18983,key_18987,skillgroup
skillgroup,key_18972,key_18988,skillgroup
skillgroup,key_18988,key_18989,skillgroup
skillgroup,key_18988,key_18990,skillgroup
skillgroup,key_18988,key_18991,skillgroup
skillgroup,key_18988,key_18992,skillgroup
skillgroup,key_18972,key_18993,skillgroup
skillgroup,key_18993,key_18994,skillgroup
skillgroup,key_18972,key_18995,skillgroup
skillgroup,key_18995,key_18996,skillgroup
skillgroup,key_18972,key_18997,skillgroup
skillgroup,key_18997,key_18998,skillgroup
skillgroup,key_19319,key_18999,skillgroup
skillgroup,key_18999,key_19000,skillgroup
skillgroup,key_19000,key_19001,skillgroup
skillgroup,key_19372,key_19002,skillgroup
skillgroup,key_19019,key_19003,skillgroup
skillgroup,key_19011,key_19004,skillgroup
skillgroup,key_19257,key_19005,skillgroup
skillgroup,key_19141,key_19006,skillgroup
skillgroup,key_19233,key_19007,skillgroup
skillgroup,key_19090,key_19008,skillgroup
skillgroup,key_19005,key_19009,skillgroup
skillgroup,key_19325,key_19010,skillgroup
skillgroup,key_19069,key_19012,skillgroup
skillgroup,key_19060,key_19013,skillgroup
skillgroup,key_19087,key_19014,skillgroup
skillgroup,key_19156,key_19015,skillgroup
skillgroup,key_19173,key_19016,skillgroup
skillgroup,key_19069,key_19017,skillgroup
skillgroup,key_19364,key_19018,skillgroup
skillgroup,key_19090,key_19019,skillgroup
skillgroup,key_19198,key_19020,skillgroup
skillgroup,key_19290,key_19021,skillgroup
skillgroup,key_19133,key_19022,skillgroup
skillgroup,key_19162,key_19023,skillgroup
skillgroup,key_19057,key_19024,skillgroup
skillgroup,key_19005,key_19025,skillgroup
skillgroup,key_19190,key_19026,skillgroup
skillgroup,key_19233,key_19027,skillgroup
skillgroup,key_19086,key_19028,skillgroup
skillgroup,key_19057,key_19029,skillgroup
skillgroup,key_19261,key_19030,skillgroup
skillgroup,key_19086,key_19031,skillgroup
skillgroup,key_19056,key_19032,skillgroup
skillgroup,key_19087,key_19033,skillgroup
skillgroup,key_19069,key_19034,skillgroup
skillgroup,key_19082,key_19035,skillgroup
skillgroup,key_19372,key_19036,skillgroup
skillgroup,key_19011,key_19037,skillgroup
skillgroup,key_19215,key_19038,skillgroup
skillgroup,key_19004,key_19039,skillgroup
skillgroup,key_19060,key_19040,skillgroup
skillgroup,key_19008,key_19041,skillgroup
skillgroup,key_19057,key_19042,skillgroup
skillgroup,key_19182,key_19043,skillgroup
skillgroup,key_19139,key_19044,skillgroup
skillgroup,key_19190,key_19045,skillgroup
skillgroup,key_19057,key_19046,skillgroup
skillgroup,key_19075,key_19047,skillgroup
skillgroup,key_19078,key_19048,skillgroup
skillgroup,key_19156,key_19049,skillgroup
skillgroup,key_19253,key_19050,skillgroup
skillgroup,key_19361,key_19051,skillgroup
skillgroup,key_19295,key_19052,skillgroup
skillgroup,key_19087,key_19053,skillgroup
skillgroup,key_19008,key_19054,skillgroup
skillgroup,key_19312,key_19055,skillgroup
skillgroup,key_19008,key_19056,skillgroup
skillgroup,key_19019,key_19057,skillgroup
skillgroup,key_19100,key_19058,skillgroup
skillgroup,key_19087,key_19059,skillgroup
skillgroup,key_19257,key_19060,skillgroup
skillgroup,key_19253,key_19061,skillgroup
skillgroup,key_19142,key_19062,skillgroup
skillgroup,key_19139,key_19063,skillgroup
skillgroup,key_19232,key_19064,skillgroup
skillgroup,key_19090,key_19065,skillgroup
skillgroup,key_19325,key_19066,skillgroup
skillgroup,key_19047,key_19067,skillgroup
skillgroup,key_19190,key_19068,skillgroup
skillgroup,key_19364,key_19069,skillgroup
skillgroup,key_19071,key_19070,skillgroup
skillgroup,key_19065,key_19071,skillgroup
skillgroup,key_19149,key_19072,skillgroup
skillgroup,key_19162,key_19073,skillgroup
skillgroup,key_19298,key_19074,skillgroup
skillgroup,key_19090,key_19075,skillgroup
skillgroup,key_19004,key_19076,skillgroup
skillgroup,key_19010,key_19077,skillgroup
skillgroup,key_19257,key_19078,skillgroup
skillgroup,key_19213,key_19079,skillgroup
skillgroup,key_19261,key_19080,skillgroup
skillgroup,key_19223,key_19081,skillgroup
skillgroup,key_19364,key_19082,skillgroup
skillgroup,key_19054,key_19083,skillgroup
skillgroup,key_19173,key_19084,skillgroup
skillgroup,key_19323,key_19085,skillgroup
skillgroup,key_19364,key_19086,skillgroup
skillgroup,key_19019,key_19087,skillgroup
skillgroup,key_19366,key_19088,skillgroup
skillgroup,key_19018,key_19089,skillgroup
skillgroup,key_19144,key_19091,skillgroup
skillgroup,key_19144,key_19092,skillgroup
skillgroup,key_19300,key_19093,skillgroup
skillgroup,key_19069,key_19094,skillgroup
skillgroup,key_19232,key_19095,skillgroup
skillgroup,key_19400,key_19096,skillgroup
skillgroup,key_19010,key_19097,skillgroup
skillgroup,key_19219,key_19098,skillgroup
skillgroup,key_19182,key_19099,skillgroup
skillgroup,key_19019,key_19100,skillgroup
skillgroup,key_19298,key_19101,skillgroup
skillgroup,key_19198,key_19102,skillgroup
skillgroup,key_19405,key_19103,skillgroup
skillgroup,key_19278,key_19104,skillgroup
skillgroup,key_19078,key_19105,skillgroup
skillgroup,key_19018,key_19106,skillgroup
skillgroup,key_19380,key_19107,skillgroup
skillgroup,key_19213,key_19108,skillgroup
skillgroup,key_19278,key_19109,skillgroup
