OCCUPATIONOBJECTTYPE,REQUIRING,RELATIONTYPE,REQUIRED
ESCOOccupation,d5f67570-ccc2-436d-93c8-7ce0bd934e84,optional,6e908430-2cd5-47af-a158-8197c437c170
ESCOOccupation,ffd06aca-60a2-472f-bc1f-6e0dda519df3,optional,ee0228ef-f701-4804-b4ac-936b28e6587d
ESCOOccupation,29233883-4f5e-40e3-b472-69be753e3589,optional,de3a439a-f804-4a4a-b54b-8faa7b3ae46f
ESCOOccupation,e9bdcf89-6164-48c5-85cd-149296129af0,optional,75444994-91b1-49fd-a314-69f34404c1bd
ESCOOccupation,c7920f0f-88ae-47ce-92f6-9cf46707cf5c,optional,10e05963-1839-4288-a480-0aa85d605db3
ESCOOccupation,f7cb32e5-2731-4801-ac4f-aafe403d7985,optional,86e47455-f4d0-4fa2-b446-d44248f249b3
ESCOOccupation,de6e81a7-e736-408c-8320-b86122cd7685,optional,6d32b6f4-2f25-4454-b9b7-da0bd85a79ba
ESCOOccupation,de6e81a7-e736-408c-8320-b86122cd7685,optional,6e908430-2cd5-47af-a158-8197c437c170
ESCOOccupation,8a2cd569-e1b5-45e8-87df-a967c4c206e4,optional,6d32b6f4-2f25-4454-b9b7-da0bd85a79ba
ESCOOccupation,8a2cd569-e1b5-45e8-87df-a967c4c206e4,optional,6e908430-2cd5-47af-a158-8197c437c170
ESCOOccupation,28a7f368-6952-4a9d-a781-55518a448602,optional,1d21a66d-ac83-4edc-a696-fde8c8e13ea3
ESCOOccupation,e2e6955c-775e-4c06-ae95-642ef71eb0c8,optional,c7bbd628-88c8-4356-bb00-718671a54290
ESCOOccupation,bc39daf0-4794-4d6a-8296-a9a493fb206f,optional,fabedbb6-004e-43e8-ba50-7ad3888e2903
ESCOOccupation,cb1bb462-1db2-41b4-8c7b-a34b08f3542d,optional,baaa91bd-4182-43f1-a3ad-e939d931b5f0
ESCOOccupation,b7689baf-6fef-408e-bb8b-22d544307600,optional,c7b984c6-418b-4348-b948-f1f214ff0963
ESCOOccupation,4dcabbec-e9ec-4018-8206-ac2c9b5a1057,optional,e00f7e39-00e1-4ed7-986c-ae1dbe6432bd
ESCOOccupation,8bad7a64-1f38-40e4-a577-4a4dbe4d0c6f,optional,3e1fe25c-9c43-428b-b752-428ee454961b
ESCOOccupation,66a843ec-20a4-4b36-9415-2c8a0bdc8ffd,optional,e3ed72ac-87a2-4d1d-b0cd-979a5497b1f0
ESCOOccupation,6ae48955-0478-4ab9-8590-b30b5b99b623,optional,0ca9676e-d2fb-4e9a-a0f2-69d272fc5de2
ESCOOccupation,6ae48955-0478-4ab9-8590-b30b5b99b623,optional,92e20e70-6938-4967-b118-c8e839877766
ESCOOccupation,ef880b52-8179-4375-8f6a-aaeab2ab4667,optional,e687202c-3cd2-4ba6-98e0-55e5991ed255
ESCOOccupation,09dfcf50-5281-4c50-8e26-0b5aed8c5b31,optional,f4130840-f3f1-4700-9793-be096ad55e1e
ESCOOccupation,0db01afd-11eb-418a-ae36-fd953d8a892c,optional,d5c6b5fd-dd7b-496d-99f2-035a763a0052
ESCOOccupation,a2b38caa-be39-4cc5-b8c5-4de17128a951,optional,60243452-a4de-4569-87b4-acc3aadf784e
ESCOOccupation,8065594f-08b4-4d1e-bb07-8e558341598d,optional,c7bbd628-88c8-4356-bb00-718671a54290
ESCOOccupation,fc4948cf-8c79-4aca-b1cc-6cbdfbc63d1f,optional,b11234f4-ac81-416f-ab94-1fce2dff8eb6
ESCOOccupation,f17f3c74-6467-464c-aaec-85646aa7593a,optional,9d9ad7ba-349b-4577-8d71-38cd5a5aae4f
ESCOOccupation,1a5d9263-b585-44e8-90b3-044d5124f834,optional,3b1790f5-2611-4299-b211-668d1d922fb1
ESCOOccupation,56817760-89cf-4799-91c9-444502ad660a,optional,e687202c-3cd2-4ba6-98e0-55e5991ed255
ESCOOccupation,a2362267-7322-44df-b2a8-7be4224920e9,optional,d9a9e2bf-0888-4072-bb4e-745faab16130
ESCOOccupation,e8aa6ddc-db97-4ce9-9e9f-5ebf2b6335ca,optional,37215324-18e1-44f7-87e0-90c7d1c677a4
ESCOOccupation,a2e2bfbe-5bc3-40b4-b962-d62e9efdd712,optional,682e2b4a-a427-4585-b42d-e47940055a9f
ESCOOccupation,6d3b9f80-48c5-4224-97a3-3c96d870a980,optional,7a4cf2a0-5778-4be3-b138-b7cde74daf86
ESCOOccupation,7e298129-a635-4bf9-adcf-eb1948438813,optional,1b3a22cd-bb56-4942-ba8e-9284858633ad
ESCOOccupation,f19acfe8-6d3b-48aa-b482-a2c4a1527b4c,optional,e3ed72ac-87a2-4d1d-b0cd-979a5497b1f0
ESCOOccupation,927b005f-73ec-4c1a-83cc-e038ef8de9c2,optional,90212975-6ad5-40fc-9af6-f286d63eae00
ESCOOccupation,e619baa2-902c-4705-a17d-69be903f328c,optional,f0be50e1-ecc9-48bd-bc04-2301a63ae241
ESCOOccupation,cb5f6dc2-bea5-432b-a833-d35d1161b0eb,optional,58acbeca-abea-4445-b757-6e229ddbd8a5
