ESCOURI,ID,UUID,ORIGINUUID,SKILLTYPE,REUSELEVEL,PREFERREDLABEL,ALTLABELS,DESCRIPTION,DEFINITION,SCOPENOTE
http://data.europa.eu/esco/skill/0005c151-5b5a-4a66-8aac-60e734beb1ab,key_19422,,,skill/competence,sector-specific,manage musical staff,"manage staff of music
coordinate duties of musical staff
manage music staff
direct musical staff
manage musical staff","Assign and manage staff tasks in areas such as scoring, arranging, copying music and vocal coaching.",,
http://data.europa.eu/esco/skill/00064735-8fad-454b-90c7-ed858cc993f2,key_19423,,,skill/competence,occupation-specific,supervise correctional procedures,"oversee prison procedures
manage correctional procedures
monitor correctional procedures
manage prison procedures
monitor prison procedures
supervise correctional procedures
oversee correctional procedures","Supervise the operations of a correctional facility or other correctional procedures, ensuring that they are compliant with legal regulations, and ensure that the staff complies with regulations, and aim to improve the facility's efficiency and safety.",,
http://data.europa.eu/esco/skill/000709ed-2be5-4193-b056-45a97698d828,key_19424,,,skill/competence,sector-specific,apply anti-oppressive practices,"apply non-oppressive practices
apply an anti-oppressive practice
make use of anti-oppressive practices
act in a non-oppressive way
identify oppression in societies and groups
apply anti-oppressive practices
apply anti-oppresive practice
use anti-oppressive practices","Identify oppression in societies, economies, cultures, and groups, acting as a professional in an non-oppressive way, enabling service users to take action to improve their lives and enabling citizens to change their environment in accordance with their own interests.",,
http://data.europa.eu/esco/skill/0007bdc2-dd15-4824-b7d6-416522c46f35,key_19425,,,skill/competence,sector-specific,control compliance of railway vehicles regulations,"monitoring of compliance with railway vehicles regulations
monitoring of compliance with rolling stock regulations
checking compliance with rolling stock regulations
control compliance of regulations of rolling stock
inspection of compliance with rolling stock regulations
ensuring compliance with railway vehicles regulations
compliance controls of railway vehicles regulations
conduct controls of compliance of railway vehicles regulations
control compliance of railway vehicles regulations
control compliance of railway vehicle regulations","Inspect rolling stock, components and systems to ensure compliance with standards and specifications.",,
http://data.europa.eu/esco/skill/00090cc1-1f27-439e-a4e0-19a87a501bfc,key_19426,,,skill/competence,cross-sector,identify available services,"establish available services
identify available services
determine rehabilitation services
analyse rehabilitation services
establish rehabilitation services
determine available services
analyse available services
classify available services
classify rehabilitation services","Identify the different services available for an offender during probation in order to help in the rehabilitation and re-integration process, as well as advising the offenders as to how they can identify services available to them.",,
http://data.europa.eu/esco/skill/000bb1e4-89f0-4b86-be05-05ece3641724,key_19427,,,skill/competence,cross-sector,perform toxicological studies,"perform toxicological studies
apply toxicological testing methods
perform toxicological tests
perform toxicological study
carry out toxicological studies","Perform tests to detect poisons or drug misuse and help to monitor therapy by using chemical reagents, enzymes, radioisotopes and antibodies to detect abnormal chemical concentrations in the body.",,
http://data.europa.eu/esco/skill/000c94d2-2a2e-4545-993c-6df8cb5b0316,key_19428,,,skill/competence,occupation-specific,ensure coquille uniformity,"making sure coquille is uniform
ensure coquille uniformity
ensure uniformity of coquille
ensuring coquille uniformity
checking that coquille is uniform
ensuring uniformity of coquille
ensuring coquille is uniform
ensure coquille is uniform
ensuring of coquille uniformity
make sure coquille is uniform
check that coquille is uniform",Oversee uniformity of coquilles; use casting equipment and tools such as welding machines.,,
http://data.europa.eu/esco/skill/000f1d3d-220f-4789-9c0a-cc742521fb02,key_19429,,,knowledge,sector-specific,Haskell,Haskell,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in Haskell.",,
http://data.europa.eu/esco/skill/001115fb-569f-4ee6-8381-c6807ef2527f,key_19430,,,skill/competence,transversal,show initiative,"take the initiative
give impetus
be a driving force
demonstrate sense of initiative
initiate action
show sense of initiative
show active initiative","Be proactive and take the first step in an action without waiting for what others say or do.
",,
http://data.europa.eu/esco/skill/001d46db-035e-4b92-83a3-ed8771e0c123,key_19431,,,skill/competence,sector-specific,train staff to reduce food waste,"teach students food waste reduction practices
inform staff on food waste reduction practices
educate workers on food recycling methods
educate staff on food waste reduction","Establish new trainings and staff development provisions to support staff knowledge in food waste prevention and food recycling practices. Ensure that staff understands methods of and tools for food recycling, e.g., separating waste.",,
http://data.europa.eu/esco/skill/0023e7a5-43da-4b68-bee3-726ef21f986d,key_19432,,,skill/competence,cross-sector,apply diplomatic principles,"utilise diplomacy principles
administer diplomacy principles
use diplomatic principles
implement diplomacy principles
apply diplomatic principles
utilise diplomatic principles
implement diplomatic principles
use diplomacy principles
administer diplomatic principles","Apply the processes involved in the creation of international treaties by conducting negotiations between representatives of different countries, protecting the home government's interests, and facilitating compromise.",,
