PARENTOBJECTTYPE,PARENTID,CHILDID,CHILDOBJECTTYPE
SkillGroup,key_19319,key_18782,SkillGroup
SkillGroup,key_18782,key_18783,SkillGroup
SkillGroup,key_18783,key_18784,SkillGroup
SkillGroup,key_18782,key_18785,SkillGroup
SkillGroup,key_18785,key_18786,SkillGroup
SkillGroup,key_18782,key_18787,SkillGroup
SkillGroup,key_18787,key_18788,SkillGroup
SkillGroup,key_18782,key_18789,SkillGroup
SkillGroup,key_18789,key_18790,SkillGroup
SkillGroup,key_18782,key_18791,SkillGroup
SkillGroup,key_18791,key_18792,SkillGroup
SkillGroup,key_19319,key_18793,SkillGroup
SkillGroup,key_18793,key_18794,SkillGroup
SkillGroup,key_18794,key_18795,SkillGroup
SkillGroup,key_18794,key_18796,SkillGroup
SkillGroup,key_18794,key_18797,SkillGroup
SkillGroup,key_18794,key_18798,SkillGroup
SkillGroup,key_18794,key_18799,SkillGroup
SkillGroup,key_18794,key_18800,SkillGroup
SkillGroup,key_18793,key_18801,SkillGroup
SkillGroup,key_18801,key_18802,SkillGroup
SkillGroup,key_19319,key_18803,SkillGroup
SkillGroup,key_18803,key_18804,SkillGroup
SkillGroup,key_18804,key_18805,SkillGroup
SkillGroup,key_18803,key_18806,SkillGroup
SkillGroup,key_18806,key_18807,SkillGroup
SkillGroup,key_18806,key_18808,SkillGroup
SkillGroup,key_18806,key_18809,SkillGroup
SkillGroup,key_18806,key_18810,SkillGroup
SkillGroup,key_18806,key_18811,SkillGroup
SkillGroup,key_18806,key_18812,SkillGroup
SkillGroup,key_18806,key_18813,SkillGroup
SkillGroup,key_18803,key_18814,SkillGroup
SkillGroup,key_18814,key_18815,SkillGroup
SkillGroup,key_18814,key_18816,SkillGroup
SkillGroup,key_18814,key_18817,SkillGroup
SkillGroup,key_18814,key_18818,SkillGroup
SkillGroup,key_18814,key_18819,SkillGroup
SkillGroup,key_18814,key_18820,SkillGroup
SkillGroup,key_18803,key_18821,SkillGroup
SkillGroup,key_18821,key_18822,SkillGroup
SkillGroup,key_18821,key_18823,SkillGroup
SkillGroup,key_18821,key_18824,SkillGroup
SkillGroup,key_18821,key_18825,SkillGroup
SkillGroup,key_18803,key_18826,SkillGroup
SkillGroup,key_18826,key_18827,SkillGroup
SkillGroup,key_18803,key_18828,SkillGroup
SkillGroup,key_18828,key_18829,SkillGroup
SkillGroup,key_19319,key_18830,SkillGroup
SkillGroup,key_18830,key_18831,SkillGroup
SkillGroup,key_18831,key_18832,SkillGroup
SkillGroup,key_18830,key_18833,SkillGroup
SkillGroup,key_18833,key_18834,SkillGroup
SkillGroup,key_18833,key_18835,SkillGroup
SkillGroup,key_18833,key_18836,SkillGroup
SkillGroup,key_18833,key_18837,SkillGroup
SkillGroup,key_18833,key_18838,SkillGroup
SkillGroup,key_18833,key_18839,SkillGroup
SkillGroup,key_18830,key_18840,SkillGroup
SkillGroup,key_18840,key_18841,SkillGroup
SkillGroup,key_18840,key_18842,SkillGroup
SkillGroup,key_18840,key_18843,SkillGroup
SkillGroup,key_18840,key_18844,SkillGroup
SkillGroup,key_18830,key_18845,SkillGroup
SkillGroup,key_18845,key_18846,SkillGroup
SkillGroup,key_18830,key_18847,SkillGroup
SkillGroup,key_18847,key_18848,SkillGroup
SkillGroup,key_19319,key_18849,SkillGroup
SkillGroup,key_18849,key_18850,SkillGroup
SkillGroup,key_18850,key_18851,SkillGroup
SkillGroup,key_18849,key_18852,SkillGroup
SkillGroup,key_18852,key_18853,SkillGroup
SkillGroup,key_18852,key_18854,SkillGroup
SkillGroup,key_18852,key_18855,SkillGroup
SkillGroup,key_18852,key_18856,SkillGroup
SkillGroup,key_18852,key_18857,SkillGroup
SkillGroup,key_18852,key_18858,SkillGroup
SkillGroup,key_18852,key_18859,SkillGroup
SkillGroup,key_18852,key_18860,SkillGroup
SkillGroup,key_18852,key_18861,SkillGroup
SkillGroup,key_18849,key_18862,SkillGroup
SkillGroup,key_18862,key_18863,SkillGroup
SkillGroup,key_18849,key_18864,SkillGroup
SkillGroup,key_18864,key_18865,SkillGroup
SkillGroup,key_18849,key_18866,SkillGroup
SkillGroup,key_18866,key_18867,SkillGroup
SkillGroup,key_19319,key_18868,SkillGroup
SkillGroup,key_18868,key_18869,SkillGroup
SkillGroup,key_18869,key_18870,SkillGroup
SkillGroup,key_18868,key_18871,SkillGroup
SkillGroup,key_18871,key_18872,SkillGroup
SkillGroup,key_18871,key_18873,SkillGroup
SkillGroup,key_18871,key_18874,SkillGroup
SkillGroup,key_18871,key_18875,SkillGroup
SkillGroup,key_18868,key_18876,SkillGroup
SkillGroup,key_18876,key_18877,SkillGroup
SkillGroup,key_18876,key_18878,SkillGroup
SkillGroup,key_18876,key_18879,SkillGroup
SkillGroup,key_18876,key_18880,SkillGroup
SkillGroup,key_18868,key_18881,SkillGroup
SkillGroup,key_18881,key_18882,SkillGroup
SkillGroup,key_18881,key_18883,SkillGroup
SkillGroup,key_18881,key_18884,SkillGroup
SkillGroup,key_18881,key_18885,SkillGroup
SkillGroup,key_18881,key_18886,SkillGroup
SkillGroup,key_18868,key_18887,SkillGroup
SkillGroup,key_18887,key_18888,SkillGroup
SkillGroup,key_18887,key_18889,SkillGroup
SkillGroup,key_18887,key_18890,SkillGroup
SkillGroup,key_18868,key_18891,SkillGroup
SkillGroup,key_18891,key_18892,SkillGroup
SkillGroup,key_18868,key_18893,SkillGroup
SkillGroup,key_18893,key_18894,SkillGroup
SkillGroup,key_19319,key_18895,SkillGroup
SkillGroup,key_18895,key_18896,SkillGroup
SkillGroup,key_18896,key_18897,SkillGroup
SkillGroup,key_18896,key_18898,SkillGroup
SkillGroup,key_18896,key_18899,SkillGroup
SkillGroup,key_18896,key_18900,SkillGroup
SkillGroup,key_18896,key_18901,SkillGroup
SkillGroup,key_18895,key_18902,SkillGroup
SkillGroup,key_18902,key_18903,SkillGroup
SkillGroup,key_19319,key_18904,SkillGroup
SkillGroup,key_18904,key_18905,SkillGroup
SkillGroup,key_18905,key_18906,SkillGroup
SkillGroup,key_18904,key_18907,SkillGroup
SkillGroup,key_18907,key_18908,SkillGroup
SkillGroup,key_18907,key_18909,SkillGroup
SkillGroup,key_18907,key_18910,SkillGroup
SkillGroup,key_18907,key_18911,SkillGroup
SkillGroup,key_18907,key_18912,SkillGroup
SkillGroup,key_18907,key_18913,SkillGroup
SkillGroup,key_18907,key_18914,SkillGroup
SkillGroup,key_18907,key_18915,SkillGroup
SkillGroup,key_18904,key_18916,SkillGroup
SkillGroup,key_18916,key_18917,SkillGroup
SkillGroup,key_18916,key_18918,SkillGroup
SkillGroup,key_18916,key_18919,SkillGroup
SkillGroup,key_18916,key_18920,SkillGroup
SkillGroup,key_18916,key_18921,SkillGroup
SkillGroup,key_18916,key_18922,SkillGroup
SkillGroup,key_18904,key_18923,SkillGroup
SkillGroup,key_18923,key_18924,SkillGroup
SkillGroup,key_18923,key_18925,SkillGroup
SkillGroup,key_18923,key_18926,SkillGroup
SkillGroup,key_18904,key_18927,SkillGroup
SkillGroup,key_18927,key_18928,SkillGroup
SkillGroup,key_18904,key_18929,SkillGroup
SkillGroup,key_18929,key_18930,SkillGroup
SkillGroup,key_19319,key_18931,SkillGroup
SkillGroup,key_18931,key_18932,SkillGroup
SkillGroup,key_18932,key_18933,SkillGroup
SkillGroup,key_18931,key_18934,SkillGroup
SkillGroup,key_18934,key_18935,SkillGroup
SkillGroup,key_18934,key_18936,SkillGroup
SkillGroup,key_18934,key_18937,SkillGroup
SkillGroup,key_18934,key_18938,SkillGroup
SkillGroup,key_18931,key_18939,SkillGroup
SkillGroup,key_18939,key_18940,SkillGroup
SkillGroup,key_18931,key_18941,SkillGroup
SkillGroup,key_18941,key_18942,SkillGroup
SkillGroup,key_18931,key_18943,SkillGroup
SkillGroup,key_18943,key_18944,SkillGroup
SkillGroup,key_18931,key_18945,SkillGroup
SkillGroup,key_18945,key_18946,SkillGroup
SkillGroup,key_18931,key_18947,SkillGroup
SkillGroup,key_18947,key_18948,SkillGroup
SkillGroup,key_19319,key_18949,SkillGroup
SkillGroup,key_18949,key_18950,SkillGroup
SkillGroup,key_18950,key_18951,SkillGroup
SkillGroup,key_18949,key_18952,SkillGroup
SkillGroup,key_18952,key_18953,SkillGroup
SkillGroup,key_18952,key_18954,SkillGroup
SkillGroup,key_18952,key_18955,SkillGroup
SkillGroup,key_18952,key_18956,SkillGroup
SkillGroup,key_18952,key_18957,SkillGroup
SkillGroup,key_18952,key_18958,SkillGroup
SkillGroup,key_18952,key_18959,SkillGroup
SkillGroup,key_18952,key_18960,SkillGroup
SkillGroup,key_18952,key_18961,SkillGroup
SkillGroup,key_18949,key_18962,SkillGroup
SkillGroup,key_18962,key_18963,SkillGroup
SkillGroup,key_18962,key_18964,SkillGroup
SkillGroup,key_18962,key_18965,SkillGroup
SkillGroup,key_18962,key_18966,SkillGroup
SkillGroup,key_18962,key_18967,SkillGroup
SkillGroup,key_18949,key_18968,SkillGroup
SkillGroup,key_18968,key_18969,SkillGroup
SkillGroup,key_18949,key_18970,SkillGroup
SkillGroup,key_18970,key_18971,SkillGroup
SkillGroup,key_19319,key_18972,SkillGroup
SkillGroup,key_18972,key_18973,SkillGroup
SkillGroup,key_18973,key_18974,SkillGroup
SkillGroup,key_18972,key_18975,SkillGroup
SkillGroup,key_18975,key_18976,SkillGroup
SkillGroup,key_18975,key_18977,SkillGroup
SkillGroup,key_18975,key_18978,SkillGroup
SkillGroup,key_18975,key_18979,SkillGroup
SkillGroup,key_18975,key_18980,SkillGroup
SkillGroup,key_18975,key_18981,SkillGroup
SkillGroup,key_18975,key_18982,SkillGroup
SkillGroup,key_18972,key_18983,SkillGroup
SkillGroup,key_18983,key_18984,SkillGroup
SkillGroup,key_18983,key_18985,SkillGroup
SkillGroup,key_18983,key_18986,SkillGroup
SkillGroup,key_18983,key_18987,SkillGroup
SkillGroup,key_18972,key_18988,SkillGroup
SkillGroup,key_18988,key_18989,SkillGroup
SkillGroup,key_18988,key_18990,SkillGroup
SkillGroup,key_18988,key_18991,SkillGroup
SkillGroup,key_18988,key_18992,SkillGroup
SkillGroup,key_18972,key_18993,SkillGroup
SkillGroup,key_18993,key_18994,SkillGroup
SkillGroup,key_18972,key_18995,SkillGroup
SkillGroup,key_18995,key_18996,SkillGroup
SkillGroup,key_18972,key_18997,SkillGroup
SkillGroup,key_18997,key_18998,SkillGroup
SkillGroup,key_19319,key_18999,SkillGroup
SkillGroup,key_18999,key_19000,SkillGroup
SkillGroup,key_19000,key_19001,SkillGroup
SkillGroup,key_19372,key_19002,SkillGroup
SkillGroup,key_19019,key_19003,SkillGroup
SkillGroup,key_19011,key_19004,SkillGroup
SkillGroup,key_19257,key_19005,SkillGroup
SkillGroup,key_19141,key_19006,SkillGroup
SkillGroup,key_19233,key_19007,SkillGroup
SkillGroup,key_19090,key_19008,SkillGroup
SkillGroup,key_19005,key_19009,SkillGroup
SkillGroup,key_19325,key_19010,SkillGroup
SkillGroup,key_19069,key_19012,SkillGroup
SkillGroup,key_19060,key_19013,SkillGroup
SkillGroup,key_19087,key_19014,SkillGroup
SkillGroup,key_19156,key_19015,SkillGroup
SkillGroup,key_19173,key_19016,SkillGroup
SkillGroup,key_19069,key_19017,SkillGroup
SkillGroup,key_19364,key_19018,SkillGroup
SkillGroup,key_19090,key_19019,SkillGroup
SkillGroup,key_19198,key_19020,SkillGroup
SkillGroup,key_19290,key_19021,SkillGroup
SkillGroup,key_19133,key_19022,SkillGroup
SkillGroup,key_19162,key_19023,SkillGroup
SkillGroup,key_19057,key_19024,SkillGroup
SkillGroup,key_19005,key_19025,SkillGroup
SkillGroup,key_19190,key_19026,SkillGroup
SkillGroup,key_19233,key_19027,SkillGroup
SkillGroup,key_19086,key_19028,SkillGroup
SkillGroup,key_19057,key_19029,SkillGroup
SkillGroup,key_19261,key_19030,SkillGroup
SkillGroup,key_19086,key_19031,SkillGroup
SkillGroup,key_19056,key_19032,SkillGroup
SkillGroup,key_19087,key_19033,SkillGroup
SkillGroup,key_19069,key_19034,SkillGroup
SkillGroup,key_19082,key_19035,SkillGroup
SkillGroup,key_19372,key_19036,SkillGroup
SkillGroup,key_19011,key_19037,SkillGroup
SkillGroup,key_19215,key_19038,SkillGroup
SkillGroup,key_19004,key_19039,SkillGroup
SkillGroup,key_19060,key_19040,SkillGroup
SkillGroup,key_19008,key_19041,SkillGroup
SkillGroup,key_19057,key_19042,SkillGroup
SkillGroup,key_19182,key_19043,SkillGroup
SkillGroup,key_19139,key_19044,SkillGroup
SkillGroup,key_19190,key_19045,SkillGroup
SkillGroup,key_19057,key_19046,SkillGroup
SkillGroup,key_19075,key_19047,SkillGroup
SkillGroup,key_19078,key_19048,SkillGroup
SkillGroup,key_19156,key_19049,SkillGroup
SkillGroup,key_19253,key_19050,SkillGroup
SkillGroup,key_19361,key_19051,SkillGroup
SkillGroup,key_19295,key_19052,SkillGroup
SkillGroup,key_19087,key_19053,SkillGroup
SkillGroup,key_19008,key_19054,SkillGroup
SkillGroup,key_19312,key_19055,SkillGroup
SkillGroup,key_19008,key_19056,SkillGroup
SkillGroup,key_19019,key_19057,SkillGroup
SkillGroup,key_19100,key_19058,SkillGroup
SkillGroup,key_19087,key_19059,SkillGroup
SkillGroup,key_19257,key_19060,SkillGroup
SkillGroup,key_19253,key_19061,SkillGroup
SkillGroup,key_19142,key_19062,SkillGroup
SkillGroup,key_19139,key_19063,SkillGroup
SkillGroup,key_19232,key_19064,SkillGroup
SkillGroup,key_19090,key_19065,SkillGroup
SkillGroup,key_19325,key_19066,SkillGroup
SkillGroup,key_19047,key_19067,SkillGroup
SkillGroup,key_19190,key_19068,SkillGroup
SkillGroup,key_19364,key_19069,SkillGroup
SkillGroup,key_19071,key_19070,SkillGroup
SkillGroup,key_19065,key_19071,SkillGroup
SkillGroup,key_19149,key_19072,SkillGroup
SkillGroup,key_19162,key_19073,SkillGroup
SkillGroup,key_19298,key_19074,SkillGroup
SkillGroup,key_19090,key_19075,SkillGroup
SkillGroup,key_19004,key_19076,SkillGroup
SkillGroup,key_19010,key_19077,SkillGroup
SkillGroup,key_19257,key_19078,SkillGroup
SkillGroup,key_19213,key_19079,SkillGroup
SkillGroup,key_19261,key_19080,SkillGroup
